Style,Link,Brand,Dress name ,Price,Price Category,Color,Fabric,Outer fabric material,Lining,Care instructions,Collar,Cut,Fastening,Type of dress,Neckline,Consolidated Prints,Details,Article number,Dress length,Sleeve length,Consolidated sleeve length,Total length,Fit,Consolidated fit,Our model's height,Back width,Sheer?,Pockets?,Rhinestones?,Shoulderpads?,Backless?,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.zalando.co.uk/iro-loomy-cocktail-dress-party-dress-white-ir221c04e-a11.html,Iro,LOOMY ,369.99,5,white,--,"76% lyocell, 24% linen",100% polyester,Dry clean only,--,--,Drawstring fastening,Wrap dresses,Low v-neck,Plain,"Shoulder pads, underskirt",IR221C04E-A11,Maxi/long,"21.5 "" (Size 10)",Long,"32.5 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 11""  tall and is wearing size 10",--,No,No,No,yes,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/ecoalf-caualf-dress-woman-day-dress-cannoli-white-ecd21c00m-a11.html,Ecoalf,CAUALF DRESS WOMAN ,114.99,3,black/white,--,"95% modal, 5% polyester",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,,Low v-neck,Plain,--,ECD21C00M-A11,Calf length,Sleeveless,Sleeveless,"49.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 11""  tall and is wearing size S",--,No,No,No,No,Yes,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/tom-tailor-denim-babydoll-dress-day-dress-black-to721c0ea-q11.html,TOM TAILOR,BABYDOLL DRESS ,59.99,2,black,Chiffon,100% polyester,100% viscose,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,Button,,Round neckline,Floral,Slip,TO721C0EA-Q11,Knee length,"23.5 "" (Size S)",Long,"36.0 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size S","14.5 "" (Size S)",No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/vila-curve-vinatha-o-neck-dress-day-dress-black-v0h21c00p-q11.html,Vila,VINATHA O NECK DRESS ,26.34,1,black,Jersey,"65% polyester, 27% viscose, 8% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Accentuating the waist,Round neckline,Plain,Belt included,V0H21C00P-Q11,Knee length,"26.5 "" (Size 22)",Long,"40.0 "" (Size 22)",Slim Fit,Slim fit,--,--,Yes,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/hollister-co-woven-midi-dress-day-dress-black-h0421c051-q11.html,Hollister Co.,WOVEN MIDI DRESS  ,41.64,2,black,--,100% viscose,--,Machine wash at 30Â°C,--,--,Laces,,Low v-neck,Floral,--,H0421C051-Q11,Calf length,"13.5 "" (Size SxL)",Elbow length,"49.0 "" (Size SxL)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size SxL",--,No,No,No,No,Yes,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/jdy-tall-jdysvan-shin-length-dress-day-dress-blackwhite-jd521c00e-q11.html,JDY,JDYSVAN SHIN LENGTH DRESS ,25.99,1,black,Jersey,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,,--,Floral,--,JD521C00E-Q11,Maxi/long,"26.5 "" (Size S)",Long,"53.0 "" (Size S)",Slim Fit,Slim fit,--,--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/only-day-dress-black-on321c25z-q11.html,",Only",Day dress,30.99,1,black,--,100% cotton,--,"Do not tumble dry, machine wash at 30Â°C, Do not iron, Do not bleach",--,--,--,,Round neckline,Plain,--,ON321C25Z-Q11,Short,Elbow length,Elbow length,"33.0 "" (Size S)",--,,--,--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/lindex-dress-sue-day-dress-light-dusty-brown-l2e21c02b-b11.html,Lindex,DRESS SUE ,39.99,1,black/brown,--,100% cotton,--,"Machine wash at 40Â°C, do not tumble dry",--,--,Button,,Round neckline,Checked,--,L2E21C02B-B11,Calf length,Elbow length,Elbow length,"50.0 "" (Size 10/12)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 10/12",--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/calando-dress-with-seamless-pockets-day-dress-grey-c5421c004-c11.html,CALANDO,DRESS WITH SEAMLESS POCKETS ,28.99,1,grey,Sweat,100% cotton,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,,Round neckline,Plain,"Inseam pockets, elasticated waist",C5421C004-C11,Short,"24.5 "" (Size S)",Long,"38.0 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size S",--,No,yes,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/soyaconcept-kasia-day-dress-black-combi-so821c076-t11.html,Soyaconcept,SC,34.99,1,black,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur",--,--,Button,,Low v-neck,Floral,--,SO821C076-T11,Calf length,"18.5 "" (Size S)",Elbow length,"50.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S","15.5 "" (Size S)",No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/the-kooples-dress-day-dress-black-ecru-tha21c09v-q11.html,The Kooples,DRESS ,314.99,5,black/white,--,"67% viscose, 33% silk",100% viscose,Dry clean only,Standing collar,--,Zip,,--,Floral,--,THA21C09V-Q11,Short,Elbow length,Elbow length,"37.0 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 8","15.0 "" (Size 8)",No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/gap-cap-sleeve-button-front-day-dress-dark-bluewhite-gp021c0kw-k11.html,GAP,CAP SLEEVE BUTTON FRONT ,54.99,2,black multi-coloured,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,Zip,,Low v-neck,Floral,Button row,GP021C0KW-K11,Short,Short,Short,"33.0 "" (Size 10)",Regular Fit,Regular fit,--,"14.0 "" (Size 10)",No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/calvin-klein-hoodie-dress-day-dress-black-6ca21c050-q11.html,Calvin Klein,HOODIE DRESS ,84.49,3,black,Sweat,"64% cotton, 36% polyester",--,"Machine wash at 30Â°C, Machine wash on gentle cycle",Hood,--,--,Hooded dresses,--,Plain,--,6CA21C050-Q11,Short,"24.0 "" (Size S)",Long,"35.0 "" (Size S)",Loose Fit,Loose fit,--,--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/jarlo-adele-occasion-wear-fiery-red-j3121c081-g11.html,Jarlo,ADELE ,169.99,4,red,--,"97% polyester, 3% elastane","98% polyester, 2% elastane","Do not tumble dry, Do not wash",--,--,Zip,,Strapless,Plain,Slip,J3121C081-G11,Maxi/long,One shoulder,One shoulder,"65.0 "" (Size 8)",Slim Fit,Slim fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,Yes,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/patrizia-pepe-abito-dress-day-dress-nero-p1421c0iy-q11.html,Patrizia Pepe,ABITO DRESS ,234.99,5,black,"Jersey, satin",100% cotton,--,Hand wash only,--,--,--,,Round neckline,Prints in general,Decorative studs,P1421C0IY-Q11,Maxi/long,Short,Short,"49.0 "" (Size 10)",Regular Fit,Regular fit,--,--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/in-the-style-ossa-stone-puff-sleeve-dress-day-dress-stone-i0421c01w-c11.html,IN THE STYLE,OSSA STONE PUFF SLEEVE DRESS ,42.99,2,grey,Knit,100% acrylic,--,"Hand wash only, Machine wash on gentle cycle",--,--,Laces,Wrap dresses,Low v-neck,Plain,--,I0421C01W-C11,Knee length,"27.0 "" (Size 8)",Long,"38.5 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 8",--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/superdry-day-dress-navy-su221c0np-k11.html,Superdry,Day dress,30,1,navy,--,100% cotton,--,--,--,--,--,,Spaghetti straps,--,--,SU221C0NP-K11,--,Spaghetti straps,Spaghetti straps,--,--,,--,--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/selected-femme-slfelise-short-dress-day-dress-lilac-sachet-se521c14i-j11.html,Selected Femme,SLFELISE SHORT DRESS ,59.99,2,pink,--,100% cotton,--,Machine wash at 30Â°C,--,--,--,Wrap dresses,Low v-neck,Floral,Bow,SE521C14I-J11,Knee length,"18.5 "" (Size 8)",Elbow length,"38.5 "" (Size 8)",Regular Fit,Regular fit,--,"14.0 "" (Size 8)",No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/desigual-day-dress-military-green-de121c0y8-n11.html,Desigual,VEST NAGORE ,94.99,3,army green,--,100% cotton,--,"Do not tumble dry, Do not wash",--,--,--,,Low v-neck,Floral,--,DE121C0Y8-N11,Short,Elbow length,Elbow length,"33.5 "" (Size M)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size M",--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/bytimo-decor-shift-dress-cocktail-dress-party-dress-black-byh21c01m-q11.html,byTiMo,DÃ‰COR SHIFT DRESS ,379.99,5,gold,--,100% polyester,100% polyester,Dry clean only,Standing collar,--,Zip,,Low v-neck,--,"Inseam pockets, slip, sequins, rhinestones",BYH21C01M-Q11,Short,Elbow length,Elbow length,"34.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S","17.0 "" (Size S)",No,yes,yes,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/tommy-hilfiger-icon-patchwork-midi-dress-day-dress-red-to121c0kb-g11.html,Tommy Hilfiger,ICON PATCHWORK MIDI DRESS ,269.99,5,burgundy,Chiffon,100% silk,--,"Do not tumble dry, Hand wash only",--,--,Button,,Round neckline,Checked,--,TO121C0KB-G11,Calf length,"25.5 "" (Size 8)",Long,"45.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","17.5 "" (Size 8)",No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/proenza-schouler-white-label-v-neck-dress-cocktail-dress-party-dress-taupe-p1y21c00e-o11.html,Proenza Schouler White Label,V,630,5,sand,Leather,100% polyester,100% lyocell,Hand wash only,--,--,Zip,Hooded dresses,Low v-neck,Plain,"Button row, slip",P1Y21C00E-O11,Knee length,Sleeveless,Sleeveless,"47.0 "" (Size 10)",Slim Fit,Slim fit,"Our model is 5' 10""  tall and is wearing size 10","12.0 "" (Size 10)",No,No,No,No,Yes,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/iro-nadine-cocktail-dress-party-dress-off-white-ir221c04j-a11.html,Iro,NADINE ,369.99,5,off-white,--,100% polyester,100% viscose,Dry clean only,--,--,Zip,Wrap dresses,Low v-neck,Plain,Slip,IR221C04J-A11,Extra short,"25.0 "" (Size 10)",Long,"33.0 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 10","17.5 "" (Size 10)",No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/mango-kids-jersey-dress-blauw-ay521c005-k11.html,Mango Kids,SUNSET ,25.99,1,blue,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C",--,--,Laces,Wrap dresses,Low v-neck,Floral,--,AY521C005-K11,Short,Long,Long,--,Slim Fit,Slim fit,--,--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/ibana-darcy-day-dress-fudge-21b21c018-o11.html,Ibana,DARCY ,279.99,5,brown,--,100% leather,--,--,Lapel collar,--,Laces,,Low v-neck,Plain,--,21B21C018-O11,Calf length,"23.5 "" (Size 8)",Long,"47.0 "" (Size 8)",Slim Fit,Slim fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)",No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/vero-moda-vmzigga-v-neck-short-dress-day-dress-black-ve121c2cn-q11.html,Vero Moda,VMZIGGA V,34.99,1,black multi-coloured,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur",Standing collar,--,--,,Low v-neck,Floral,--,VE121C2CN-Q11,Short,"19.0 "" (Size 10)",Elbow length,"35.0 "" (Size 10)",Loose Fit,Loose fit,--,"14.0 "" (Size 10)",Yes,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/kaffe-kasinna-dress-day-dress-medium-blue-denim-ka321c0rg-k11.html,Kaffe,KASINNA DRESS ,89.99,3,denim,Denim,"68% cotton, 28% polyester, 3% viscose, 1% elastane",--,"Machine wash at 40Â°C, Machine wash on gentle cycle",Turn-down collar,--,Zip,Button down dresses,--,--,"Bust darts, inseam pockets, belt included",KA321C0RG-K11,Short,"25.5 "" (Size 8)",Long,"37.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 8","15.0 "" (Size 8)",No,yes,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/lauren-ralph-lauren-gratiana-day-dress-blueorange-multi-l4221c1cz-k11.html,Ralph Lauren,FLORAL CRINKLED GEORGETTE DRESS ,199.99,4,bright multi-coloured,Chiffon,"94% cotton, 6% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C",Volant/frill collar,--,--,,Low v-neck,Prints in general,"Elasticated waist, slip",L4221C1CZ-K11,Extra short,Elbow length,Elbow length,"35.5 "" (Size 10)",Regular Fit,Regular fit,--,"14.5 "" (Size 10)",No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/only-onlsweet-ruching-hood-dress-day-dress-black-on321c2q6-q11.html,",Only",ONLSWEET RUCHING HOOD DRESS ,30.99,1,black,Sweat,"60% polyester, 40% cotton",--,"Do not tumble dry, machine wash at 30Â°C",Hood,--,--,Hooded dresses,--,Plain,Elasticated waist,ON321C2Q6-Q11,Short,"26.0 "" (Size S)",Long,"34.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S",--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/yas-yasholi-dress-noos-day-dress-black-y0121c1sb-q11.html,Yas,YASHOLI DRESS  ,59.99,2,black,--,100% cotton,100% cotton,"Do not tumble dry, machine wash at 30Â°C",Standing collar,--,--,,Low v-neck,Plain,Slip,Y0121C1SB-Q11,Short,"26.0 "" (Size S)",Long,"38.0 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size S","13.0 "" (Size S)",No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/superdry-day-dress-black-silver-su221c0n4-q11.html,Superdry,Day dress,119.99,3,silver,--,100% viscose,--,--,--,--,--,,Round neckline,--,--,SU221C0N4-Q11,--,Long,Long,--,--,,--,--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/jdy-short-dress-day-dress-black-jy121c0q4-q12.html,JDY,SHORT DRESS ,18.99,1,black/white,Rib,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,,Round neckline,Floral,--,JY121C0Q4-Q12,--,"24.5 "" (Size S)",Long,"33.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S",--,No,No,No,No,Yes,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/Hugo Boss-dihera-day-dress-black-bb121c0bp-q11.html,Hugo Boss,DIHERA ,289.99,5,black,--,"61% polyester, 26% viscose, 7% cotton, 6% elastane","54% viscose, 43% polyamide, 3% elastane",Do not tumble dry,--,--,Zip,,Low v-neck,Plain,Slip,BB121C0BP-Q11,Knee length,Long,Long,--,Slim Fit,Slim fit,--,--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/mango-day-dress-rot-m9121c5ia-g11.html,Mango,Day dress,49.99,2,red,--,"42% polyester, 39% cotton, 16% viscose, 3% elastane",100% cotton,"Do not tumble dry, machine wash at 30Â°C",--,--,--,,Spaghetti straps,Checked,Slip,M9121C5IA-G11,Calf length,Spaghetti straps,Spaghetti straps,--,Regular Fit,Regular fit,--,--,No,No,No,No,Yes,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/ted-baker-tiania-day-dress-black-te421c0m6-t11.html,Ted Baker,TIANIA ,174.99,4,bright multi-coloured,--,100% polyester,100% polyester,"Do not tumble dry, Hand wash only",--,--,Zip,Wrap dresses,Low v-neck,Floral,Slip,TE421C0M6-T11,Short,Elbow length,Elbow length,"32.5 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 10","12.5 "" (Size 10)",No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/philosophy-di-lorenzo-serafini-occasion-wear-black-phh21c00s-q11.html,Philosophy di Lorenzo Serafini,Occasion wear,710,5,black,--,100% polyester,--,Dry clean only,--,--,Zip,,Spaghetti straps,Plain,--,PHH21C00S-Q11,Maxi/long,Spaghetti straps,Spaghetti straps,"53.0 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 10","15.5 "" (Size 10)",No,No,No,No,Yes,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/victoria-beckham-deep-v-mini-dress-cocktail-dress-party-dress-black-v0921c02g-q11.html,Victoria Beckham,DEEP V MINI DRESS ,500,5,black,--,100% viscose,100% polyester,Dry clean only,--,--,Zip,,Low v-neck,Plain,"Inseam pockets, bust darts",V0921C02G-Q11,Short,"25.5 "" (Size 6)",Long,"32.5 "" (Size 6)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 6","12.5 "" (Size 6)",No,yes,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/vila-curve-vimilina-long-dress-occasion-wear-pale-mauve-v0h21c00k-j11.html,Vila,VIMILINA LONG DRESS ,54.99,2,pastel pink,Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C",--,--,Zip,,Low v-neck,Plain,"Slip, bow",V0H21C00K-J11,Maxi/long,Sleeveless,Sleeveless,"59.0 "" (Size 18)",Regular Fit,Regular fit,--,"15.0 "" (Size 18)",No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/closet-closet-high-low-wrap-dress-cocktail-dress-party-dress-blush-cl921c0tx-j11.html,Closet,HIGH LOW WRAP DRESS ,79.99,2,pastel pink,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C",--,--,Zip,Wrap dresses,Low v-neck,Polka dot,"Inseam pockets, bow",CL921C0TX-J11,Calf length,"16.0 "" (Size 10)",Elbow length,"49.0 "" (Size 10)",Regular Fit,Regular fit,--,"14.0 "" (Size 10)",No,yes,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/selected-femme-petite-slfiana-knee-dress-day-dress-blacksandshell-sel21c025-q11.html,Selected Femme,SLFIANA KNEE DRESS ,54.99,2,black/brown,--,"97% polyester, 3% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Wrap dresses,Low v-neck,Checked,Elasticated waist,SEL21C025-Q11,Knee length,Elbow length,Elbow length,--,Loose Fit,Loose fit,--,--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/faithfull-the-brand-terina-midi-dress-day-dress-plain-egg-shell-f0o21c028-a11.html,Faithfull the brand,TERINA MIDI DRESS ,310,5,off-white,--,100% linen,100% viscose,Hand wash only,--,--,--,,Square neckline,Plain,"Slip, bow",F0O21C028-A11,Calf length,Short,Short,"45.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S","12.0 "" (Size S)",Yes,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/notes-du-nord-blake-dress-occasion-wear-dark-olive-n0p21c012-m11.html,Notes du Nord,BLAKE DRESS ,274.99,5,army green,Satin,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,Zip,,Round neckline,Plain,Shoulder pads,N0P21C012-M11,Maxi/long,"24.0 "" (Size 10)",Long,"58.5 "" (Size 10)",Regular Fit,Regular fit,--,--,No,No,No,yes,Yes,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/culture-cuodette-dress-day-dress-cashmere-blue-cu221c05b-k11.html,Culture,CUODETTE DRESS ,79.99,2,pastel,--,"97% cotton, 3% elastane",--,--,Standing collar,--,--,,V-neck,Plain,--,CU221C05B-K11,Calf length,Short,Short,"45.5 "" (Size M)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size M","15.5 "" (Size M)",No,Yes,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/esprit-collection-eos-ocs-dress-day-dress-black-es421c1j5-q11.html,Esprit,EOS OCS DRESS ,74.99,2,black,Chiffon,"86% cotton, 13% polyamide, 1% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,,Round neckline,Plain,Slip,ES421C1J5-Q11,Calf length,"15.0 "" (Size S)",Elbow length,"47.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S",--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/bruuns-bazaar-dianella-davida-dress-day-dress-gray-br321c09f-c11.html,Bruuns Bazaar,DIANELLA DAVIDA DRESS ,159.99,4,grey,--,"50% cotton, 40% polyester, 10% polyamide",100% viscose,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,Zip,,--,Checked,"Bust darts, slip",BR321C09F-C11,Short,"19.0 "" (Size 8)",Elbow length,"36.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/naf-naf-lazale-cocktail-dress--party-dress-na521c0mb-q11.html,NAF NAF,LAZALE ,44.99,2,red,Chiffon,100% polyester,"97% viscose, 3% elastane","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Accentuating the waist,Low v-neck,Plain,"Elasticated waist, slip",NA521C0MB-Q11,Knee length,Elbow length,Elbow length,"39.0 "" (Size 10)",Fitted waist,Slim fit,"Our model is 5' 10""  tall and is wearing size 10",--,No,No,No,No,Yes,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/evenandodd-day-dress-black-ev421c13j-q11.html,Even&Odd,SWEAT OFF SHOULDER MINI DRESS ,24.99,1,black,Sweat,"60% cotton, 40% polyester",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle, Do not bleach",--,Asymmetrical,--,,Strapless,Plain,Elasticated waist,EV421C13J-Q11,Short,One shoulder,One shoulder,"34.5 "" (Size S)",Loose Fit,Loose fit,--,--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/swing-cocktail-dress-party-dress-schwarz-sg721c05c-q11.html,Swing,Cocktail dress / Party dress,79.99,2,black,--,100% polyester,"95% polyester, 5% elastane","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,Zip,,Boat neckline (wide),Plain,"Bust darts, slip",SG721C05C-Q11,Short,Sleeveless,Sleeveless,"37.5 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 11""  tall and is wearing size 10","14.0 "" (Size 10)",No,No,No,No,Yes,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,https://www.zalando.co.uk/mango-loli-h-day-dress-czerwony-m9121c5gm-g11.html,Mango,LOLI ,35.99,1,red,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C",--,--,Zip,,V-neck,Floral,--,M9121C5GM-G11,Short,Short,Short,--,Regular Fit,Regular fit,--,--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
