,cv_predicted,brand,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width
1678,girly,JDY,JDYIVY MATHILDE DRESS , Day dress,summer-dresses,16.14,dusty pink,,,Sweat,,"62% cotton, 38% polyester",,"Machine wash at 40°C, do not tumble dry, A shrinkage of up to 5% may occur",,,,,Crew neck,Plain,,JY121C0PX-I11,Short,"25.5 "" (Size S)","33.5 "" (Size S)",Loose Fit,"Our model is 5' 9""  tall and is wearing size S",
1679,girly,Mango,VOLE,H ,summer-dresses,35.99,orange,,,,,100% cotton,100% viscose,"Do not tumble dry, machine wash at 30°C",,,,,Crew neck,Plain,,M9121C5IW-H11,Short,Elbow length,,Loose Fit,,
1680,edgy,Bruuns Bazaar,VIOL BEAVIS DRESS , Day dress,summer-dresses,119.99,grey,,,,,"82% viscose, 18% cotton",,"Do not tumble dry, machine wash at 30°C",Standing collar,,,Laces,,Print,,BR321C09I-C11,Knee-length,"27.0 "" (Size 8)","40.0 "" (Size 8)",Loose Fit,,"14.0 "" (Size 8)"
1681,trendy,Jarlo,Cocktail dress / Party dress,,Cocktail Dresses,139.99,black,,,,,"95% polyester, 5% elastane","98% polyester, 2% elastane","Do not tumble dry, Do not wash",,,,Zip,Low-cut v-neck,Plain,"Padded bust, slip, wired bustier",J3121C07Q-Q11,Calf-length,Strapless,"39.5 "" (Size 8)",Slim Fit,,
1682,unknown,Cream,MEISA DRESS , Day dress,summer-dresses,79.99,brown,,,Rib,,"63% polyester, 30% viscose, 7% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Laces,Cache-coeur,Marl,,CR221C0MW-O11,Knee-length,"25.0 "" (Size S)","42.0 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S",
1683,classic,ONLY Carmakoma,CARFLAKE LIFE KNEE  , Day dress,summer-dresses,25.99,black,,,,,"95% viscose, 5% elastane",,"Do not tumble dry, machine wash at 30°C, Do not iron, Do not bleach",,,,,,Plain,,ONA21C09F-Q11,Short,Short,"40.0 "" (Size S-14/16)",,,
1684,alternative,Abercrombie & Fitch,PARTY WOVEN MIDI , Cocktail dress / Party dress,Cocktail Dresses,76.49,black,,,Satin,,"94% polyester, 6% elastane","97% polyester, 3% elastane",Machine wash at 30°C,,,,,,Plain,"Elasticated waist, bust darts, adjustable straps",A0F21C09F-Q11,Calf-length,Spaghetti straps,"50.5 "" (Size S)",Slim Fit,"Our model is 5' 9""  tall and is wearing size S",
1685,trendy,Polo Ralph Lauren,PRINT CREPE MIDI SHIRTDRESS , Day dress,summer-dresses,264.99,bordeaux,,,,,100% cotton,,Machine wash at 40°C,Turn-down collar,,,Zip,Low-cut v-neck,Print,Bust darts,PO221C09Q-G11,Calf-length,Short,"51.0 "" (Size 10)",Regular Fit,,"13.0 "" (Size 10)"
1686,edgy,Guess by Marciano,DRESS , Cocktail dress / Party dress,Cocktail Dresses,179.99,green,,,Satin,,100% polyester,100% polyester,,,,,Zip,Crew neck,Animal print,,2GU21C09G-M11,Short,"27.0 "" (Size 10)","36.0 "" (Size 10)",Slim Fit,,"15.0 "" (Size 10)"
1687,girly,Tommy Jeans,CUTOUT BODYCON DRESS , Cocktail dress / Party dress,Cocktail Dresses,69.99,purple,,,Rib,,"91% polyester, 9% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,,,,,Plain,,TOB21C06N-I11,Calf-length,"Strapless, sleeveless","43.5 "" (Size S)",Bodycon,"Our model is 5' 9""  tall and is wearing size S",
1688,girly,Saint Tropez,Day dress,,summer-dresses,39.99,brown,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Mandarin collar,,,,Low-cut v-neck,Print,,S2821C06T-B11,Knee-length,"18.5 "" (Size S)","40.5 "" (Size S)",Normal fit,"Our model is 5' 10""  tall and is wearing size S","14.5 "" (Size S)"
1689,girly,GAP,MIDI DRESS , Day dress,summer-dresses,43.99,red,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Low-cut v-neck,Polka dot,,GP021C0KE-G11,Calf-length,Extra short,"45.5 "" (Size M)",Regular Fit,,"17.0 "" (Size M)"
1690,trendy,Mango,LOLI , Day dress,summer-dresses,35.99,green,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C",,,,Zip,Boat neck,Floral,,M9121C5GM-M11,Short,Short,,Regular Fit,,
1691,edgy,Forever New,SCARF NECK DRESS , Cocktail dress / Party dress,Cocktail Dresses,99.99,bordeaux,,,Chiffon,,100% polyester,100% polyester,Hand wash only,Shawl collar,,,,Low-cut v-neck,Paisley,Slip,FOD21C0FM-I11,Extra short,"25.5 "" (Size 8)","34.0 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8","18.5 "" (Size 8)"
1692,casual chic,YAS,YASCRANE KIMONO DRESS VIP , Day dress,summer-dresses,59.99,black multi-coloured,,,Satin,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Shawl collar,,,Belt,Cache-coeur,Floral,Belt included,Y0121G06A-T11,Knee-length,"17.5 "" (Size S)","43.5 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","15.5 "" (Size S)"
1693,alternative,Tommy Jeans,ESSENTIAL TEE DRESS , Day dress,summer-dresses,69.99,red,,,Sweat,,100% cotton,,"Machine wash at 30°C, Machine wash on gentle cycle",,,,,Crew neck,Print,,TOB21C06Q-G11,Short,"23.0 "" (Size S)","32.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",
1694,alternative,ONLY,ONLCLARA LIFE MIDI DRESS , Day dress,summer-dresses,39.99,black multi-coloured,,,,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur",Standing collar,,,,Low-cut v-neck,Floral,"Adjustable straps, slip",ON321C1UV-Q11,Calf-length,"17.5 "" (Size 8)","50.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.5 "" (Size 8)"
1695,sporty,edc by Esprit,Day dress,,summer-dresses,29.99,pastel purple,,,,,100% cotton,,"Do not bleach, do not tumble dry, machine wash at 40°C",Hood,,,,,Plain,Inseam pockets,ED121C0YL-I11,Short,Long,,Regular Fit,,
1696,classic,SamsÃ¸e SamsÃ¸e,ANNMARI DRESS , Day dress,summer-dresses,169.99,pink,,,Chiffon,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Button,Crew neck,Plain,Slip,SA321C0EN-J11,Calf-length,"26.0 "" (Size S)","47.0 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S","17.5 "" (Size S)"
1697,classic,Esprit,Day dress,,summer-dresses,29.99,black,,,,,"70% viscose, 25% polyamide, 5% elastane",,"Do not tumble dry, machine wash at 30°C",,,Side pockets,,Crew neck,Plain,,ES121C230-Q11,Short,Long,,Regular Fit,,
1698,trendy,Vila,VIKISSES SHIRT DRESS , Day dress,summer-dresses,47.99,red,,,,,100% cotton,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Turn-down collar,,,Button,,Floral,"Belt included, bust darts",V1021C32C-G11,Calf-length,"24.0 "" (Size 8)","43.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)"
1699,classic,Never Fully Dressed,Cocktail dress / Party dress,,Cocktail Dresses,104.99,blue,,,Satin,,"90% polyester, 10% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Laces,Cache-coeur,Plain,Bust darts,NEN21C04W-K11,Calf-length,"15.5 "" (Size 8)","47.0 "" (Size 8)",Regular Fit,"Our model is 5' 11""  tall and is wearing size 8","14.0 "" (Size 8)"
1700,edgy,Cotton On Petite,KELSEY HALTER MINI DRESS , Day dress,Cocktail Dresses,21.99,black,,,,Semi-sheer,100% viscose,,"Machine wash at 40°C, do not tumble dry",,,,Laces,Low-cut v-neck,Plain,,C6A21C009-Q11,Short,Strapless,"29.5 "" (Size S)",,,
1701,classic,ONLY,ONLMANOLIA DRESS , Day dress,summer-dresses,43.99,denim,,,Denim,,"99% cotton, 1% elastane",,"Do not tumble dry, machine wash at 30°C",,,,Button,Low-cut v-neck,,Belt included,ON321C2OR-K11,Calf-length,"25.5 "" (Size S)","41.5 "" (Size S)",Regular Fit,,"14.0 "" (Size S)"
1702,classic,Part Two,AMINASE , Day dress,summer-dresses,94.99,red,,,,,100% linen,,"Do not tumble dry, machine wash at 30°C",,,,,Low-cut v-neck,Plain,"Inseam pockets, bust darts",P2121C0E7-G11,Knee-length,Short,"39.0 "" (Size 8)",Loose Fit,"Our model is 5' 9""  tall and is wearing size 8","14.0 "" (Size 8)"
1703,sporty,Esqualo,DRESS WIDE SLEEVE , Day dress,Cocktail Dresses,74.99,white,,Yes,,Semi-sheer,"98% cotton, 2% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Turn-down collar,,,Button,,Plain,,ESM21C028-A11,Knee-length,"23.0 "" (Size 8)","38.0 "" (Size 8)",Regular Fit,,"13.5 "" (Size 8)"
1704,girly,byTiMo,FESTIVE MINI DRESS , Day dress,summer-dresses,279.99,bright multi-coloured,,,,,100% cotton,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Zip,Low-cut v-neck,Floral,Slip,BYH21C028-G11,Short,Short,"35.0 "" (Size S)",Regular Fit,,"14.5 "" (Size S)"
1705,girly,Noa Noa,SOFT MOSS , Day dress,summer-dresses,99.99,grey,,,,,100% viscose,,,Shirt collar,,,Button,,Floral,Belt included,NN121C0EL-C11,Long,"24.0 "" (Size 8)","42.0 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8",
1706,edgy,Vero Moda Petite,VMHBECCA SHORT DRESS  , Day dress,summer-dresses,25.99,army green,,,,,"97% viscose, 3% elastane",,Machine wash at 30°C,,,,,Crew neck,Plain,,VM021C0CW-M11,Short,"17.0 "" (Size M)","33.0 "" (Size M)",Loose Fit,,"15.5 "" (Size M)"
1707,trendy,MUNTHE,CRYSTAL , Day dress,summer-dresses,554.99,pink,,,,,100% leather,"96% polyester, 4% elastane",Dry clean only,,,,,Crew neck,Plain,"Inseam pockets, bow, border",MUO21C00H-J11,Short,Elbow length,"34.5 "" (Size 8)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","21.5 "" (Size 8)"
1708,trendy,YAS Petite,YASBERLIN MIDI DRESS , Day dress,summer-dresses,69.99,bright multi-coloured,,,,,"74% viscose, 20% nylon, 6% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Turn-down collar,,,Button,,Floral,,YA521C033-J11,Calf-length,"23.0 "" (Size S)","41.0 "" (Size S)",Regular Fit,,"14.0 "" (Size S)"
1709,alternative,Milly,POINTELLE DRESS , Cocktail dress / Party dress,Cocktail Dresses,409.99,black,,,"Lace, Knit",,"65% viscose, 35% nylon",,Dry clean only,,,,Zip,Crew neck,Plain,,M1221C04J-Q11,Knee-length,Short,,Bodycon,"Our model is 5' 10""  tall and is wearing size S",
1710,edgy,Jaded London,TIE FRONT DRESS  , Cocktail dress / Party dress,Cocktail Dresses,49.99,multi-coloured,,,Mesh,Semi-sheer,"90% polyester, 10% elastane",,"Do not tumble dry, Hand wash only",,Asymmetrical,,Laces,Low-cut v-neck,Print,Slip,JL021C02W-T11,Extra short,"27.0 "" (Size 8)","31.5 "" (Size 8)",Slim Fit,"Our model is 5' 11""  tall and is wearing size 8",
1711,edgy,Vila,VIFALIAS SHORT DRESS , Day dress,summer-dresses,34.99,black multi-coloured,,,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,,,Laces,V-neck,Floral,"Bust darts, slip",V1021C2Y2-Q11,Knee-length,"24.5 "" (Size 8)","38.0 "" (Size 8)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)"
1712,girly,JDY,Day dress,,summer-dresses,25.99,dusty pink,,,Knit,,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Hood,,,,,Marl,,JY121C0PU-J11,Knee-length,"23.0 "" (Size S)","36.5 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S",
1713,casual chic,Alberta Ferretti,DRESS , Occasion wear,Occasion dresses,,pastel green,,,"Lace, chiffon",,100% silk,100% polyamide,Dry clean only,,,,Drawstring fastening,Low-cut v-neck,,"Slip, border",AF321C02N-M11,Long,Sleeveless,"55.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)"
1714,alternative,Superdry,Day dress,,summer-dresses,20.0,army green,,,,,100% lyocell,,,,,,,,Plain,Inseam pockets,SU221C0CV-N11,Short,"17.0 "" (Size S)","34.5 "" (Size S)",Normal fit,"Our model is 5' 9""  tall and is wearing size S",
1715,classic,YAS,YASEMPA DRESS , Day dress,summer-dresses,59.99,black,,,,,100% cotton,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Laces,Cache-coeur,Plain,,Y0121C1QT-Q11,Calf-length,"25.5 "" (Size S)","44.5 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S",
1716,girly,YAS,YASHOLI DRESS , Day dress,summer-dresses,59.99,pink,,,,,100% cotton,100% cotton,"Do not tumble dry, machine wash at 30°C",Standing collar,,,,Low-cut v-neck,Plain,"Bust darts, slip",Y0121C1UO-J11,Knee-length,Short,"33.5 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S","18.0 "" (Size S)"
1717,casual chic,Vero Moda Curve,VMGINNY SHORT DRESS , Day dress,summer-dresses,33.99,black,,,,,100% polyester,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Low-cut v-neck,Plain,Elasticated waist,VEE21C0CV-Q11,Short,Elbow length,"34.5 "" (Size 16)",Loose Fit,,"15.5 "" (Size 16)"
1718,classic,Esprit,DRESSES , Day dress,summer-dresses,54.99,navy,,,Jersey,,100% cotton,,"Machine wash at 40°C, do not tumble dry, Machine wash on gentle cycle",,,,Button,Crew neck,Striped,,ES121C22D-K11,Knee-length,"16.5 "" (Size 8)","34.5 "" (Size 8)",Loose Fit,,
1719,edgy,By Malina,FLORINE DRESS , Cocktail dress / Party dress,Cocktail Dresses,289.99,black/red,,,,,"80% viscose, 20% nylon","97% polyester, 3% elastane","Do not tumble dry, Do not wash",,,,Button,Crew neck,,Slip,BYC21C031-G11,Short,Short,"34.0 "" (Size 8)",Loose Fit,"Our model is 5' 11""  tall and is wearing size 8","12.5 "" (Size 8)"
1720,trendy,Saint Tropez,LYLIA DRESS , Day dress,summer-dresses,79.99,white multi-coloured,,,,,"98% cotton, 2% elastane",,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",,,,Button,Crew neck,Floral,"Belt included, bust darts",S2821C0EH-T11,Knee-length,"19.5 "" (Size M)","38.0 "" (Size M)",Loose Fit,"Our model is 5' 10""  tall and is wearing size M","14.0 "" (Size M)"
1721,classic,Simply Be,SUPERSOFT FRILL DETAIL SWING DRESS , Day dress,summer-dresses,17.99,black,,,Jersey,,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Crew neck,Plain,Bust darts,SIE21C0A4-Q11,Calf-length,"24.0 "" (Size 16)","47.0 "" (Size 16)",Regular Fit,,
1722,girly,Forever New,ROSE TIERED MINI SKATER DRESS , Day dress,summer-dresses,99.99,white multi-coloured,,,Chiffon,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Cache-coeur,Floral,Belt included,FOD21C0G7-T11,Extra short,"27.0 "" (Size 8)","35.0 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8","13.5 "" (Size 8)"
1723,girly,Vero Moda,VMSILLA O NECK SHORT DRESS , Day dress,summer-dresses,30.99,black/white,,,,Semi-sheer,100% polyimide,,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur",,,,Button,Crew neck,Floral,Bust darts,VE121C3B0-A11,Short,"17.5 "" (Size S)","33.5 "" (Size S)",Regular Fit,,"12.5 "" (Size S)"
1724,classic,Good American,SHIMMER POLO DRESS , Jersey dress,summer-dresses,129.99,black,,,Jersey,Semi-sheer,"93% polyester, 7% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Turn-down collar,,,Button,,Plain,,GOM21C01G-Q11,Calf-length,"27.5 "" (Size S)","51.0 "" (Size S)",Bodycon,,
1725,trendy,Swing Curve,Cocktail dress / Party dress,,Cocktail Dresses,164.99,white multi-coloured,,,Satin,,100% polyester,"92% polyester, 8% elastane",,,,,Zip,Crew neck,Print,"Belt included, slip",S0O21C03V-T11,Calf-length,Short,"49.0 "" (Size 18)",Regular Fit,,"16.0 "" (Size 18)"
1726,edgy,Swing Curve,Cocktail dress / Party dress,,Cocktail Dresses,139.99,navy,,,"Jersey, chiffon",,100% polyester,"95% polyester, 5% elastane",,,,,Zip,Crew neck,Floral,Slip,S0O21C03U-K11,Short,Short,"37.5 "" (Size 18)",Regular Fit,,"17.5 "" (Size 18)"
1727,casual chic,EA7 Emporio Armani,HOODIE DRESS ALLOVER LOGO , Day dress,summer-dresses,94.99,black,,,Sweat,,"95% cotton, 5% elastane",,,Hood,,,,,Print,,EA721C00G-Q11,Short,"24.5 "" (Size S)","32.5 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S",
1728,edgy,Love Copenhagen,LCUNA DRESS , Day dress,summer-dresses,99.99,black/white,,,,,100% polyester,100% polyester,,,,,Button,Crew neck,Checked,Slip,L1G21C05E-Q11,Short,Elbow length,"36.5 "" (Size 10)",Oversized,"Our model is 5' 9""  tall and is wearing size 10","14.0 "" (Size 10)"
1729,girly,Vila,VIPASSA STRAP SHORT DRESS , Day dress,summer-dresses,34.99,pink,,,,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Low-cut v-neck,Floral,Slip,V1021C2HV-I11,Knee-length,Sleeveless,"36.0 "" (Size S)",Slim Fit,,
1730,edgy,Anna Field,Jersey dress,,Cocktail Dresses,22.09,black,,,Jersey,,"68% viscose, 28% polyester, 4% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Zip,Square neck,Plain,Bust darts,AN621C1Q0-Q11,Knee-length,,"31.0 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8",
1731,classic,Anna Field,Occasion lace skirt sleeveless bodycon mini dress , Cocktail dress / Party dress,Cocktail Dresses,34.99,navy,100% polyamide,,"Jersey, Lace",,"68% viscose, 28% polyester, 4% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Crew neck,Plain,Slip,AN621C1PD-K11,Knee-length,Sleeveless,"37.5 "" (Size 8)",Bodycon,"Our model is 5' 10""  tall and is wearing size 8",
1732,girly,YAS,YASCANDIS STRAP  CELEB  , Occasion wear,Occasion dresses,69.99,white,,,Satin,,"96% polyester, 4% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C",,,,Zip,Backless,Plain,"Bust darts, adjustable straps, slip",Y0121C1SG-A11,Long,Spaghetti straps,"47.5 "" (Size S)",Regular Fit,,"14.0 "" (Size S)"
1733,alternative,NAF NAF,LAPASTILLETTE , Day dress,summer-dresses,74.99,navy,,,Chiffon,,100% polyester,100% viscose,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,,,Button,Low-cut v-neck,Polka dot,Slip,NA521C18D-K11,Knee-length,"23.0 "" (Size 8)","36.0 "" (Size 8)",Regular Fit,,"15.0 "" (Size 8)"
1734,trendy,LASCANA,TIE SIDE DRESS , Day dress,summer-dresses,,black,,,Jersey,,"95% viscose, 5% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Crew neck,Plain,Bow,L8321C030-Q11,Calf-length,Long,,Regular Fit,,
1735,casual chic,Cotton On Curve,SUNNY PUFF SLEEVE MIDI DRESS , Day dress,summer-dresses,34.99,black,,,,Semi-sheer,100% cotton,,"Do not tumble dry, machine wash at 30°C",,,,Laces,Backless,Plain,,C1V21C00V-Q11,Calf-length,Short,"51.0 "" (Size 16)",Regular Fit,,
1736,unknown,Ibana,DAMIRA , Day dress,summer-dresses,324.99,sand,,,,,100% leather,100% polyester,"Do not tumble dry, Do not wash",Lapel collar,,,Button,,Plain,"Inseam pockets, belt included, slip",21B21C01B-B11,Calf-length,Extra short,"46.5 "" (Size 8)",Regular Fit,,"17.0 "" (Size 8)"
1737,alternative,YAS,YASFREYA STRAP MIDI DRESS , Cocktail dress / Party dress,Cocktail Dresses,69.99,black,,,Lace,,100% polyester,"98% polyester, 2% elastane","Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",,,,Zip,Low-cut v-neck,Plain,"Adjustable straps, slip",Y0121C1QU-Q11,Calf-length,Spaghetti straps,"49.0 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S",
1738,alternative,Superdry,ANISA , Day dress,summer-dresses,30.0,orange,,,,,100% cotton,,,,,,,Crew neck,,,SU221C0M9-E11,Short,Long,,,,
1739,alternative,Versace Jeans Couture,Cocktail dress / Party dress,,Cocktail Dresses,194.99,black,,,Jersey,,"93% polyester, 7% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Zip,Low-cut v-neck,Plain,Adjustable straps,VEI21C043-Q11,Extra short,Spaghetti straps,"32.5 "" (Size 10)",Bodycon,,
1740,girly,Vero Moda,VMFIE SHORT DRESS , Day dress,summer-dresses,37.39,black,,,"Jersey, chiffon",Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,,,Laces,V-neck,Polka dot,Slip,VE121C368-Q11,Short,"18.0 "" (Size S)","35.5 "" (Size S)",Loose Fit,,"14.5 "" (Size S)"
1741,unknown,Calvin Klein,REVEAL DRESS , Cocktail dress / Party dress,Cocktail Dresses,152.99,black,,,Rib,,"90% nylon, 10% elastane",,"Machine wash at 30°C, Machine wash on gentle cycle",,Asymmetrical,,,,Plain,,6CA21C05T-Q11,Long,"Sleeveless, spaghetti straps","54.5 "" (Size S)",Slim Fit,,
1742,trendy,Moss Copenhagen,LAURINE CLOVER DRESS , Day dress,summer-dresses,63.99,black,,,,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,,,Laces,,Polka dot,,M0Y21C08C-Q11,Knee-length,"27.0 "" (Size M)","38.0 "" (Size M)",Loose Fit,"Our model is 5' 10""  tall and is wearing size M",
1743,trendy,BCBGMAXAZRIA,DAY DRESS , Day dress,summer-dresses,289.99,black,,,,,100% polyester,"88% polyester, 12% elastane",Machine wash at 30°C,,,,Zip,Cache-coeur,Plain,"Belt included, slip",MX121C086-Q11,Calf-length,Sleeveless,"49.0 "" (Size S)",Regular Fit,,"13.5 "" (Size S)"
1744,casual chic,ONLY Carmakoma,CARANEMONY CALF DRESS , Day dress,summer-dresses,43.99,black/green,,,,,100% polyester,,"Machine wash at 40°C, do not tumble dry, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",,,,Button,Crew neck,Floral,Bust darts,ONA21C0B8-Q11,Knee-length,"25.5 "" (Size 16)","46.0 "" (Size 16)",Regular Fit,,"16.5 "" (Size 16)"
1745,casual chic,Molly Bracken,LADIES DRESS , Day dress,summer-dresses,59.99,black multi-coloured,,,Chiffon,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Low-cut v-neck,Floral,"Elasticated waist, slip",M6121C0UC-Q11,Calf-length,Short,"48.0 "" (Size S)",Regular Fit,,"14.5 "" (Size S)"
1746,alternative,Alice + Olivia,DELORA FLARE MINI , Jersey dress,Cocktail Dresses,350.0,multi-coloured,,,Jersey,,"97% viscose, 3% elastane","84% nylon, 16% elastane",Dry clean only,,,,Zip,Crew neck,Paisley,Slip,A2N21C01G-H11,Short,"23.5 "" (Size 8)","34.0 "" (Size 8)",Bodycon,"Our model is 5' 11""  tall and is wearing size 8",
1747,unknown,Marchesa,Cocktail dress / Party dress,,Cocktail Dresses,,black,,,Velvet/velour,,"95% cupro, 5% elastane",100% polyester,Dry clean only,,,,Zip,Backless,Plain,"Bust darts, slip, bow, rhinestones",M7G21C00L-Q11,Calf-length,Sleeveless,"47.5 "" (Size 10)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 10",
1748,classic,Diane von Furstenberg,PORTO DRESS , Day dress,summer-dresses,415.0,black/green,,,Satin,,100% viscose,,Dry clean only,,Asymmetrical,,Belt,Cache-coeur,Polka dot,Border,DF221C0CK-M11,Calf-length,"25.0 "" (Size 8)","45.5 "" (Size 8)",Slim Fit,"Our model is 5' 9""  tall and is wearing size 8","13.5 "" (Size 8)"
1749,edgy,JDY,JDYBASIL DRESS  , Day dress,summer-dresses,25.99,black/white,,,,,100% polyester,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Low-cut v-neck,Checked,,JY121C0QG-Q11,Short,Elbow length,"35.5 "" (Size 8)",Loose Fit,"Our model is 5' 9""  tall and is wearing size 8","14.0 "" (Size 8)"
1750,girly,Proenza Schouler White Label,SHIRT DRESS , Day dress,summer-dresses,290.0,army green,,,Sweat,,100% cotton,,Dry clean only,,,,,Backless,Plain,,P1Y21C00J-M11,Extra short,Elbow length,"34.0 "" (Size S)",Oversized,"Our model is 5' 10""  tall and is wearing size S",
1751,unknown,Lauren Ralph Lauren,MONAE , Occasion wear,Occasion dresses,264.99,gold,,,Jersey,,"94% polyester, 6% elastane","95% polyester, 5% elastane","Hand wash only, Dry cleanable",,,,Zip,Cache-coeur,,Sequins,L4221C1AV-Q11,Long,Spaghetti straps,"61.0 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8",
1752,classic,Kaffe,SAMILLE AMBER DRESS , Day dress,summer-dresses,64.99,brown,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,,,,Low-cut v-neck,Floral,,KA321C0RL-B11,Calf-length,"18.5 "" (Size 8)","40.0 "" (Size 8)",Loose Fit,"Our model is 5' 9""  tall and is wearing size 8","15.5 "" (Size 8)"
1753,trendy,Nly by Nelly,ALL I WANTED FLOUNCE DRESS , Day dress,summer-dresses,42.99,pastel green,,,Chiffon,,"75% cotton, 25% polyamide",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Zip,Crew neck,Plain,Bust darts,NEG21C0I4-C11,Short,"24.5 "" (Size 8)","35.0 "" (Size 8)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
1754,classic,ONLY Petite,ONLDREAMER LIFE FLOUNCE , Day dress,summer-dresses,22.09,black,,,Sweat,,"87% cotton, 13% polyester",,"Do not tumble dry, machine wash at 30°C",,,,,Crew neck,Plain,,OP421C0C1-C11,Knee-length,"24.5 "" (Size S)","34.5 "" (Size S)",Loose Fit,"Our model is 5' 5""  tall and is wearing size S",
