"Out of the following color options, which would you be least likely to wear? Limit your choices to max. 10 options.","Out of the following prints, which would you be least likely to wear? There is no choice limitation.","Out of the following necklines, which would you be least likely to wear? There is no choice limitation.","Out of the following collars, which would you be least likely to wear? There is no choice limitation.","Out of the following materials, which would you be least likely to wear? There is no choice limitation.","Out of the following dress types, which would you be least likely to wear? There is no choice limitation.","Out of the following skirt lengths, which would you be most likely to wear? There is no choice limitation.","Out of the following color options, which would you be most likely to wear? Limit your choices to max. 10 options.",What type of fit(s) do you prefer?,"Out of the following sleeve lengths types, which would you be most likely to wear? There is no choice limitation.","What Zalando brands do you typically buy? If you have other favorite brands, you can indicate them in the last text box. - Selected Choice","What Zalando brands do you typically buy? If you have other favorite brands, you can indicate them in the last text box. - Other options: - Text",What is your opinion on sequins/rhinestones?,What is your opinion on shoulder pads?,Are pockets in a dress important to you?,Do you like backless dresses?,Do you like sheer dresses?,What budget do you typically spend on dresses?,What is your height (+-)?,What is your age? You can leave this blank if you would rather not say.,Dress 1/20 How likely is it that you would wear this dress?,Dress 2/20 How likely is it that you would wear this dress?,Dress 3/20. How likely is it that you would wear this dress?,Dress 4/20. How likely is it that you would wear this dress?,Dress 5/20. How likely is it that you would wear this dress?,Dress 6/20. How likely is it that you would wear this dress?,Dress 7/20. How likely is it that you would wear this dress?,Dress 8/20 How likely is it that you would wear this dress?,Dress 9/20. How likely is it that you would wear this dress?,Dress 10/20. How likely is it that you would wear this dress?,Dress 11/20. How likely is it that you would wear this dress?,Dress 12/20. How likely is it that you would wear this dress?,Dress 13/20. How likely is it that you would wear this dress?,Dress 14/20. How likely is it that you would wear this dress?,Dress 15/20. How likely is it that you would wear this dress?,Dress 16/20. How likely is it that you would wear this dress?,Dress 17/20. How likely is it that you would wear this dress?,Dress 18/20. How likely is it that you would wear this dress?,Dress 19/20. How likely is it that you would wear this dress?,Dress 20/20. How likely is it that you would wear this dress?,"What styles do you identify most with? Limit yourself to picking three looks"
"Burgundy,Brown,Burnt orange,Gold,Orange,Red,Silver","Animal print,Paisley,Striped","Henley neckline,Cowl neckline,Low round neckline,Spaghetti straps","Peter pan collar,Volant/frill collar,Standing collar","Leather,Satin","Bodycon dresses,Hooded dresses,Polo dresses,Pleated dresses","Thigh length,Knee length,Calf length,Maxi/long","Army green,Blue,Electric blue,Green,Off-white,Pastel blue,Sand",Regular fit,"Short,Elbow length,Long","Mango,Pinko,Bruuns Bazaar",,Negative,Neutral,Yes,Yes,No,â‚¬80-120,168,21,1- Very unlikely to wear,5- Very likely to wear,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,4- Likely to wear,3- Neutral,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,3- Neutral,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,5- Very likely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern"
"Burgundy,Burnt orange,Gold,Green,Off-white,Orange,Pastel orange,Pastel yellow,Red,Yellow","Checked,Large floral,Paisley,Striped,Polka dot,Prints in general","Cowl neckline,Boat neckline (wide),Square neckline,Spaghetti straps","Peter pan collar,Zip neck collar,Standing collar","Chiffon,Satin,Silk","Wrap dresses,Pleated dresses","Knee length,Calf length,Maxi/long","Army green,Black,Blue,Electric blue,Grey,Navy,Pastel blue,Silver",Slim fit,"Sleeveless,Short,Elbow length,Long","Desigual,Superdry,Esprit,Tommy Hilfiger",,Neutral,Neutral,Neutral,No,Neutral,â‚¬80-120,"1,64m",47,4- Likely to wear,3- Neutral,2- Unlikely to wear,,1- Very unlikely to wear,3- Neutral,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,5- Very likely to wear,1- Very unlikely to wear,3- Neutral,1- Very unlikely to wear,5- Very likely to wear,2- Unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Sporty - Adaptation of activewear, comfort focused,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Blue,Electric blue,Gold,Green,Orange,Pastel yellow,Pink,Purple,Red,Silver","I don't like any of these prints (you prefer plain clothing)","Henley neckline,Square neckline","Mandarin collar,Peter pan collar,Bow/shawl collar,Volant/frill collar,Standing collar","Linnen,Wool","Polo dresses,Button down dresses,Pleated dresses","Extra short,Short","Army green,Black,Burgundy,Brown,Dark green,Grey,Navy,Pastel green,White",Slim fit,"Strapless,Sleeveless,Elbow length,Long","Only,Mango,Tommy Hilfiger,Other options:","Missguided",Negative,Negative,Neutral,Yes,Neutral,"< â‚¬40,â‚¬40-80",169,21,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,1- Very unlikely to wear,3- Neutral,3- Neutral,2- Unlikely to wear,"Edgy - Transmits boldness, characterized by dark colors, leather, animal print, plaidâ€¦,Sporty - Adaptation of activewear, comfort focused,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern"
"Burgundy,Gold,Purple,Silver","Polka dot","Cowl neckline,Square neckline","Peter pan collar","I don't have a preference on materials","Bodycon dresses,Hooded dresses","Thigh length,Maxi/long","Electric blue,Pastel blue,Pastel pink,Pastel purple,Pastel yellow,Pink,White","Slim fit,Regular fit","Short,Long","Mango,Vila,NA-KD,Pinko",,Neutral,Positive,No,Yes,No,"â‚¬40-80,â‚¬80-120,â‚¬120 - 200",168,47,1- Very unlikely to wear,3- Neutral,4- Likely to wear,2- Unlikely to wear,1- Very unlikely to wear,4- Likely to wear,4- Likely to wear,4- Likely to wear,3- Neutral,3- Neutral,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,4- Likely to wear,3- Neutral,3- Neutral,4- Likely to wear,4- Likely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Off-white,Pastel green,Pastel yellow,Silver,Yellow","Checked,Paisley,Striped,Polka dot","Round neckline,Boat neckline (wide),Square neckline","Mandarin collar,Zip neck collar","Linnen,Silk","Button down dresses","Short,Thigh length,Knee length,I like all lengths","Black,Blue,Pink,Red,Stone","Slim fit,Regular fit","Short,One shoulder,Long","Only,Mango",,Neutral,Neutral,Yes,Yes,Neutral,â‚¬40-80,173cm,49,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,4- Likely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,4- Likely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,5- Very likely to wear,3- Neutral,4- Likely to wear,"Edgy - Transmits boldness, characterized by dark colors, leather, animal print, plaidâ€¦"
"Army green,Black,Gold,Off-white,Red,Sand,White","I don't like any of these prints (you prefer plain clothing)","Henley neckline,Round neckline,Low v-neck","Lapel collar,Bow/shawl collar,Zip neck collar","Leather,Linnen,Silk,Wool,Cotton","Accentuating the waist,Button down dresses","Short,Thigh length,Maxi/long","Army green,Black,Dusty pink,Gold,Grey,Navy,Off-white,Sand","Slim fit,Loose fit","Sleeveless,Short,Long","Marlene Birger",,Neutral,Negative,Neutral,No,No,> â‚¬200,"1,72",56,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,4- Likely to wear,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Edgy - Transmits boldness, characterized by dark colors, leather, animal print, plaidâ€¦,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern"
"Grey,Purple,Yellow","Striped,Polka dot","Henley neckline,Boat neckline (wide),Square neckline","Mandarin collar,Peter pan collar","I don't have a preference on materials","Bodycon dresses,Hooded dresses,Polo dresses","Short,Thigh length,Maxi/long","Army green,Black,Dusty pink,Green,Off-white,Pastel blue,Pastel green,Pastel pink,Pastel yellow,Sand,Stone",Regular fit,"Sleeveless,Short,Elbow length,Long","Other options:","Sandro, Maje",Negative,Negative,No,Yes,Neutral,"â‚¬120 - 200,> â‚¬200",160,23,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Classic - Timeless in nature, being a more formal and conservative style,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern"
"Orange,Pastel orange,Red","I like all of these prints","Cowl neckline,V-neck,Square neckline,Spaghetti straps","Peter pan collar,Zip neck collar,Volant/frill collar","Leather,Wool","Wrap dresses,Bodycon dresses,Polo dresses,Pleated dresses","Thigh length,Knee length,Calf length,Maxi/long","Black,Blue,Dusty pink,Gold,Off-white,Pastel blue,Pastel green,Pastel purple,Sand","Regular fit,Loose fit","Sleeveless,Short,Elbow length","Only,Mango,Vila",,Neutral,Neutral,Neutral,Neutral,Neutral,â‚¬80-120,164,44,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,5- Very likely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,4- Likely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Sporty - Adaptation of activewear, comfort focused,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Burgundy,Burnt orange,Dusty pink,Gold,Pastel pink,Pink,Silver","Animal print,Small floral,Paisley,Striped,Polka dot,Prints in general","Low round neckline,V-neck","Mandarin collar,Peter pan collar,Bow/shawl collar,Volant/frill collar,Standing collar","Chiffon,Lace","Accentuating the waist,Polo dresses,Pleated dresses","Short,Thigh length,Maxi/long","Army green,Black,Brown,Off-white,Sand,Stone,White",I don't have a preference,"I like all sleeve lengths","Only,Mango,Vila,JDY,Pieces,NA-KD,Other options:","Stradivarius, Bershka, P&B,â€¦",Negative,Negative,No,Yes,No,"< â‚¬40,â‚¬40-80",165,22,1- Very unlikely to wear,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,1- Very unlikely to wear,3- Neutral,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern"
"Army green,Burgundy,Burnt orange,Dark green,Dusty pink,Green,Orange,Pastel orange,Yellow","Animal print,Checked","Cowl neckline,Square neckline","Mandarin collar,Peter pan collar","Leather","Hooded dresses,Polo dresses","Knee length,Calf length,Maxi/long","Black,Gold,Grey,Navy,Off-white,Pastel blue,Pastel pink,Pink,Silver,Stone,White","Slim fit,Regular fit","Sleeveless,Short,Elbow length,Long","Mango,Vila,Esprit",,Positive,Negative,No,Neutral,Yes,"â‚¬40-80,â‚¬80-120",165,48,2- Unlikely to wear,4- Likely to wear,3- Neutral,4- Likely to wear,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,3- Neutral,4- Likely to wear,3- Neutral,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,4- Likely to wear,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,3- Neutral,2- Unlikely to wear,4- Likely to wear,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Classic - Timeless in nature, being a more formal and conservative style,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Black,Burgundy,Dark green,Dusty pink,Green,Navy,Off-white,Pastel green,Pastel pink,Pink","Animal print,Checked,Striped,I don't like any of these prints (you prefer plain clothing)","Henley neckline,Round neckline,Low round neckline,V-neck,Low v-neck","Lapel collar","Chiffon,Satin,Silk","Hooded dresses,Polo dresses","Thigh length,Calf length,Maxi/long","Black,Burgundy,Dark green,Dusty pink,Navy,Off-white,Pink,Stone",I don't have a preference,"Sleeveless,Short,Elbow length,Long","Only,Vila,Hugo Boss,Ralph Lauren,Esprit,NA-KD",,Positive,Positive,Neutral,Neutral,Neutral,"â‚¬80-120,â‚¬120 - 200",178,32,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,3- Neutral,3- Neutral,4- Likely to wear,3- Neutral,2- Unlikely to wear,3- Neutral,3- Neutral,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,3- Neutral,4- Likely to wear,4- Likely to wear,4- Likely to wear,3- Neutral,"Classic - Timeless in nature, being a more formal and conservative style,Edgy - Transmits boldness, characterized by dark colors, leather, animal print, plaidâ€¦"
"Orange,Pastel orange,Yellow","Paisley,Prints in general","Cowl neckline","Standing collar","Leather","Hooded dresses,Polo dresses","Short,Thigh length,Maxi/long","Black,Burgundy,Stone",I don't have a preference,"Sleeveless,Short,Elbow length,Long","Only,Mango,Vila,Esprit,Pieces,NA-KD",,Positive,Neutral,No,Neutral,No,"< â‚¬40,â‚¬40-80",170 cm,26,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,1- Very unlikely to wear,5- Very likely to wear,4- Likely to wear,5- Very likely to wear,3- Neutral,4- Likely to wear,2- Unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Classic - Timeless in nature, being a more formal and conservative style,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Dusty pink,Pastel pink,Pink","Animal print,Large floral,Paisley,Polka dot,Prints in general","Cowl neckline,Low v-neck,Square neckline,Spaghetti straps","I like every collar","Leather","Accentuating the waist,Wrap dresses,Bodycon dresses,Pleated dresses","Thigh length,Knee length,Calf length,Maxi/long","Black,Blue,Electric blue,Navy,Pastel blue,Pastel green",I don't have a preference,"Short,Elbow length,Long","Ralph Lauren,Lacoste,Marc'o polo,Tommy Hilfiger",,Neutral,Neutral,Yes,No,No,"â‚¬80-120,â‚¬120 - 200",1m68,,4- Likely to wear,5- Very likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Gold,Green,Off-white,Orange,Pastel purple,Pastel yellow,Pink","Animal print,Small floral,Large floral,Paisley,Prints in general","Henley neckline,Spaghetti straps","Mandarin collar,Bow/shawl collar,Zip neck collar","I don't have a preference on materials","Wrap dresses,Hooded dresses,Polo dresses","Knee length,Calf length","Army green,Blue,Grey,Navy",Slim fit,"I like all sleeve lengths","Esprit",,Neutral,Negative,Neutral,Neutral,Neutral,â‚¬80-120,1m78,39,2- Unlikely to wear,4- Likely to wear,3- Neutral,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,4- Likely to wear,5- Very likely to wear,5- Very likely to wear,5- Very likely to wear,4- Likely to wear,3- Neutral,3- Neutral,2- Unlikely to wear,5- Very likely to wear,3- Neutral,3- Neutral,1- Very unlikely to wear,2- Unlikely to wear,"Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Brown,Orange,Pastel green,Pastel orange,Pastel yellow,Yellow","Animal print,Paisley","Boat neckline (wide)","Peter pan collar,Volant/frill collar","I don't have a preference on materials","Polo dresses,Button down dresses","Short,Thigh length,Calf length","Army green,Black,Blue,Burgundy,Burnt orange,Dark green,Dusty pink,Gold,Green,Grey,Navy,Pastel pink,Pastel purple,Pink,Purple",Regular fit,"Sleeveless,Short,Elbow length,Long","Only,Mango,Vila,NA-KD,Tommy Hilfiger",,Negative,Negative,Yes,Yes,Neutral,"â‚¬40-80,â‚¬80-120",163cm,21,2- Unlikely to wear,3- Neutral,3- Neutral,1- Very unlikely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,3- Neutral,4- Likely to wear,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,5- Very likely to wear,4- Likely to wear,4- Likely to wear,3- Neutral,1- Very unlikely to wear,4- Likely to wear,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Classic - Timeless in nature, being a more formal and conservative style,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Gold,Orange,Pastel orange,Pastel yellow,Sand,Yellow","Animal print,Large floral,Paisley","Cowl neckline,Low v-neck","Lapel collar,Peter pan collar,Zip neck collar","Denim,Leather","Bodycon dresses,Polo dresses,Pleated dresses","Short,Thigh length,Knee length,Calf length,Maxi/long","Black,Blue,Brown,Dark green,Dusty pink,Electric blue,Green,Grey,Navy,Pastel blue,Pastel green,Pastel pink,Pastel purple,Pink,Purple,Red","Slim fit,Loose fit","Sleeveless,Short,One shoulder,Elbow length,Long","Only,Mango,Vila",,Neutral,Negative,No,Yes,No,"â‚¬40-80,â‚¬80-120",172,43,3- Neutral,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,4- Likely to wear,4- Likely to wear,4- Likely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,"Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Electric blue,Gold,Pastel yellow,Pink,Purple,Silver,Yellow","Animal print,Large floral,Striped,Polka dot","Low round neckline,Boat neckline (wide)","Peter pan collar,Bow/shawl collar,Volant/frill collar,Standing collar","I don't have a preference on materials","Wrap dresses,Bodycon dresses,Hooded dresses,Pleated dresses","Short,Thigh length","Burgundy,Burnt orange,Dark green,Green","Regular fit,Loose fit","Short","Other options:","Zara",Negative,Negative,Yes,Yes,No,â‚¬80-120,178,24,1- Very unlikely to wear,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,"Classic - Timeless in nature, being a more formal and conservative style"
"Gold,Navy,Orange,Pastel orange","Paisley","Cowl neckline,Boat neckline (wide),Square neckline,Spaghetti straps","Peter pan collar","I don't have a preference on materials","Bodycon dresses,Hooded dresses,Polo dresses,Button down dresses","Thigh length,Knee length,Calf length,Maxi/long","Black,Brown,Off-white,Pastel blue,Pastel pink,Pastel purple,Pink,White","Regular fit,Loose fit","Short,Elbow length,Long","Mango,NA-KD",,Neutral,Negative,Yes,Yes,No,â‚¬80-120,169,23,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,5- Very likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,4- Likely to wear,4- Likely to wear,1- Very unlikely to wear,3- Neutral,3- Neutral,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Classic - Timeless in nature, being a more formal and conservative style"
"Army green,Burnt orange,Dusty pink,Green,Grey,Purple,Red,Silver,Yellow","I don't like any of these prints (you prefer plain clothing)","Low round neckline,V-neck,Low v-neck","Peter pan collar,Volant/frill collar,Standing collar","Leather,Jersey,Lace","Accentuating the waist,Hooded dresses,Polo dresses","Extra short,Short,Thigh length","Black,Brown,Dark green,Navy,Off-white,Pastel blue,Pastel green,Pastel purple,Stone,White","Slim fit,Loose fit","Sleeveless,Short,One shoulder,Elbow length,Long","Mango,Vila,NA-KD",,Positive,Positive,No,Yes,Neutral,â‚¬40-80,1m73,22,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,3- Neutral,3- Neutral,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,3- Neutral,3- Neutral,1- Very unlikely to wear,4- Likely to wear,4- Likely to wear,4- Likely to wear,"Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern"
"Off-white,Pastel yellow,Silver,Stone,White,Yellow","I like all of these prints","Cowl neckline,Square neckline","I like every collar","Chiffon,Lace","Bodycon dresses","Thigh length,Knee length,Calf length,Maxi/long","Army green,Black,Blue,Burgundy,Burnt orange,Dark green,Navy,Purple",I don't have a preference,"Short,Elbow length,Long","Vila,Hugo Boss,Tommy Hilfiger,Other options:","Missguided/Anna Field/Even&Odd/Oysho/Kiomi/Lost Ink/Calvin Klein/Abercrombie&Fitch",Positive,Positive,Yes,Neutral,Neutral,"< â‚¬40,â‚¬40-80,â‚¬80-120",170cm,31,3- Neutral,5- Very likely to wear,3- Neutral,3- Neutral,2- Unlikely to wear,4- Likely to wear,3- Neutral,4- Likely to wear,5- Very likely to wear,4- Likely to wear,3- Neutral,5- Very likely to wear,3- Neutral,5- Very likely to wear,4- Likely to wear,3- Neutral,5- Very likely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare,Alternative - Closely related to casual chic, though more deviating from widely popular trends, with a neutral and bohemian touch"
"Blue,Burgundy,Burnt orange,Dark green,Electric blue,Gold,Green,Orange,Pastel green,Pastel orange,Pink,Purple,Red,Silver,Yellow","Animal print,Large floral,Paisley,Striped","Cowl neckline","Bow/shawl collar","I don't have a preference on materials","Hooded dresses,Polo dresses,Button down dresses,Pleated dresses","Extra short,Short,Maxi/long","Black,Dusty pink,Navy,Off-white,Pastel pink,Sand,Stone,White","Regular fit,I don't have a preference","Sleeveless,Long","Mango,NA-KD",,Neutral,Neutral,No,Yes,Neutral,"â‚¬40-80,â‚¬80-120",177cm,22,1- Very unlikely to wear,3- Neutral,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,3- Neutral,1- Very unlikely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,4- Likely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,3- Neutral,"Classic - Timeless in nature, being a more formal and conservative style,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern"
"Brown,Orange,Purple,Yellow","Checked,Paisley,Striped","Cowl neckline,Square neckline","Peter pan collar","Chiffon,Lace","Wrap dresses,Pleated dresses","Knee length,Calf length,Maxi/long","Black,Grey,Navy,Off-white,Pastel orange,Pastel purple,Sand,White",Regular fit,"Elbow length,Long","Mango,Vila,Yas",,Neutral,Neutral,Neutral,No,Neutral,â‚¬80-120,167,50,3- Neutral,4- Likely to wear,4- Likely to wear,4- Likely to wear,1- Very unlikely to wear,3- Neutral,4- Likely to wear,3- Neutral,2- Unlikely to wear,4- Likely to wear,3- Neutral,4- Likely to wear,3- Neutral,4- Likely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,3- Neutral,4- Likely to wear,4- Likely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Army green,Brown,Burnt orange,Purple","Animal print,Paisley,Polka dot","Low round neckline,Square neckline","Peter pan collar","I don't have a preference on materials","Bodycon dresses,Polo dresses,Pleated dresses","Thigh length,Maxi/long","Black,Blue,Electric blue,Gold,Off-white,Orange,Pink,Silver",Regular fit,"Long","Mango,Other options:","Zara",Positive,Neutral,Neutral,Yes,No,"â‚¬80-120,â‚¬120 - 200",178 cm,22,3- Neutral,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,3- Neutral,3- Neutral,4- Likely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern"
"Pastel blue,Pastel orange,Pastel yellow","Small floral,Paisley,Prints in general","I like every neckline","Mandarin collar,Zip neck collar,Standing collar","Lace","Hooded dresses,Pleated dresses","Thigh length,Knee length,Calf length,Maxi/long","Black,Blue,Off-white,Pink,Sand,White",Slim fit,"Sleeveless,Short","Mango,Vila,Diane von Furstenberg,Pinko",,Neutral,Positive,No,Yes,No,â‚¬120 - 200,173,45,1- Very unlikely to wear,2- Unlikely to wear,4- Likely to wear,3- Neutral,1- Very unlikely to wear,4- Likely to wear,4- Likely to wear,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,3- Neutral,3- Neutral,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,4- Likely to wear,"Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
