"predict","alternative","casual chic","classic","edgy","girly","sporty","trendy","C1","brand","description","day dress","category","price","color","Bottom part material","Contains non-textile parts of animal origin","Fabric","Sheer","Outer fabric material","Lining","Care instructions","Collar","Cut","Pockets","Fastening","Neckline","Pattern","Details","Article number","Length","Sleeve length","Total length","Fit","Our model's height","Back width"
"edgy",0.058552952807360184,3.1379496591007924E-4,0.015726762804321663,0.460300207607405,0.4417844320587716,3.3225734195517204E-8,0.02332181653049726,2068,"Esprit Collection","Cocktail dress / Party dress",,"Cocktail Dresses",49.99,"black",,,,"Very sheer","64% viscose, 30% polyamide, 6% elastane","100% polyester","Do not bleach, do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,"Button","Crew neck","Plain","Sequins, slip","ES421C1KN-Q11","Short","Short",,"Slim Fit",,
"alternative",0.9999315573002848,3.343007492979012E-5,1.1616719459352615E-9,7.03982084802792E-6,1.3557033332289616E-6,1.5760075988191297E-13,2.661593877478051E-5,2069,"Pieces","PCHOPE ","Denim dress","summer-dresses",43.99,"denim",,,"Denim",,"100% cotton",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle","Shirt collar",,,"Button",,,"Belt included","PIP21C04I-K11","Calf-length","26.0 "" (Size S)","43.5 "" (Size S)","Regular Fit",,"14.0 "" (Size S)"
"alternative",0.9935189158010964,4.356911107302027E-5,1.9600850056452287E-7,5.588928965312337E-5,0.006234252263369221,2.563064393584977E-11,1.4717750067694306E-4,2070,"Even&Odd Maternity","Day dress",,"summer-dresses",26.34,"green",,,,,"95% viscose, 5% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,"Cache-coeur","Plain","Bow","EVO29F009-M11","Short","Short",,"Slim Fit",,
"girly",8.70830391872476E-11,1.0791894285603248E-9,6.078657403821985E-5,1.9827103924220317E-6,0.9923441732841138,1.723018409286181E-21,0.007593056265183126,2071,"Lauren Ralph Lauren","STRIPED CHIFFON GOWN ","Occasion wear","Occasion dresses",244.99,"blue",,,"Chiffon",,"100% polyester","100% polyester","Machine wash at 30°C, Machine wash on gentle cycle",,,,"Zip","Cache-coeur","Striped","Slip","L4221C1D4-K11","Long","Short","56.5 "" (Size 10)","Regular Fit","Our model is 5' 10""  tall and is wearing size 10","15.0 "" (Size 10)"
"girly",0.3133377856592633,0.013310612654709151,0.0012989818884792136,0.026336074059271502,0.6456175483576606,7.82999063080755E-6,9.116738998534102E-5,2072,"Esprit Collection","Day dress",,"summer-dresses",,"white multi-coloured",,,"Mesh",,"92% polyester, 8% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,"Zip","Low-cut v-neck","Print","Slip","ES421C1JV-A11","Knee-length","20.5 "" (Size S)","41.0 "" (Size S)","Regular Fit",,
"girly",0.030143089045803904,0.0023429893605595065,1.8398810778206515E-6,2.887297194232209E-4,0.9672173925350575,7.048748667823571E-10,5.958753203226497E-6,2073,"ONLY","ONLHANNA  DRESS ","Day dress","summer-dresses",23.24,"red",,,"Chiffon",,"100% polyester","100% polyester","Machine wash at 40°C, do not tumble dry, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",,,,,"Low-cut v-neck","Floral","Bust darts, slip","ON321C2PN-G11","Short","23.0 "" (Size S)","34.5 "" (Size S)","Regular Fit","Our model is 5' 10""  tall and is wearing size S","16.5 "" (Size S)"
"alternative",0.969735018012762,0.028538021080209024,5.020396720987949E-6,8.859955554728023E-6,0.0017106315451922668,5.3032063185264384E-14,2.4490095081781246E-6,2074,"Vero Moda","VMMVICA SHIRT DRESS ","Day dress","summer-dresses",30.99,"pastel orange",,,,,"100% viscose",,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur",,,,"Button","Low-cut v-neck","Print","Belt included","VE129F02H-J11","Calf-length","Short",,"Regular Fit",,
"girly",1.358447791482034E-6,7.654756977620143E-7,6.652099452485687E-6,0.0017181634138749612,0.9952466599300344,1.766327214534097E-18,0.0030264006331491614,2075,"Esprit Collection","ECOVERO ","Cocktail dress / Party dress","Cocktail Dresses",,"pastel green",,,,,"100% viscose",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,"Zip","Cache-coeur","Plain","Belt included, slip","ES421C1JR-M11","Calf-length","Sleeveless","46.5 "" (Size 10)","Regular Fit","Our model is 5' 10""  tall and is wearing size 10","15.0 "" (Size 10)"
"trendy",1.0924250701976439E-13,8.75027458117299E-10,1.537369932539888E-6,0.2133979283669175,3.668311298778794E-4,3.2689637547324454E-25,0.7862337022581354,2076,"Lauren Ralph Lauren","WOOL CREPE SLEEVELESS TUXEDO DRESS ","Cocktail dress / Party dress","Cocktail Dresses",334.99,"black",,,,,"53% cotton, 41% viscose, 6% elastane","94% polyester, 6% elastane","Hand wash only, Dry cleanable","Lapel collar",,,"Button","Cache-coeur","Plain","Slip, decorative buttons","L4221C1CG-Q11","Knee-length","Sleeveless","40.5 "" (Size 10)","Slim Fit",,"13.0 "" (Size 10)"
"girly",0.291777463380372,0.2734248310644195,9.390485055806757E-5,0.02858170758846249,0.40585874626705565,7.31292250085974E-12,2.63346841819319E-4,2077,"ICHI","IHCUNILLA ","Day dress","summer-dresses",74.99,"white multi-coloured",,,,,"100% viscose",,"Do not tumble dry, machine wash at 30°C",,,,"Button","Low-cut v-neck","Floral","Belt included","IC221C0J3-A11","Knee-length","15.5 "" (Size 8)","37.0 "" (Size 8)","Loose Fit",,"15.5 "" (Size 8)"
"girly",0.12626791693493392,5.875462837588334E-4,1.1542757295581076E-4,9.867118739463554E-5,0.8661860425982357,4.478738737731874E-12,0.006744395418242184,2078,"Roxy","GIRLY COMMUNITY ","Day dress","summer-dresses",54.99,"white multi-coloured",,,,,"100% viscose",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle","Standing collar",,,,"Low-cut v-neck","Floral","Elasticated waist, bust darts","RO521C068-A11","Long","Short","53.0 "" (Size S)","Regular Fit",,"15.0 "" (Size S)"
"edgy",5.487612797521531E-7,3.958311971255695E-9,2.2379155808983156E-7,0.9778254681370231,2.2634788165233564E-4,1.503986414852725E-10,0.021947407319776242,2079,"WAL G.","SHAKILA SEQUIN TOP DRESS ","Shift dress","Cocktail Dresses",40.99,"black",,,"Jersey",,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30°C",,,,"Zip","Low-cut v-neck","Plain","Padded bust, sequins","WG021C0QU-Q11","Knee-length","Sleeveless","41.5 "" (Size 10)","Slim Fit","Our model is 5' 9""  tall and is wearing size 10",
"girly",0.4116251442420604,0.0013198326451463816,6.270922365594781E-7,8.889029458285911E-7,0.5870246510341088,2.5643283291634545E-11,2.8856057858743258E-5,2080,"VILA PETITE","VIMICADA V NECK DRESS  ","Day dress","summer-dresses",34.99,"pink",,,"Chiffon",,"100% polyester","100% polyester","Do not tumble dry, machine wash at 30°C",,,,,"Low-cut v-neck","Plain","Belt included, slip","VIP21C03Q-J11","Short","Short",,"Regular Fit",,
"alternative",0.8484100098032112,0.10215224412377573,2.7287323181272954E-6,0.049417099264447345,1.7341652049342477E-5,1.122353537013604E-12,5.764230759306829E-7,2081,"Soyaconcept","SC","BELINDE 3 ","summer-dresses",79.99,"navy",,,"Chiffon",,"100% polyester","95% viscose, 5% elastane","Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur","Standing collar",,,"Button",,"Paisley","Slip","SO821C091-K11","Calf-length","25.0 "" (Size S)","48.5 "" (Size S)","Loose Fit","Our model is 5' 8""  tall and is wearing size S","14.0 "" (Size S)"
"trendy",0.001864395670794306,0.0013951301213576096,2.7096731448368047E-4,2.336774260011008E-5,0.18429751428663774,1.0718259386195198E-10,0.8121486247569439,2082,"Mother of Pearl","GATHERED DRESS WITH SPLITS AND TIE CUFFS ","Day dress","summer-dresses",295.0,"sand",,,,,"100% lyocell",,"Hand wash only",,,,"Laces","Crew neck","Plain","Belt included","MP421C02Y-B11","Calf-length","24.0 "" (Size S)","47.0 "" (Size S)","Loose Fit","Our model is 5' 10""  tall and is wearing size S","15.5 "" (Size S)"
"alternative",0.9998959857264761,2.3301981330134403E-6,3.2486179505019754E-10,2.8464421166596617E-5,4.823059285622072E-7,2.9963595099631004E-18,7.273702343381148E-5,2083,"Springfield","VESTIDO CORTO MANDALA ","Day dress","summer-dresses",34.99,"multi-coloured",,,"Chiffon",,"100% polyester","100% polyester","Machine wash at 30°C, Machine wash on gentle cycle",,,,"Button","Backless","Paisley","Slip","FI021C066-K11","Short","24.5 "" (Size 8)","34.0 "" (Size 8)","Regular Fit","Our model is 5' 9""  tall and is wearing size 8",
"girly",3.1450024653465927E-5,1.5107882129063734E-7,3.5999762754124666E-7,0.23355865298517986,0.7140908570663923,1.3762300206363692E-10,0.052318528709702584,2084,"Nly by Nelly","TWIST NECK DRESS ","Cocktail dress / Party dress","Cocktail Dresses",27.99,"brown",,,"Velvet/velour",,"92% polyester, 8% elastolefin",,"Do not tumble dry, machine wash at 30°C",,,,"Laces","Backless","Plain",,"NEG21C0HN-O11","Short","Sleeveless","35.5 "" (Size S)","Bodycon","Our model is 5' 9""  tall and is wearing size S",
"girly",0.0025641799654419787,0.009200210761495721,3.239666915609238E-6,0.04893871093539108,0.9324889106840385,2.2442903862155632E-11,0.006804747964274241,2085,"YAS","YASJULIETTE DRESS ","Day dress","summer-dresses",59.99,"black/white",,,,,"80% polyester, 20% wool","100% polyester","Do not tumble dry, Do not wash",,,,,"V-neck","Checked","Slip","Y0121C1R7-Q11","Short","Sleeveless","34.5 "" (Size S)","Regular Fit","Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size S)"
"alternative",0.859370687962545,1.463805523049928E-6,3.917370161100441E-6,0.0038256697870111067,7.310572922209714E-4,1.5374759068761389E-7,0.13606705003494796,2086,"Even&Odd Petite","Day dress",,"summer-dresses",34.99,"black",,,"Jersey",,"95% cotton, 5% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,"Button","Scoop neck","Plain",,"EVF21C02M-Q11","Knee-length","20.5 "" (Size S)","31.5 "" (Size S)","Bodycon",,
"alternative",0.9896684041953848,2.2416920117927394E-6,6.184274241056692E-7,0.0030286360643801613,7.977048065592326E-4,9.698956312389236E-13,0.00650239481326984,2087,"Marimekko","MIELEINEN ATTIKA ","Day dress","summer-dresses",219.99,"army green",,,,,"97% cotton, 3% elastane",,"Machine wash at 40°C, do not tumble dry",,,,,"Square neck",,,"M4K21C04V-N11","Knee-length","Elbow length","38.5 "" (Size 10)","Loose Fit","Our model is 5' 10""  tall and is wearing size 10","15.5 "" (Size 10)"
"alternative",0.9054154110856963,1.1561697598054505E-5,1.2003145139041331E-6,0.03856406881599673,0.05570749527921407,5.354134965712576E-12,3.0026280162674673E-4,2088,"Notes du Nord","CHERYL DRESS ","Day dress","summer-dresses",199.99,"blue",,,,,"60% polyester, 36% polyamide, 4% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,"Low-cut v-neck","Checked",,"N0P21C013-K11","Calf-length","Elbow length","45.5 "" (Size 10)","Regular Fit",,"14.0 "" (Size 10)"
"trendy",5.626266030603214E-10,2.663691573010626E-9,2.5293954425914737E-10,1.6580791294393572E-4,0.020366219955762717,9.74085069341054E-19,0.9794679686520357,2089,"CMEO COLLECTIVE","FADING DRESS ","Cocktail dress / Party dress","Cocktail Dresses",209.99,"bright multi-coloured",,,,,"100% polyester",,"Do not tumble dry, Hand wash only",,"Asymmetrical",,"Laces","Cowl neck","Print","Zip fastening","CQ421C03L-T11","Knee-length","Spaghetti straps","40.0 "" (Size 10)","Slim Fit","Our model is 5' 10""  tall and is wearing size 10",
"girly",5.384580163736169E-10,3.888535718414043E-11,1.0825978858596848E-9,0.002904933847792538,0.9251393305642219,1.009201681824102E-17,0.0719557339280444,2090,"Missguided Petite","COWL NECK DRESS ","Cocktail dress / Party dress","Cocktail Dresses",32.99,"pastel pink",,,"Satin",,"100% polyester",,"Machine wash at 30°C",,,,"Zip","Backless","Plain","Adjustable straps, bow","M0V21C0OY-J11","Extra short","Spaghetti straps, sleeveless","31.5 "" (Size 8)","Slim Fit",,
"girly",0.12419561734145801,0.03301439372265182,3.230898094631104E-7,2.238426606996971E-6,0.8427873163607714,6.37821768453209E-13,1.1105806453092903E-7,2091,"ONLY","ONLPHILIPPA V NECK LAYERED DRESS ","Day dress","summer-dresses",34.99,"white multi-coloured",,,"Chiffon",,"100% polyester","100% polyester","Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur",,,,,"Cache-coeur","Floral","Slip","ON321C28Z-A11","Short","23.5 "" (Size S)","34.5 "" (Size S)","Regular Fit",,"12.0 "" (Size S)"
"alternative",0.5698816730683466,4.4182529169853916E-5,1.465127404619626E-6,0.4287141872514094,8.86536188548559E-4,9.062038818158853E-7,4.710496312390967E-4,2092,"Libertine-Libertine","SUCH ","Day dress","summer-dresses",154.99,"black",,,"Rib",,"97% viscose, 3% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,"Square neck","Plain",,"LIQ21C02P-Q11","Calf-length","27.0 "" (Size S)","48.0 "" (Size S)","Slim Fit","Our model is 5' 10""  tall and is wearing size S",
"trendy",2.6212967785396015E-8,1.3309612982936716E-12,6.515367659872517E-5,4.130902992735799E-8,0.016243691092648872,1.1028051972709343E-12,0.9836910877063209,2093,"Missguided Tall","LONG SLEEVE DRESS ","Jersey dress","Occasion dresses",33.99,"sand",,,"Rib",,"95% polyester, 5% elastane",,"Machine wash at 30°C, Machine wash on gentle cycle",,,,,"Backless","Plain",,"MIG21C0GW-C11","Long","24.0 "" (Size 8)","53.5 "" (Size 8)","Bodycon",,
"edgy",3.6154776053352166E-9,1.2405033869638663E-13,1.2752086278192547E-4,0.6762507282766959,0.001969753302882614,2.4284270926874203E-25,0.3216519939420379,2094,"Just Cavalli","DRESS ","Jersey dress","Cocktail Dresses",404.99,"brown",,,"Jersey",,"100% viscose",,"Dry clean only",,,,"Zip","Crew neck","Animal print","Bust darts","JU621C0CB-B11","Knee-length","Sleeveless","35.5 "" (Size 10)","Bodycon",,
"alternative",0.43749667505929096,0.2866987569467275,8.347770853769433E-7,0.05358177773800297,0.22215307896567466,1.8108211799296994E-12,6.887651140767108E-5,2095,"Object","OBJBODIL NETTE WRAP DRESS ","Day dress","summer-dresses",54.99,"green",,,,,"53% viscose, 47% polyester",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,"Laces","Cache-coeur","Checked","Bust darts","OB121C0Y9-M11","Calf-length","25.0 "" (Size 8)","46.0 "" (Size 8)","Regular Fit",,"14.0 "" (Size 8)"
"girly",0.26029142269517,0.006174431615304351,1.2973280632428961E-5,0.004241886665402613,0.6843590567919154,1.9850698902811218E-10,0.04492022875306814,2096,"YAS","YASFALAK MIDI DRESS ","Day dress","summer-dresses",59.99,"white",,"Yes",,,"95% cotton, 5% polyester","100% cotton","Machine wash at 30°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",,,,"Button","Crew neck","Striped","Slip, tassels","Y0121C1JG-B11","Calf-length","Elbow length","47.5 "" (Size 10)","Regular Fit",,"16.0 "" (Size 10)"
"alternative",0.9992179161058222,7.791107185435862E-4,9.442237347566923E-10,2.349429012375074E-6,5.974748107804992E-7,4.512115018430629E-16,2.5327586774312913E-8,2097,"ONLY Carmakoma","CARNOVA LIFE ELLIS DRESS ","Day dress","summer-dresses",25.99,"black multi-coloured",,,,,"100% viscose",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,"V-neck","Floral","Bust darts","ONA21C0GV-Q11","Knee-length","Long",,"Regular Fit",,
"casual chic",0.23193494344288337,0.7420903390739182,2.130903953398925E-5,0.004400967518335319,0.020951824012391432,3.351917413886459E-11,6.006168794186172E-4,2098,"MICHAEL Michael Kors","CLIP SMOCKED DRESS ","Day dress","summer-dresses",194.99,"bordeaux",,,,,"100% polyester","100% polyester","Machine wash at 30°C, Machine wash on gentle cycle","Standing collar",,,"Zip",,"Polka dot","Slip, embroidery","MK121C0K5-G11","Short","26.0 "" (Size S)","34.0 "" (Size S)","Regular Fit","Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)"
"girly",0.24126267212486585,0.14089484113667985,5.285415260226402E-6,0.018609626476703816,0.5991210164490414,3.065344251986547E-8,1.0652774400634884E-4,2099,"Pepe Jeans","MEGAN ","Day dress","summer-dresses",74.99,"blue",,,,,"100% polyester","100% polyester","Machine wash at 40°C, do not tumble dry",,,,"Button","Low-cut v-neck",,"Elasticated waist, slip","PE121C0MS-T11","Short","23.0 "" (Size S)","35.0 "" (Size S)","Regular Fit","Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size S)"
"alternative",0.7939503800901039,0.0033137735375600073,1.4233347760717065E-7,0.20141220883446967,0.0013170195651548177,1.5270907744973306E-11,6.475623963215388E-6,2100,"MAMALICIOUS","MLZION LIA WOVEN DRESS ","Day dress","summer-dresses",39.99,"black",,,,,"100% viscose",,"Machine wash at 30°C, Machine wash on gentle cycle","Standing collar",,,"Zip","Low-cut v-neck","Plain","Bust darts","M6429F13O-M11","Knee-length","24.5 "" (Size 8)","41.5 "" (Size 8)","Regular Fit",,"14.0 "" (Size 8)"
"trendy",1.910731290266611E-9,1.067961457194117E-10,3.234268435227807E-7,6.53478290072182E-5,6.390379800682611E-4,3.0791432107997942E-18,0.9992952887465537,2101,"Calvin Klein","SHEER PANEL CAMI DRESS ","Cocktail dress / Party dress","Cocktail Dresses",195.49,"black","76% acetate, 24% polyester",,"Satin",,"76% acetate, 24% polyester",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,"Backless","Plain","Adjustable straps","6CA21C056-Q11","Long","Spaghetti straps","56.5 "" (Size 10)","Regular Fit","Our model is 5' 10""  tall and is wearing size 10","15.5 "" (Size 10)"
"alternative",0.8716048552530665,1.4115890446060394E-4,8.268581489839416E-7,0.02262855300496795,0.10532251023534615,9.248772749595875E-10,3.020948191324444E-4,2102,"IN THE STYLE","BILLIE FAIERS FLORAL BELTED WRAP DRESS ","Day dress","summer-dresses",42.99,"bordeaux",,,,,"100% polyester",,"Do not tumble dry, machine wash at 30°C",,,,"Zip","Cache-coeur","Floral","Belt included","I0421C01C-O11","Short","23.5 "" (Size 6)","32.0 "" (Size 6)","Regular Fit",,"15.0 "" (Size 6)"
"edgy",0.004981864227570705,0.09672979160556072,2.3026567715890157E-5,0.8981437671858737,8.529199901718998E-5,1.1132936966116967E-11,3.6258403128922975E-5,2103,"Soyaconcept","SC","BERRA 2 ","summer-dresses",79.99,"white multi-coloured",,,,,"100% polyester","95% viscose, 5% elastane","Do not tumble dry, machine wash at 30°C",,,,"Button","Low-cut v-neck",,"Slip","SO821C090-K11","Calf-length","25.0 "" (Size S)","47.0 "" (Size S)","Oversized","Our model is 5' 8""  tall and is wearing size S","14.0 "" (Size S)"
"alternative",0.9991497726336727,1.3896564452785126E-6,1.8510419523442829E-7,7.935274483387658E-4,7.326783701881916E-8,9.569791969258001E-8,5.495619159127592E-5,2104,"Morgan","RENOM ","Day dress","summer-dresses",69.99,"army green",,,,,"97% cotton, 3% elastane","100% polyester","Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle","Turn-down collar",,,"Zip",,"Plain","Belt included","M5921C0YW-N11","Knee-length","Short","34.5 "" (Size 8)","Regular Fit",,"14.0 "" (Size 8)"
"alternative",0.7326559721315213,2.6707197905760543E-5,0.05389397115928742,0.049407023265861355,0.14910228808830492,0.0028497756427685586,0.012064262514350634,2105,"Polo Ralph Lauren","BOATNECK MIDI DRESS ","Day dress","summer-dresses",199.99,"army green",,,"Rib",,"100% cotton",,,,,,,"Boat neck","Marl","Belt included","PO221C09R-M11","Calf-length","21.5 "" (Size S)","49.0 "" (Size S)","Regular Fit","Our model is 5' 9""  tall and is wearing size S",
"alternative",0.9904065297232276,2.2361514260859622E-4,4.341762776311016E-6,0.005238332015852514,0.004093254238633607,9.394750788970876E-8,3.383316939348429E-5,2106,"Morgan","REDONA ","Day dress","summer-dresses",54.99,"black",,,,,"87% polyester, 13% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,"Zip","Low-cut v-neck","Plain","Bust darts","M5921C0ZE-Q11","Short","Short","34.5 "" (Size 10)","Regular Fit","Our model is 5' 9""  tall and is wearing size 10",
"trendy",1.7057812282298473E-4,5.863510575326405E-7,1.3127854260716546E-6,0.023041058976556738,0.002940828764251751,5.05301307865884E-12,0.9738456349948319,2107,"Calvin Klein","ICONIC CAMI DRESS ","Day dress","summer-dresses",249.99,"black",,,"Chiffon, satin",,"100% silk",,"Machine wash at 30°C, Machine wash on gentle cycle",,,,,"Backless","Plain","Adjustable straps","6CA21C05O-Q11","Calf-length","Spaghetti straps","49.5 "" (Size 10)","Slim Fit",,
"alternative",0.5059438213866733,0.028880079097145392,5.578953469329193E-4,0.0015631937637262722,0.46298071668123186,4.178956387540278E-11,7.429368250070628E-5,2108,"Selected Femme Tall","SLFRHONDA 2/4 MIDI DRESS ","Day dress","summer-dresses",59.99,"pastel blue",,,,,"100% polyester",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle","Turn-down collar",,,,"V-neck","Striped","Belt included","SEM21C01T-K11","Calf-length","Elbow length","51.0 "" (Size 10)","Loose Fit",,"14.5 "" (Size 10)"
"edgy",1.8271588416554933E-4,0.0028701041229039293,0.03750085815237175,0.5190617613786837,0.0035219119680023774,8.829423814403588E-5,0.43677435425572875,2109,"Lauren Ralph Lauren","SCOOPNECK DRESS ","Day dress","summer-dresses",139.99,"blue",,,"Jersey",,"94% cotton, 6% elastane","95% polyester, 5% elastane","Machine wash at 30°C, Machine wash on gentle cycle",,,,"Zip","Scoop neck","Plain","Slip","L4221C1EK-K11","Knee-length","Extra short","36.0 "" (Size 10)","Regular Fit","Our model is 5' 9""  tall and is wearing size 10",
"alternative",0.6425525270811927,5.444757250593984E-5,1.1166251359640606E-4,0.029169829916199493,8.35792619662207E-5,5.062119654730724E-5,0.3279773324579919,2110,"Massimo Dutti","Day dress",,"summer-dresses",89.95,"black",,,,,"68% modal, 32% polyester","68% modal, 32% polyester",,"Lapel collar",,,"Drawstring fastening",,"Plain","Slip","M3I21C0IZ-Q11","Calf-length","Long","52.5 "" (Size M)","Regular Fit",,
"trendy",9.151534863422254E-7,1.3218549905651864E-7,1.1902444209132639E-7,4.0631137616126764E-5,0.08766704156113231,8.713519430121611E-13,0.9122911609369528,2111,"Mango","CARRY ","Cocktail dress / Party dress","Cocktail Dresses",39.99,"silver",,,,,"100% polyester","100% polyester","Do not tumble dry, machine wash at 30°C",,,,"Drawstring fastening","Low-cut v-neck","Marl","Bust darts, slip","M9121C5G9-F11","Long","Spaghetti straps",,"Oversized",,
"girly",2.1507031419401562E-9,1.7147382558447187E-12,5.301552971913313E-6,2.077149605804657E-8,0.9921058188955122,9.275361596901821E-12,0.007888856618326568,2112,"WAL G.","MAGGIE V NECK DRESS ","Jersey dress","Occasion dresses",46.99,"pastel blue",,,"Jersey",,"95% polyester, 5% elastane",,,,,,"Zip","Low-cut v-neck","Plain",,"WG021C0OR-K11","Long","Sleeveless, short","57.5 "" (Size 10)","Slim Fit","Our model is 5' 9""  tall and is wearing size 10",
"alternative",0.9914471519408531,0.005680596444743,2.195272362814154E-7,4.474162878719244E-5,0.002763837565138405,8.991326951931027E-14,6.345289315230514E-5,2113,"YAS Petite","YASINDIGO DRESS ","Day dress","summer-dresses",59.99,"blue",,,,,"100% viscose",,"Do not tumble dry, machine wash at 30°C","Standing collar",,,"Button",,"Floral","Bust darts","YA521C03Q-K11","Short","Long",,"Regular Fit",,
"girly",0.01897055250603352,3.106267758837437E-4,5.883716891597783E-7,8.913789067794046E-4,0.9797047053361975,1.3481886768558635E-12,1.2214810206867988E-4,2114,"Vero Moda Petite","VMGAYA POEL SHORT DRESS ","Day dress","summer-dresses",34.99,"black",,,"Chiffon",,"100% polyester","100% polyester","Do not tumble dry, machine wash at 30°C","Shawl collar",,,,"Cache-coeur","Plain","Bust darts, slip","VM021C0D4-Q11","Short","Elbow length",,"Regular Fit",,
"casual chic",0.21702699538231907,0.3380414547623076,4.403767356028759E-4,0.21403599563519554,0.15698086841371225,2.6033893816288535E-10,0.0734743088105237,2115,"Culture","DOTTA DRESS ","Day dress","summer-dresses",89.99,"black/white",,,,,"100% viscose",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,"Button","Crew neck","Polka dot",,"CU221C08Z-Q11","Calf-length","Long",,"Regular Fit",,
"trendy",2.8413085336312203E-4,2.2183393580949134E-8,4.437121180762069E-5,0.017263825018440374,0.16678855831754774,8.003821754579248E-10,0.8156190916150654,2116,"WAL G.","SALEEMA BUCKLE SKATER DRESS ","Cocktail dress / Party dress","Cocktail Dresses",44.99,"bordeaux",,,,,"96% polyester, 4% elastane","100% polyester","Do not tumble dry, machine wash at 30°C",,,,"Zip","Backless","Plain","Slip","WG021C0PI-I11","Knee-length","Spaghetti straps","35.5 "" (Size 10)","Regular Fit","Our model is 5' 9""  tall and is wearing size 10","13.5 "" (Size 10)"
"alternative",0.9993854579694351,2.3291157210386762E-7,1.0213208331306837E-10,2.0696969292481303E-4,2.8681033858105607E-4,2.4814067331453395E-9,1.2052650394813575E-4,2117,"Ellesse","FRANCESTA ","Day dress","summer-dresses",34.99,"denim",,,,,"100% cotton",,"Machine wash at 40°C, do not tumble dry, Machine wash on gentle cycle",,,,"Zip","Backless",,"Bow","EL921C01X-K11","Extra short","Spaghetti straps","31.5 "" (Size 10)","Slim Fit",,
"alternative",0.8624036542723135,0.0017536349303324402,1.2262916443870102E-5,8.483536824194723E-5,0.13500274313450697,6.842749429611705E-12,7.42869371318582E-4,2118,"Vero Moda","VMSOPHIA HIGH NECK DRESS  ","Day dress","summer-dresses",,"white",,,,"Semi-sheer","100% polyester",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,"Button","Crew neck","Floral","Zip fastening","VE121C37M-A11","Calf-length","Short","48.0 "" (Size S)","Regular Fit","Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)"
"alternative",0.5066392865865255,3.953584352548191E-4,1.2648741673494672E-5,0.0026659903781881818,0.48994066896509114,3.931076466335077E-13,3.4604689287351826E-4,2119,"Vila","VIAYA ANCLE DRESS ","Day dress","summer-dresses",34.99,"black",,,,"Semi-sheer","100% viscose",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,"Backless","Plain",,"V1021C2WQ-Q11","Calf-length","25.0 "" (Size 8)","47.0 "" (Size 8)","Regular Fit","Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)"
"edgy",0.3814959136221163,0.0012720654486815608,3.627654524574195E-4,0.500863757872867,0.09558477937534025,1.7814419983673723E-4,0.02024257402870076,2120,"Saint Tropez","KIRI DRESS ","Day dress","summer-dresses",79.99,"black",,,,,"100% cotton",,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle","Peter Pan collar",,,"Zip",,"Plain",,"S2821C0DZ-Q11","Knee-length","23.5 "" (Size S)","38.0 "" (Size S)","Loose Fit","Our model is 5' 10""  tall and is wearing size S","15.0 "" (Size S)"
