cv_predicted,Styles,Random order,Original order,link,brand,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width,Sleeve length 1,Jacket length,Top part material,Filling,Insert material,Sleeves material,Back material,Middle part material,Outer leg length,Licensed characters,Front material,Sport,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59
sporty,sporty,0.162713907,557,https://www.zalando.co.uk/tommy-hilfiger-regular-hoodie-short-dress-day-dress-desert-sky-to121c0j1-k11.html,Tommy Hilfiger,REGULAR HOODIE DRESS , Day dress,summer-dresses,Â£129.99,black,--,--,Sweat,--,100% cotton,--,"Machine wash at 30Â°C, Machine wash on gentle cycle",Hood,--,--,--,--,Plain,"Inseam pockets, elasticated waist",TO121C0J1-K11,Knee-length,"25.5 "" (Size S)","38.0 "" (Size S)",Regular Fit,"Our model is 5' 8""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
casual chic,casual chic,0.643997253,5861,https://www.zalando.co.uk/calvin-klein-jeans-off-shoulder-floral-dress-day-dress-blackwhite-c1821c05l-q11.html,Calvin Klein Jeans,OFF SHOULDER FLORAL DRESS , Day dress,summer-dresses,Â£79.99,black/white,--,--,--,--,100% viscose,100% viscose,Hand wash only,--,--,--,Zip,--,Floral,Inseam pockets,C1821C05L-Q11,Extra short,Sleeveless,"27.0 "" (Size S)",--,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
classic,classic,0.257718598,4677,https://www.zalando.co.uk/mango-day-dress-zwart-m9121c5ky-q11.html,Mango,ACAMAR , Day dress,summer-dresses,Â£35.99,black,--,--,--,--,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,--,Backless,Plain,--,M9121C5KY-Q11,Calf-length,Sleeveless,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
casual chic,casual chic,0.368822685,6051,https://www.zalando.co.uk/marella-denver-day-dress-blu-m7521c06i-k11.html,Marella,DENVER , Day dress,summer-dresses,Â£229.99,navy,--,--,Chiffon,--,100% polyester,100% polyester,"Machine wash at 30Â°C, Machine wash on gentle cycle, Do not bleach",--,--,--,Button,Crew neck,Floral,"Belt included, slip",M7521C06I-K11,Knee-length,Elbow length,"35.0 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10","16.5 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
sporty,sporty,0.223297496,5825,https://www.zalando.co.uk/superdry-day-dress-turmeric-marl-su221c0oo-e11.html,Superdry,Day dress,,summer-dresses,Â£54.99,yellow,--,--,Sweat,--,"55% cotton, 45% polyester",--,"Do not tumble dry, Do not bleach",Hood,--,Hoodie pocket,--,--,Print,--,SU221C0OO-E11,Short,Extra long,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
classic,classic,0.595613771,2654,https://www.zalando.co.uk/lauren-ralph-lauren-long-sleeve-jersey-dress-day-dress-hyannis-port-orange-l4221c1d2-h11.html,Lauren Ralph Lauren,LONG SLEEVE DRESS , Day dress,summer-dresses,Â£159.99,red,--,--,Jersey,--,"94% cotton, 6% elastane",--,"Machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Cache-coeur,Plain,Belt included,L4221C1D2-H11,Short,"22.0 "" (Size 10)","36.0 "" (Size 10)",Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
girly,girly,0.506639276,7252,https://www.zalando.co.uk/wal-g-sasha-full-midi-dress-cocktail-dress-party-dress-silver-wg021c0qt-d11.html,WAL G.,SASHA FULL MIDI DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£69.99,silver,--,--,Mesh,--,100% polyester,"95% polyester, 5% elastane","Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Cache-coeur,Plain,Sequins,WG021C0QT-D11,Short,"24.0 "" (Size 10)","28.5 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
classic,classic,0.44141391,2161,https://www.zalando.co.uk/part-two-tonja-day-dress-beech-p2121c0b7-n11.html,Part Two,TONJA , Day dress,summer-dresses,Â£79.99,brown,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Laces,Cache-coeur,Animal print,--,P2121C0B7-N11,Knee-length,"18.5 "" (Size 8)","40.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,trendy,0.148940721,6531,https://www.zalando.co.uk/wal-g-noelle-off-the-shoulder-skater-dress-cocktail-dress-party-dress-cornflower-blue-wg021c0sh-k11.html,WAL G.,NOELLE OFF THE SHOULDER SKATER DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£36.99,pastel blue,--,--,--,--,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,--,Backless,Plain,Bust darts,WG021C0SH-K11,Short,"Strapless, sleeveless","34.5 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
classic,classic,0.293854568,3687,https://www.zalando.co.uk/drykorn-tiia-day-dress-schwarz-dr221c05e-q11.html,DRYKORN,TIIA , Day dress,summer-dresses,Â£189.99,black,--,Yes,--,--,100% viscose,100% viscose,"Do not tumble dry, Do not wash",--,--,--,Button,Crew neck,Plain,Slip,DR221C05E-Q11,Calf-length,"21.5 "" (Size 8)","41.5 "" (Size 8)",Regular Fit,--,"14.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
casual chic,casual chic,0.496923711,1996,https://www.zalando.co.uk/vero-moda-vmfrigga-wrap-dress-day-dress-desert-sage-ve121c382-m11.html,Vero Moda,VMFRIGGA WRAP DRESS  , Day dress,summer-dresses,Â£34.99,pastel green,--,--,--,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Laces,Cache-coeur,Plain,--,VE121C382-M11,Knee-length,"25.0 "" (Size S)","34.5 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
girly,girly,0.784291909,1972,https://www.zalando.co.uk/lindex-dress-amira-flounce-and-frill-day-dress-red-l2e21c02h-g11.html,Lindex,DRESS AMIRA FLOUNCE AND FRILL , Day dress,summer-dresses,Â£30.99,red,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Cache-coeur,Print,Bow,L2E21C02H-G11,Short,"19.5 "" (Size S)","38.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
edgy,edgy,0.643749782,3674,https://www.zalando.co.uk/object-petite-objdonna-dress-day-dress-silver-gray-animal-ob821c03w-b11.html,Object Petite,OBJDONNA DRESS , Day dress,summer-dresses,Â£43.99,brown,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Cache-coeur,Animal print,--,OB821C03W-B11,Short,"23.5 "" (Size 8)","36.0 "" (Size 8)",Regular Fit,--,"15.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,trendy,0.533218524,3312,https://www.zalando.co.uk/day-birger-et-mikkelsen-mila-fluid-texture-day-dress-spicy-orange-da321c06u-h11.html,DAY Birger et Mikkelsen,MILA FLUID TEXTURE , Day dress,summer-dresses,Â£229.99,orange,--,--,Satin,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Laces,Cache-coeur,Plain,--,DA321C06U-H11,Calf-length,"27.0 "" (Size 8)","47.5 "" (Size 8)",Regular Fit,--,"14.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
classic,classic,0.993486545,3120,https://www.zalando.co.uk/kaffe-vienne-dress-day-dress-subdued-blue-ka321c0rh-k11.html,Kaffe,KAVIENNE DRESS , Day dress,summer-dresses,Â£49.99,pastel blue,--,--,--,Semi-sheer,100% viscose,--,--,--,--,--,--,Henley,Plain,--,KA321C0RH-K11,Knee-length,"40.0 "" (Size 8)","21.5 "" (Size 8)",Oversized,"Our model is 5' 10""  tall and is wearing size 8","16.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,trendy,0.64977663,920,https://www.zalando.co.uk/yas-yasholi-dress-day-dress-raspberry-rose-y0121c1uo-j12.html,YAS,YASHOLI DRESS , Day dress,summer-dresses,Â£59.99,pink,--,--,--,--,100% cotton,100% cotton,"Do not tumble dry, machine wash at 30Â°C",Standing collar,--,--,--,Low-cut v-neck,Plain,Slip,Y0121C1UO-J12,Knee-length,Short,"36.0 "" (Size S)",Loose Fit,"Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
girly,girly,0.444855578,5381,https://www.zalando.co.uk/pieces-pcharmony-midi-dress-day-dress-purple-opulenceflower-pe321c185-i11.html,Pieces,PCHARMONY , Day dress,summer-dresses,Â£43.99,pastel purple,--,--,Chiffon,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,--,Cache-coeur,Floral,Bust darts,PE321C185-I11,Calf-length,"19.5 "" (Size S)","49.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","17.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
edgy,edgy,0.650251194,5496,https://www.zalando.co.uk/object-petite-objmila-gia-dress-day-dress-humus-ob821c03f-a11.html,Object Petite,OBJMILA GIA DRESS  , Day dress,summer-dresses,Â£43.99,brown,--,--,Chiffon,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C",Standing collar,--,--,--,Low-cut v-neck,Animal print,Slip,OB821C03F-A11,Short,"23.0 "" (Size 8)","35.0 "" (Size 8)",Loose Fit,"Our model is 5' 5""  tall and is wearing size 8","15.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
casual chic,casual chic,0.821332112,2810,https://www.zalando.co.uk/esprit-day-dress-black-es121c238-q11.html,Esprit,Day dress,,summer-dresses,Â£39.99,black multi-coloured,--,--,--,--,100% viscose,100% viscose,"Do not bleach, do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Crew neck,Floral,Slip,ES121C238-Q11,Calf-length,Long,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,trendy,0.271358247,687,https://www.zalando.co.uk/monki-day-dress-green-moq21c0by-t11.html,Monki,Day dress,,summer-dresses,Â£26.00,green,--,--,Jersey,--,"98% polyester, 2% elastane",--,"Machine wash at 40Â°C, do not tumble dry",Standing collar,--,--,--,--,Floral,--,MOQ21C0BY-T11,Calf-length,"23.5 "" (Size S)","47.0 "" (Size S)",Loose Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
edgy,edgy,0.121115209,1650,https://www.zalando.co.uk/only-onlprime-midi-shirt-dress-day-dress-tofu-on321c2s8-a11.html,ONLY,PRIME  , Day dress,summer-dresses,Â£29.74,brown,--,--,--,--,"98% viscose, 2% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Button,Low-cut v-neck,Animal print,Belt included,ON321C2S8-A11,Calf-length,"23.0 "" (Size S)","47.5 "" (Size S)",Regular Fit,--,"14.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
girly,girly,0.779126663,7109,https://www.zalando.co.uk/ivy-and-oak-bridal-mira-ann-cocktail-dress-party-dress-snow-white-iv521c02g-a11.html,IVY & OAK BRIDAL,MIRA ANN , Cocktail dress / Party dress,Cocktail Dresses,Â£419.99,white,--,--,Lace,--,100% polyester,100% polyester,"Do not tumble dry, Do not wash",--,--,--,Zip,Backless,Floral,"Padded bust, button row",IV521C02G-A11,Calf-length,"26.0 "" (Size 8)","50.5 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
sporty,sporty,0.43567885,3230,https://www.zalando.co.uk/superdry-day-dress-dark-red-su221c0oo-g11.html,Superdry,Day dress,,summer-dresses,Â£54.99,bordeaux,--,--,Sweat,--,"55% cotton, 45% polyester",--,"Do not bleach, do not tumble dry",Hood,--,Hoodie pocket,--,--,Marl,--,SU221C0OO-G11,Thigh-length,Long,--,Regular Fit,--,--,--,--,--,--,--,--,"55% cotton, 45% polyester",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
edgy,edgy,0.396281978,5909,https://www.zalando.co.uk/only-carmakoma-carluxina-dress-solid-day-dress-kalamata-ona21c0bx-n11.html,ONLY Carmakoma,CARLUXINA DRESS , Day dress,summer-dresses,Â£21.99,army green,--,--,--,Semi-sheer,"97% polyester, 3% elastane",--,"Machine wash at 40Â°C, do not tumble dry, A shrinkage of up to 5% may occur",--,--,--,Zip,Crew neck,Plain,Bust darts,ONA21C0BX-N11,Extra short,Short,"34.5 "" (Size 14)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 14","15.5 "" (Size 14)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,trendy,0.587809514,7295,https://www.zalando.co.uk/wal-g-rihanna-dress-cocktail-dress-party-dress-black-wg021c0nc-q11.html,WAL G.,RIHANNA DRESS , Jersey dress,Cocktail Dresses,Â£37.99,black,--,--,Jersey,--,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C",Standing collar,--,--,Zip,Crew neck,Plain,--,WG021C0NC-Q11,Knee-length,"24.0 "" (Size 10)","43.0 "" (Size 10)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
classic,classic,0.603222636,7211,https://www.zalando.co.uk/anna-field-quarter-sleeves-occasion-mini-dress-cocktail-dress-party-dress-dark-blue-an621c1nd-k11.html,Anna Field,QUARTER SLEEVES OCCASION MINI DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£34.99,navy,"95% polyester, 5% elastane",--,Lace,--,"92% polyamide, 8% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Zip,Backless,Plain,Slip,AN621C1ND-K11,Short,"18.5 "" (Size S)","36.0 "" (Size S)",Slim Fit,"Our model is 5' 10""  tall and is wearing size S","14.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
sporty,sporty,0.9757149209999999,5881,https://www.zalando.co.uk/jordan-shirt-dress-wild-violetpinksiclehyper-pink-joc21c002-i11.html,Jordan,DRESS , Day dress,summer-dresses,Â£50.99,purple,--,--,Jersey,--,100% polyester,--,Machine wash at 30Â°C,--,--,--,--,Crew neck,Plain,"Inseam pockets, embroidery",JOC21C002-I11,Short,Long,--,Slim Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
classic,classic,0.41469254200000005,7370,https://www.zalando.co.uk/swing-cocktail-dress--party-dress-rot-sg721c0ah-g11.html,Swing,Cocktail dress / Party dress,,Cocktail Dresses,Â£129.99,bordeaux,--,--,"Lace, chiffon",--,"97% polyester, 3% elastane","95% polyester, 5% elastane",Hand wash only,--,--,--,Zip,Crew neck,Plain,"Slip, sequins",SG721C0AH-G11,Knee-length,"12.0 "" (Size 10)","38.0 "" (Size 10)",Small,"Our model is 5' 9""  tall and is wearing size 10","14.0 "" (Size 10)",--,--,100% polyester,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
girly,girly,0.7822528559999999,6460,https://www.zalando.co.uk/swing-cocktail-dress-party-dress-ivory-sg721c0it-a11.html,Swing,Cocktail dress / Party dress,,Cocktail Dresses,Â£149.99,off-white,--,--,Chiffon,Semi-sheer,100% polyester,"97% polyester, 3% elastane",--,--,--,--,Zip,Crew neck,Plain,"Bust darts, slip",SG721C0IT-A11,Calf-length,Short,"45.5 "" (Size 10)",Slim Fit,"Our model is 5' 9""  tall and is wearing size 10",--,--,--,100% polyester,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
casual chic,casual chic,0.49859587200000005,1782,https://www.zalando.co.uk/vero-moda-vmginny-shortdress-day-dress-black-ve121c3b2-q11.html,Vero Moda,VMGINNY SHORTDRESS , Day dress,summer-dresses,Â£34.99,black,--,--,--,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Low-cut v-neck,Plain,--,VE121C3B2-Q11,Short,"20.0 "" (Size S)","34.5 "" (Size S)",Loose Fit,"Our model is 5' 11""  tall and is wearing size S","13.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
edgy,edgy,0.18802104100000003,5602,https://www.zalando.co.uk/only-petite-onlnella-bodycon-dress-day-dress-black-op421c094-q11.html,ONLY Petite,ONLNELLA BODYCON DRESS , Day dress,summer-dresses,Â£28.99,black,--,--,Rib,--,"65% polyester, 30% viscose, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Low-cut v-neck,Plain,Decorative buttons,OP421C094-Q11,Short,Sleeveless,"37.5 "" (Size S)",Bodycon,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
girly,girly,0.20244968800000002,3438,https://www.zalando.co.uk/marella-eva-day-dress-bianco-m7521c06f-a11.html,Marella,EVA , Day dress,summer-dresses,Â£199.99,white,--,--,--,Semi-sheer,"70% cotton, 26% polyamide, 4% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Button,Crew neck,Plain,Embroidery,M7521C06F-A11,Short,Extra short,"35.5 "" (Size 10)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 10","14.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
casual chic,casual chic,0.983041308,3207,https://www.zalando.co.uk/michael-michael-kors-day-dress-black-mk121c0km-k11.html,MICHAEL Michael Kors,DITSY SLIP MINI , Day dress,summer-dresses,Â£164.99,black,--,--,--,--,100% polyester,100% polyester,"Machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Zip,Low-cut v-neck,Floral,"Adjustable straps, slip",MK121C0KM-K11,Short,Spaghetti straps,"35.5 "" (Size 8)",Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
edgy,edgy,0.543185567,4406,https://www.zalando.co.uk/patrizia-pepe-abito-dress-shift-dress-nero-p1421c0j1-q11.html,Patrizia Pepe,ABITO DRESS , Day dress,summer-dresses,Â£334.99,red,--,--,Faux leather,--,100% polyester,--,Hand wash only,--,--,--,Zip,Crew neck,Plain,Bust darts,P1421C0J1-Q11,Calf-length,Sleeveless,"45.5 "" (Size 10)",Slim Fit,--,"11.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
girly,girly,0.83831741,6164,https://www.zalando.co.uk/maya-deluxe-maternity-v-neck-short-sleeve-delicate-sequin-maxi-dress-occasion-wear-taupe-blush-m5e29f00s-j11.html,Maya Deluxe Maternity,V NECK SHORT SLEEVE DELICATE SEQUIN MAXI DRESS , Maxi dress,Occasion dresses,Â£84.99,dusty pink,--,--,Tulle,--,100% polyester,100% polyester,Hand wash only,--,--,--,Zip,Low-cut v-neck,--,"Bust darts, slip, sequins",M5E29F00S-J11,Long,Short,"59.0 "" (Size 8)",Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
girly,casual chic,0.200895226,1076,https://www.zalando.co.uk/only-petite-onlhanna-dress-petit-day-dress-black-op421c0ct-q11.html,ONLY Petite,ONLHANNA DRESS PETIT , Day dress,summer-dresses,Â£26.34,black multi-coloured,--,--,--,--,100% polyester,100% polyester,"Machine wash at 40Â°C, do not tumble dry",--,--,--,--,Cache-coeur,Floral,Slip,OP421C0CT-Q11,Short,"23.5 "" (Size S)","34.0 "" (Size S)",Regular Fit,--,"15.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
girly,casual chic,0.9534501479999999,1189,https://www.zalando.co.uk/only-onltyra-life-short-dress-day-dress-allure-on321c1jd-k13.html,ONLY,ONLTYRA LIFE SHORT DRESS , Day dress,summer-dresses,Â£34.99,pastel blue,--,--,--,--,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Dry cleanable, Do not bleach",--,--,--,Button,Crew neck,Plain,"Slip, Crochet Detailing",ON321C1JD-K13,Short,3/4 length,--,Loose Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
classic,classic,0.733177717,6557,https://www.zalando.co.uk/naf-naf-new-joey-cocktail-dress--party-dress-noir-na521c0mc-q11.html,NAF NAF,NEW JOEY , Cocktail dress / Party dress,Cocktail Dresses,Â£38.49,black,--,--,Chiffon,--,100% polyester,100% viscose,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Button,Low-cut v-neck,Plain,Slip,NA521C0MC-Q11,Short,Extra short,"35.5 "" (Size 10)",Fitted waist,"Our model is 5' 10""  tall and is wearing size 10","13.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
classic,classic,0.13677885,5982,https://www.zalando.co.uk/max-mara-leisure-faglia-day-dress-avio-m1x21c02d-k11.html,Max Mara Leisure,FAGLIA , Day dress,summer-dresses,Â£199.99,pastel blue,--,--,--,--,100% cotton,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Mandarin collar,--,--,Button,--,Striped,Inseam pockets,M1X21C02D-K11,Short,Short,"37.0 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10","17.5 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
edgy,edgy,0.7788307179999999,7135,https://www.zalando.co.uk/patrizia-pepe-dress-cocktail-dress-party-dress-nero-p1421c0iw-q11.html,Patrizia Pepe,DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£264.99,black,--,--,Faux leather,--,100% polyester,--,"Do not tumble dry, Hand wash only",--,--,--,Zip,--,Plain,--,P1421C0IW-Q11,Short,Strapless,--,Slim Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
casual chic,casual chic,0.296822183,3914,https://www.zalando.co.uk/esprit-maternity-day-dress-night-sky-blue-es929f0b5-k11.html,Esprit Maternity,STILL , Day dress,summer-dresses,Â£96.99,navy,--,--,--,--,100% viscose,100% viscose,"Do not tumble dry, machine wash at 30Â°C",Turn-down collar,--,--,Button,--,Floral,"Nursing-friendly, slip",ES929F0B5-K11,Knee-length,Short,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,trendy,0.290395828,7201,https://www.zalando.co.uk/mango-cocktail-dress-party-dress-roze-m9121c5kt-j11.html,Mango,BRIT , Cocktail dress / Party dress,Cocktail Dresses,Â£49.99,pink,--,--,Satin,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Dry cleanable",--,--,--,--,Cowl neck,Plain,Rhinestones,M9121C5KT-J11,Extra short,Spaghetti straps,--,Slim Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
girly,girly,0.5906124110000001,1923,https://www.zalando.co.uk/in-the-style-stacey-solomon-longline-tunic-day-dress-blue-i0421e00c-k11.html,IN THE STYLE,STACEY SOLOMON LONGLINE TUNIC  , Day dress,summer-dresses,Â£42.99,pastel blue,--,--,--,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Button,Low-cut v-neck,Floral,"Belt included, bust darts",I0421E00C-K11,Calf-length,"27.0 "" (Size 8)","55.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,trendy,0.887482685,5867,https://www.zalando.co.uk/ivy-and-oak-balloon-flower-day-dress-black-iv321c09v-q11.html,IVY & OAK,BALLOON FLOWER , Day dress,summer-dresses,Â£209.99,black,--,--,--,--,100% cotton,100% viscose,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,Button,--,Plain,"Slip, Crochet Detailing",IV321C09V-Q11,Short,"19.5 "" (Size 8)","34.0 "" (Size 8)",Loose Fit,--,"13.0 "" (Size 8)",--,--,--,--,100% polyester,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
