Style options,Styles,Random order,Original order,,link,heading1,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width,Sleeve length,Jacket length,Top part material,Filling,Insert material,Sleeves material,Back material,Middle part material,Outer leg length,Licensed characters,Front material,Sport,,,,,,,,,,,,,,,,,
,,0.475671553,6994,https://www.zalando.co.uk/theory-heart-neck-admira-cocktail-dress-party-dress-black-t4021c00u-q11.html,https://www.zalando.co.uk/theory-heart-neck-admira-cocktail-dress-party-dress-black-t4021c00u-q11.html,Theory,HEART NECK ADMIRA , Cocktail dress / Party dress,Cocktail Dresses,Â£295.00,black,--,--,--,--,"70% triacetate, 30% polyester",--,Dry clean only,--,--,--,Zip,V-neck,Plain,--,T4021C00U-Q11,Knee-length,"23.0 "" (Size 10)","34.5 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10","14.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.338793588,5772,https://www.zalando.co.uk/vero-moda-curve-vmoctavia-dress-day-dress-black-vee21c09i-q11.html,https://www.zalando.co.uk/vero-moda-curve-vmoctavia-dress-day-dress-black-vee21c09i-q11.html,Vero Moda Curve,VMOCTAVIA DRESS , Day dress,summer-dresses,Â£26.99,black,--,--,Sweat,--,"60% cotton, 40% polyester",--,"Machine wash at 40Â°C, Do not bleach",Hood,--,Hoodie pocket,--,--,Plain,--,VEE21C09I-Q11,Short,"19.5 "" (Size 14/16)","35.5 "" (Size 14/16)",Regular Fit,"Our model is 5' 11""  tall and is wearing size 14/16",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.777197204,3977,https://www.zalando.co.uk/tiger-of-sweden-matica-day-dress-light-blue-ti521c07q-k11.html,https://www.zalando.co.uk/tiger-of-sweden-matica-day-dress-light-blue-ti521c07q-k11.html,Tiger of Sweden,MATICA , Day dress,summer-dresses,Â£149.99,pastel blue,--,--,--,--,"58% cotton, 42% lyocell",--,"Machine wash at 30Â°C, Machine wash on gentle cycle",Turn-down collar,--,--,Button,--,Plain,Belt included,TI521C07Q-K11,Knee-length,"25.0 "" (Size 8)","44.0 "" (Size 8)",Regular Fit,"Our model is 5' 11""  tall and is wearing size 8","15.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.424344205,1268,https://www.zalando.co.uk/ichi-lova-dress-day-dress-total-eclipse-ic221c0ic-k11.html,https://www.zalando.co.uk/ichi-lova-dress-day-dress-total-eclipse-ic221c0ic-k11.html,ICHI,LOVA DRESS , Day dress,summer-dresses,Â£64.99,navy,--,--,--,--,"90% polyester, 10% elastane",--,"Machine wash at 40Â°C, do not tumble dry",--,--,--,--,Crew neck,Print,--,IC221C0IC-K11,Knee-length,"23.0 "" (Size S)","34.5 "" (Size S)",Loose Fit,"Our model is 5' 9""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.032328959,4491,https://www.zalando.co.uk/envii-ensortedam-dress-day-dress-dark-violet-ei421c07b-i11.html,https://www.zalando.co.uk/envii-ensortedam-dress-day-dress-dark-violet-ei421c07b-i11.html,Envii,ENSORTEDAM DRESS , Day dress,summer-dresses,Â£79.99,blue,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Crew neck,Floral,--,EI421C07B-I11,Calf-length,"27.0 "" (Size S)","53.5 "" (Size S)",Regular Fit,"Our model is 5' 11""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.867282154,4025,https://www.zalando.co.uk/danefa-koebenhavn-nielsen-dress-day-dress-navyoffwhite-dai21c00c-k12.html,https://www.zalando.co.uk/danefa-koebenhavn-nielsen-dress-day-dress-navyoffwhite-dai21c00c-k12.html,DanefÃ¦ KÃ¸benhavn,NIELSEN DRESS , Day dress,summer-dresses,Â£64.99,navy,--,--,Jersey,--,"95% cotton, 5% elastane",--,"Machine wash at 40Â°C, do not tumble dry",--,--,--,--,Crew neck,Polka dot,--,DAI21C00C-K12,Knee-length,Short,"38.5 "" (Size 10)",Slim Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.239304898,5668,https://www.zalando.co.uk/kaffe-kaliny-dress-day-dress-light-sand-ka321c0n4-b11.html,https://www.zalando.co.uk/kaffe-kaliny-dress-day-dress-light-sand-ka321c0n4-b11.html,Kaffe,KALINY DRESS , Day dress,summer-dresses,Â£54.99,off-white,--,--,--,Semi-sheer,"70% viscose, 30% linen",--,--,--,--,--,--,Crew neck,Marl,"Bust darts, covered fastener",KA321C0N4-B11,Knee-length,Short,"38.5 "" (Size 10)",Regular Fit,--,"15.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.475674727,6127,https://www.zalando.co.uk/lace-and-beads-savannah-occasion-wear-sage-ls721c0fu-m11.html,https://www.zalando.co.uk/lace-and-beads-savannah-occasion-wear-sage-ls721c0fu-m11.html,Lace & Beads,SAVANNAH , Occasion wear,Occasion dresses,Â£104.99,pastel green,--,--,Chiffon,--,100% polyester,100% polyester,"Do not tumble dry, Hand wash only",--,--,--,Zip,Crew neck,Plain,"Bust darts, slip, flower applique, rhinestones",LS721C0FU-M11,Long,Extra short,"57.0 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.748918355,916,https://www.zalando.co.uk/mavi-long-sleeve-dress-day-dress-red-violet-ma621c03y-i11.html,https://www.zalando.co.uk/mavi-long-sleeve-dress-day-dress-red-violet-ma621c03y-i11.html,Mavi,LONG SLEEVE DRESS , Day dress,summer-dresses,Â£43.99,pink,--,--,--,--,"99% polyester, 1% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Laces,Crew neck,Plain,--,MA621C03Y-I11,Short,"18.5 "" (Size S)","33.5 "" (Size S)",Oversized,"Our model is 5' 10""  tall and is wearing size S","17.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.518464272,7366,https://www.zalando.co.uk/jcpajares-cut-out-dress-cocktail-dress-party-dress-blue-jc721c001-k11.html,https://www.zalando.co.uk/jcpajares-cut-out-dress-cocktail-dress-party-dress-blue-jc721c001-k11.html,JCPAJARES,CUT OUT DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£315.00,electric blue,--,--,--,--,"92% polyester, 8% polyurethane",100% viscose,"Hand wash only, Dry clean only",--,--,--,Zip,Low-cut v-neck,Plain,Border,JC721C001-K11,Knee-length,Spaghetti straps,"27.0 "" (Size 10)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 10","15.5 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.443311964,5677,https://www.zalando.co.uk/vero-moda-vmpym-dress-day-dress-blackwhite-ve121c2eq-q11.html,https://www.zalando.co.uk/vero-moda-vmpym-dress-day-dress-blackwhite-ve121c2eq-q11.html,Vero Moda,VMPYM DRESS , Day dress,summer-dresses,Â£29.74,black,--,--,--,Semi-sheer,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",--,--,--,--,Crew neck,Animal print,--,VE121C2EQ-Q11,Long,"25.0 "" (Size S)","53.0 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.712266185,3218,https://www.zalando.co.uk/simply-be-ruffle-front-skater-dress-day-dress-black-sie21c0a2-q11.html,https://www.zalando.co.uk/simply-be-ruffle-front-skater-dress-day-dress-black-sie21c0a2-q11.html,Simply Be,RUFFLE FRONT SKATER DRESS , Day dress,summer-dresses,Â£24.64,black,--,--,--,--,100% polyester,--,"Machine wash at 40Â°C, do not tumble dry, Machine wash on gentle cycle",Volant collar,--,--,Button,--,Floral,Bust darts,SIE21C0A2-Q11,Short,"24.5 "" (Size 16)","34.5 "" (Size 16)",Regular Fit,--,"15.5 "" (Size 16)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.542953731,1936,https://www.zalando.co.uk/vila-vilana-v-neck-belt-dress-day-dress-kentucky-bluebig-flowers-v1021c2wu-k11.html,https://www.zalando.co.uk/vila-vilana-v-neck-belt-dress-day-dress-kentucky-bluebig-flowers-v1021c2wu-k11.html,Vila,VILANA V,NECK BELT DRESS ,summer-dresses,Â£30.99,pastel blue,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Low-cut v-neck,Floral,Belt included,V1021C2WU-K11,Knee-length,"24.5 "" (Size 8)","38.0 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8","14.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.552058982,1221,https://www.zalando.co.uk/superdry-day-dress-autumn-ditsy-red-su221c0nh-g11.html,https://www.zalando.co.uk/superdry-day-dress-autumn-ditsy-red-su221c0nh-g11.html,Superdry,Day dress,,summer-dresses,Â£39.99,red,--,--,--,--,100% viscose,--,--,--,--,--,--,--,--,--,SU221C0NH-G11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.269127464,2066,https://www.zalando.co.uk/riani-day-dress-white-rij21c041-a11.html,https://www.zalando.co.uk/riani-day-dress-white-rij21c041-a11.html,RIANI,Day dress,,summer-dresses,Â£324.99,white,--,--,--,--,"58% lyocell, 42% cotton",100% viscose,Machine wash at 30Â°C,--,--,--,Button,Crew neck,Plain,Embroidery,RIJ21C041-A11,Knee-length,Short,"36.5 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10","15.5 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.532153455,3876,https://www.zalando.co.uk/glamorous-tall-off-the-shoulder-bodycon-mini-dress-day-dress-purple-glc21c03q-i11.html,https://www.zalando.co.uk/glamorous-tall-off-the-shoulder-bodycon-mini-dress-day-dress-purple-glc21c03q-i11.html,Glamorous Tall,OFF THE SHOULDER BODYCON MINI DRESS , Day dress,summer-dresses,Â£37.99,purple,--,--,Rib,--,"90% viscose, 10% polyamide",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,--,Off-the-shoulder,Plain,--,GLC21C03Q-I11,Short,"22.5 "" (Size 8)","30.0 "" (Size 8)",Bodycon,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.38024606,548,https://www.zalando.co.uk/only-onlcarly-wrap-dress-day-dress-cashmere-blue-on321c1t0-k13.html,https://www.zalando.co.uk/only-onlcarly-wrap-dress-day-dress-cashmere-blue-on321c1t0-k13.html,ONLY,ONLCARLY  , Day dress,summer-dresses,Â£30.99,pastel blue,--,--,--,--,"97% polyester, 3% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,--,Cache-coeur,Floral,Bust darts,ON321C1T0-K13,Short,"22.5 "" (Size 8)","34.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.964743249,1346,https://www.zalando.co.uk/lauren-ralph-lauren-earnest-day-dress-day-dress-lipstick-l4221c1c7-g11.html,https://www.zalando.co.uk/lauren-ralph-lauren-earnest-day-dress-day-dress-lipstick-l4221c1c7-g11.html,Lauren Ralph Lauren,TULIP,PRINT GEORGETTE DRESS ,summer-dresses,Â£219.99,red,--,--,--,--,"53% cotton, 41% viscose, 6% elastane",100% polyester,Machine wash at 30Â°C,--,--,--,--,V-neck,Floral,"Zip fastening, belt included, slip, decorative buttons",L4221C1C7-G11,Calf-length,Short,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.254001445,3754,https://www.zalando.co.uk/alice-olivia-dita-smocked-neck-short-dress-day-dress-chelsea-palace-a2n21c00i-t11.html,https://www.zalando.co.uk/alice-olivia-dita-smocked-neck-short-dress-day-dress-chelsea-palace-a2n21c00i-t11.html,Alice + Olivia,DITA SMOCKED NECK SHORT DRESS , Day dress,summer-dresses,Â£360.00,multi-coloured,--,--,--,--,100% viscose,"94% polyester, 6% elastane",--,Standing collar,--,--,Zip,--,Floral,"Belt included, slip",A2N21C00I-T11,Short,Sleeveless,"33.5 "" (Size 8)",Regular Fit,--,"11.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.71382441,4578,https://www.zalando.co.uk/mango-day-dress-zwart-m9121c5l3-q11.html,https://www.zalando.co.uk/mango-day-dress-zwart-m9121c5l3-q11.html,Mango,IVANKA , Day dress,summer-dresses,Â£29.99,black/white,--,--,--,--,"97% polyester, 3% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Button,Crew neck,Print,--,M9121C5L3-Q11,Short,Long,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.289308444,6461,https://www.zalando.co.uk/forever-new-savannah-asymm-cowl-midi-dress-cocktail-dress-party-dress-navy-fod21c0fu-k11.html,https://www.zalando.co.uk/forever-new-savannah-asymm-cowl-midi-dress-cocktail-dress-party-dress-navy-fod21c0fu-k11.html,Forever New,SAVANNAH ASYMM COWL MIDI DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£109.99,black,--,--,Satin,--,100% polyester,100% polyester,"Do not tumble dry, Hand wash only",--,Asymmetrical,--,Zip,Backless,Plain,Adjustable straps,FOD21C0FU-K11,Calf-length,Spaghetti straps,"50.5 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8","13.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.050622303,2759,https://www.zalando.co.uk/gap-tee-dress-day-dress-true-black-gp021c0kk-q11.html,https://www.zalando.co.uk/gap-tee-dress-day-dress-true-black-gp021c0kk-q11.html,GAP,TEE DRESS , Jersey dress,summer-dresses,Â£46.74,black,--,--,Jersey,--,100% polyester,--,"Machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Button,Crew neck,Plain,--,GP021C0KK-Q11,Short,Elbow length,"33.5 "" (Size S)",Loose Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.733048694,2693,https://www.zalando.co.uk/diane-von-furstenberg-gala-day-dress-black-df221c0b3-q11.html,https://www.zalando.co.uk/diane-von-furstenberg-gala-day-dress-black-df221c0b3-q11.html,Diane von Furstenberg,GALA , Day dress,summer-dresses,Â£545.00,black multi-coloured,--,--,"Chiffon, Jersey",--,100% viscose,--,Dry clean only,--,--,--,Belt,Cache-coeur,Print,--,DF221C0B3-Q11,Knee-length,"23.5 "" (Size S)","36.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","15.5 "" (Size S)",--,--,--,--,--,100% viscose,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.231394639,7343,https://www.zalando.co.uk/closet-london-pleated-wrap-dress-cocktail-dress-party-dress-peach-cl921c0uo-h11.html,https://www.zalando.co.uk/closet-london-pleated-wrap-dress-cocktail-dress-party-dress-peach-cl921c0uo-h11.html,Closet,LONDON PLEATED WRAP DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£114.99,white multi-coloured,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Cache-coeur,Floral,--,CL921C0UO-H11,Knee-length,"23.5 "" (Size 10)","40.5 "" (Size 10)",Regular Fit,--,"14.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.720035729,845,https://www.zalando.co.uk/jdy-petite-jdymelanie-midi-dress-day-dress-black-jd421c00a-q11.html,https://www.zalando.co.uk/jdy-petite-jdymelanie-midi-dress-day-dress-black-jd421c00a-q11.html,JDY Petite,JDYMELANIE MIDI DRESS , Day dress,summer-dresses,Â£34.99,black,--,--,--,--,"72% cotton, 24% polyester, 4% elastane",--,"Machine wash at 40Â°C, do not tumble dry, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",--,--,--,Button,Crew neck,Plain,--,JD421C00A-Q11,Calf-length,Short,"43.5 "" (Size 8)",Regular Fit,--,"14.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.399122223,6197,https://www.zalando.co.uk/notes-du-nord-cilla-dress-occasion-wear-emerald-n0p21c00z-m11.html,https://www.zalando.co.uk/notes-du-nord-cilla-dress-occasion-wear-emerald-n0p21c00z-m11.html,Notes du Nord,CILLA DRESS , Occasion wear,Occasion dresses,Â£389.99,green,--,--,Satin,--,"92% silk, 8% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Zip,Backless,Plain,--,N0P21C00Z-M11,Long,Elbow length,"60.0 "" (Size 10)",Regular Fit,"Our model is 5' 11""  tall and is wearing size 10","15.5 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.554532034,7258,https://www.zalando.co.uk/wal-g-sleeve-maxi-cocktail-dress--party-dress-black-wg021c07t-q11.html,https://www.zalando.co.uk/wal-g-sleeve-maxi-cocktail-dress--party-dress-black-wg021c07t-q11.html,WAL G.,SLEEVE MAXI , Cocktail dress / Party dress,Cocktail Dresses,Â£42.99,black,--,--,"Jersey, Lace",--,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Crew neck,Plain,Bust darts,WG021C07T-Q11,Long,"26.0 "" (Size 10)","60.0 "" (Size 10)",Fitted waist,"Our model is 5' 11""  tall and is wearing size 10",--,--,--,--,--,--,"95% polyester, 5% elastane",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.181770795,6681,https://www.zalando.co.uk/in-the-style-perrie-sians-smock-dress-with-puff-sleeves-cocktail-dress-party-dress-black-i0421c01k-q11.html,https://www.zalando.co.uk/in-the-style-perrie-sians-smock-dress-with-puff-sleeves-cocktail-dress-party-dress-black-i0421c01k-q11.html,IN THE STYLE,PERRIE SIANS SMOCK DRESS WITH PUFF SLEEVES , Cocktail dress / Party dress,Cocktail Dresses,Â£54.99,black,--,--,Faux leather,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Square neck,Plain,--,I0421C01K-Q11,Extra short,Elbow length,"31.0 "" (Size 8)",Regular Fit,--,"11.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.047040136,5777,https://www.zalando.co.uk/superdry-day-dress-ruby-floral-su221c0nm-g11.html,https://www.zalando.co.uk/superdry-day-dress-ruby-floral-su221c0nm-g11.html,Superdry,Day dress,,summer-dresses,Â£38.49,bordeaux,--,--,--,--,100% viscose,--,--,--,--,--,--,--,--,--,SU221C0NM-G11,--,Long,--,--,--,--,--,--,--,--,--,--,100% viscose,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.953695256,5853,https://www.zalando.co.uk/liu-jo-abito-criss-cross-day-dress-beige-li621c06z-a11.html,https://www.zalando.co.uk/liu-jo-abito-criss-cross-day-dress-beige-li621c06z-a11.html,LIU JO,ABITO CRISS CROSS , Day dress,summer-dresses,Â£229.99,bright multi-coloured,--,--,--,--,"50% silk, 50% viscose",--,"Do not tumble dry, machine wash at 30Â°C, dry cleaning",--,--,--,Laces,Low-cut v-neck,Animal print,--,LI621C06Z-A11,Short,"24.0 "" (Size 10)","35.0 "" (Size 10)",Regular Fit,"Our model is 5' 11""  tall and is wearing size 10","17.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.396305896,828,https://www.zalando.co.uk/soft-rebels-elma-dress-day-dress-turkish-sea-r6721c06p-k11.html,https://www.zalando.co.uk/soft-rebels-elma-dress-day-dress-turkish-sea-r6721c06p-k11.html,Soft Rebels,ELMA DRESS , Day dress,summer-dresses,Â£69.99,electric blue,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Button,Crew neck,Plain,Inseam pockets,R6721C06P-K11,Knee-length,"21.5 "" (Size S)","38.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.439737859,533,https://www.zalando.co.uk/jdy-jdystaar-life-wrap-dress-day-dress-beetlecement-jy121c0ly-n11.html,https://www.zalando.co.uk/jdy-jdystaar-life-wrap-dress-day-dress-beetlecement-jy121c0ly-n11.html,JDY,JDYSTAAR LIFE WRAP DRESS  , Day dress,summer-dresses,Â£23.99,army green,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",--,--,--,Laces,Cache-coeur,Polka dot,--,JY121C0LY-N11,Short,Short,"35.5 "" (Size S)",Slim Fit,--,"14.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.900097074,721,https://www.zalando.co.uk/vero-moda-petite-vmasta-dress-day-dress-comfrey-vm021c0d6-i11.html,https://www.zalando.co.uk/vero-moda-petite-vmasta-dress-day-dress-comfrey-vm021c0d6-i11.html,Vero Moda Petite,VMASTA DRESS , Day dress,summer-dresses,Â£21.99,green,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Backless,Plain,"Belt included, bust darts",VM021C0D6-I11,Short,Sleeveless,"34.5 "" (Size M)",Regular Fit,--,"12.5 "" (Size M)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.826063746,2843,https://www.zalando.co.uk/gant-tigress-c-neck-dress-day-dress-eggshell-ga321c05y-a11.html,https://www.zalando.co.uk/gant-tigress-c-neck-dress-day-dress-eggshell-ga321c05y-a11.html,GANT,TIGRESS C NECK DRESS , Day dress,summer-dresses,Â£124.99,white,--,--,Sweat,--,"74% cotton, 26% polyester",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,--,Crew neck,Print,Embroidery,GA321C05Y-A11,Short,"25.0 "" (Size S)","33.0 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.578371462,532,https://www.zalando.co.uk/forever-new-destiny-pleated-midi-dress-day-dress-cyprus-patchwork-fod21c0g5-t11.html,https://www.zalando.co.uk/forever-new-destiny-pleated-midi-dress-day-dress-cyprus-patchwork-fod21c0g5-t11.html,Forever New,DESTINY PLEATED MIDI DRESS , Day dress,summer-dresses,Â£119.99,pastel orange,--,--,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, Hand wash only",--,--,--,Zip,Cache-coeur,--,Slip,FOD21C0G5-T11,Calf-length,"24.5 "" (Size 8)","43.5 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8","15.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.160202245,6596,https://www.zalando.co.uk/selected-femme-slfsvala-short-dress-cocktail-dress-party-dress-chalk-pink-se521c14a-j11.html,https://www.zalando.co.uk/selected-femme-slfsvala-short-dress-cocktail-dress-party-dress-chalk-pink-se521c14a-j11.html,Selected Femme,SLFSVALA SHORT DRESS  , Cocktail dress / Party dress,Cocktail Dresses,Â£124.99,pastel pink,--,--,--,--,100% polyester,100% viscose,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Low-cut v-neck,Plain,"Slip, flower applique",SE521C14A-J11,Knee-length,Elbow length,"34.5 "" (Size 8)",Regular Fit,--,"14.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.910946165,706,https://www.zalando.co.uk/esprit-collection-shirt-dress-bark-es421c1hw-o11.html,https://www.zalando.co.uk/esprit-collection-shirt-dress-bark-es421c1hw-o11.html,Esprit Collection,Day dress,,summer-dresses,Â£45.99,brown,--,--,--,--,100% cotton,100% viscose,"Do not tumble dry, Dry clean only",--,--,--,Button,Crew neck,Plain,"Slip, covered fastener",ES421C1HW-O11,Calf-length,Sleeveless,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.74520427,2135,https://www.zalando.co.uk/edc-by-esprit-crepe-day-dress-navy-ed121c0xf-k11.html,https://www.zalando.co.uk/edc-by-esprit-crepe-day-dress-navy-ed121c0xf-k11.html,edc by Esprit,CREPE , Day dress,summer-dresses,Â£39.59,navy,--,--,--,--,"95% viscose, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,Laces,V-neck,Print,--,ED121C0XF-K11,Knee-length,"26.0 "" (Size S)","37.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
