,cv_predicted,Style,Brand,"Dress name ",Price,Price Category,Color,Fabric,Outer fabric material,Lining,Care instructions,Collar,Cut,Fastening,Type of dress,Neckline,Consolidated Prints,Details,Dress length,Sleeve length,Consolidated sleeve length,Total length,Fit,Consolidated fit,Our model's height,Back width,Sheer?,Pockets?,Rhinestones?,Shoulderpads?,Backless?
497,casual chic,edgy,Object,"OBJMILA GIA  ",43.99,2,black/green,Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C",Standing collar,Asymmetrical,Zip,Wrap dresses,Low v-neck,Floral,Slip,Short,"24.0 "" (Size 8)",Long,"34.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
498,casual chic,casual chic,Mavi,"LONG SLEEVE DRESS ",43.99,2,black,Chiffon,"99% polyester, 1% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C",Standing collar,Asymmetrical,Laces,Wrap dresses,Round neckline,Plain,Slip,Short,"18.5 "" (Size S)",Elbow length,"33.5 "" (Size S)",Oversized,Loose fit,"Our model is 5' 10""  tall and is wearing size S","17.5 "" (Size S)",No,No,No,No,No
499,trendy,trendy,AllSaints,"ALEXIA DRESS ",119.99,3,red,Satin,100% polyester,100% viscose,"Do not tumble dry, Do not wash",Standing collar,Asymmetrical,Zip,Wrap dresses,Spaghetti straps,Plain,Slip,Maxi/long,Spaghetti straps,Spaghetti straps,"54.0 "" (Size 8)",Slim Fit,Slim fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,Yes
500,trendy,trendy,Sister Jane,"CARINA DRESS ",89.99,3,red,Chiffon,100% polyester,"97% polyester, 3% elastane",Dry clean only,Standing collar,Asymmetrical,Zip,Wrap dresses,Square neckline,Plain,"Inseam pockets, slip",Short,Short,Short,"32.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)",No,yes,No,No,No
501,girly,girly,Pieces,"PCTEGAN STRAP DRESS ",21.99,1,pink,Rib,"95% cotton, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Zip,Bodycon dresses,Square neckline,Plain,Adjustable straps,Short,Spaghetti straps,Spaghetti straps,"31.5 "" (Size S)",Bodycon,Slim fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
502,girly,girly,Hollister Co.,"DRESS ",48.99,2,white,Chiffon,100% polyester,100% polyester,Machine wash at 30Â°C,Standing collar,Asymmetrical,Zip,Wrap dresses,Square neckline,Floral,"Bust darts, slip, bow",Short,"26.0 "" (Size SxL)",Long,"33.5 "" (Size SxL)",Slim Fit,Slim fit,"Our model is 5' 10""  tall and is wearing size SxL","12.0 "" (Size SxL)",No,No,No,No,Yes
503,classic,classic,Marlene Birger,"ROUSALILE ",199.99,4,black,Chiffon,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Standing collar,Asymmetrical,Zip,Wrap dresses,Low v-neck,Plain,Slip,Knee length,"26.5 "" (Size 8)",Long,"38.5 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 8","13.5 "" (Size 8)",No,No,No,No,No
504,classic,classic,Zign,Jersey dress,27.99,1,black,Jersey,"81% polyester, 19% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C",Standing collar,Asymmetrical,Zip,Wrap dresses,Round neckline,Plain,Slip,Knee length,"24.0 "" (Size S)",Long,"45.5 "" (Size S)",Slim Fit,Slim fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size 8)",Yes,No,No,No,No
505,casual chic,casual chic,Yas,"YASBALARA DRESS ",41.99,2,black multi-coloured,Chiffon,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Lapel collar,Asymmetrical,Button,Wrap dresses,Low v-neck,Floral,Slip,Short,"25.0 "" (Size S)",Long,"36.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S","17.0 "" (Size S)",No,No,No,No,No
506,casual chic,casual chic,Vero Moda,"VMANNA SHORT DRESS ",26.34,1,black,Chiffon,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Zip,Wrap dresses,V-neck,Prints in general,Slip,Short,"24.0 "" (Size S)",Long,"35.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S","14.5 "" (Size S)",Yes,No,No,No,No
507,edgy,edgy,Object,"OBJMILA GIA  ",43.99,2,navy,Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C",Standing collar,Asymmetrical,Zip,Wrap dresses,Low v-neck,Prints in general,Slip,Short,"25.0 "" (Size 8)",Long,"35.5 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 8","13.5 "" (Size 8)",No,No,No,No,No
508,trendy,casual chic,Faithfull the brand,"GAIA MINI DRESS ",160.0,4,red,Chiffon,100% viscose,100% viscose,Hand wash only,Standing collar,Asymmetrical,Zip,Wrap dresses,Spaghetti straps,Floral,"Slip, bow",Extra short,Spaghetti straps,Spaghetti straps,"39.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size 8)",No,No,No,No,Yes
509,girly,girly,Only,"ONLKARMEN DRESS ",25.99,1,white multi-coloured,Chiffon,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Colour may run - please wash separately",Standing collar,Asymmetrical,Zip,Accentuating the waist,Spaghetti straps,Floral,"Bust darts, slip",Short,Spaghetti straps,Spaghetti straps,"28.0 "" (Size 6)",Fitted waist,Slim fit,"Our model is 5' 10""  tall and is wearing size 6","15.5 "" (Size 6)",No,No,No,No,Yes
510,trendy,trendy,WEEKEND MaxMara,"CATULLO ",269.99,5,electric blue,Chiffon,"54% linen, 32% cotton, 14% polyamide",100% cotton,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Zip,Accentuating the waist,Round neckline,Plain,"Belt included, inseam pockets",Short,Elbow length,Elbow length,"36.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,yes,No,No,No
511,classic,classic,Ralph Lauren,JERSEY SHORT,159.99,4,blue,Jersey,"55% viscose, 45% nylon","95% polyester, 5% elastane",Hand wash only,Standing collar,Asymmetrical,Zip,Wrap dresses,Low v-neck,Plain,Slip,Knee length,Short,Short,"40.0 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
512,sporty,sporty,Only,"ONLDREAMER LIFEHOOD DRESS ",20.39,1,black,Sweat,"83% cotton, 17% polyester",100% polyester,"Do not tumble dry, machine wash at 30Â°C",Hood,Asymmetrical,Zip,Hooded dresses,Low v-neck,Plain,Slip,Short,"24.0 "" (Size S)",Long,"33.0 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size 8)",No,No,No,No,No
513,trendy,trendy,Love Moschino,Day dress,184.99,4,white,Sweat,100% cotton,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Zip,Wrap dresses,Round neckline,Plain,Slip,Short,"24.0 "" (Size 8)",Long,"32.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
514,alternative,alternative,Mango,RUFU,35.99,1,blue,Chiffon,100% cotton,100% cotton,"Do not tumble dry, machine wash at 30Â°C",Standing collar,Asymmetrical,Zip,Wrap dresses,Spaghetti straps,Plain,"Bow, slip",Short,Spaghetti straps,Spaghetti straps,"34.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,Yes
515,classic,classic,HUGO,"DARTINA ",174.99,4,blue,Chiffon,"85% polyester, 15% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Mandarin collar,Asymmetrical,Zip,Accentuating the waist,Round neckline,Plain,"Belt included, inseam pockets, bust darts",Calf length,"17.0 "" (Size S)",Elbow length,"43.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","13.0 "" (Size S)",No,yes,No,No,No
516,classic,classic,Mango,CLOUD,49.99,2,red,Chiffon,100% cotton,100% polyester,"Do not tumble dry, machine wash at 30Â°C",Turn-down collar,Asymmetrical,Button,Button down dresses,Low v-neck,Plain,Slip,Calf length,Short,Short,"34.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
517,alternative,alternative,2nd Day,"LITA ",139.99,4,green,Satin,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Zip,Wrap dresses,Low v-neck,Prints in general,Adjustable straps,Knee length,Spaghetti straps,Spaghetti straps,"40.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","17.5 "" (Size 8)",No,No,No,No,No
518,classic,classic,Mango,Day dress,59.99,2,off-white,Chiffon,"52% polyester, 43% viscose, 5% linen",100% polyester,"Do not tumble dry, machine wash at 30Â°C",Standing collar,Asymmetrical,Zip,Wrap dresses,Low v-neck,Striped,Slip,Calf length,3/4 length,Elbow length,"34.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,Yes,No,No,No
519,alternative,alternative,Superdry,Day dress,38.49,1,pink,Chiffon,"55% linen, 45% viscose",100% polyester,"Do not bleach, do not tumble dry",Standing collar,Asymmetrical,Zip,Wrap dresses,Square neckline,Striped,Slip,Calf length,Sleeveless,Sleeveless,"34.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
520,trendy,trendy,Monki,Day dress,26.0,1,green,Chiffon,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Zip,Wrap dresses,Low v-neck,Prints in general,Slip,Calf length,Elbow length,Elbow length,"52.0 "" (Size XS/S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size XS/S","17.5 "" (Size XS/S)",No,No,No,No,No
521,casual chic,classic,Anna Field,"BOAT NECK PRINT DRESS WITH SOLID SKIRT ",24.99,1,black,Jersey,"95% viscose, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Zip,Wrap dresses,Round neckline,Floral,Bust darts,Knee length,Short,Short,"34.5 "" (Size S)",Slim Fit,Slim fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size 8)",No,No,No,No,No
522,classic,classic,Mango,"TURMALIN A ",49.99,2,black,Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Do not iron",Standing collar,Asymmetrical,Zip,Wrap dresses,Low v-neck,Plain,Slip,Calf length,Sleeveless,Sleeveless,"34.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
523,classic,classic,Noa Noa,"ESSENTIAL DRESSY ",99.99,3,dusty pink,Chiffon,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Zip,Wrap dresses,Low v-neck,Plain,Bust darts,Short,"21.5 "" (Size 8)",Long,"36.5 "" (Size 8)",Oversized,Loose fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
524,casual chic,classic,Anna Field,Day dress,30.99,1,blue,Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Button,Wrap dresses,Low v-neck,Plain,Bust darts,Short,Short,Short,"35.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.5 "" (Size 8)",No,No,No,No,No
525,girly,classic,Vila,"VIDOTTIES MIDI DRESS ",34.99,1,pastel pink,Chiffon,100% polyester,100% polyester,Machine wash at 30Â°C,Standing collar,Asymmetrical,Button,Accentuating the waist,Round neckline,Floral,"Belt included, slip",Calf length,"23.5 "" (Size 8)",Long,"47.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","15.0 "" (Size 8)",No,No,No,No,No
526,sporty,sporty,Tommy Hilfiger,"REGULAR HILFIGER HOODIE DRESS ",97.99,3,pastel pink,Sweat,"70% cotton, 30% polyester",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Hood,Asymmetrical,Zip,Hooded dresses,Low v-neck,Plain,"Elasticated waist, embroidery",Knee length,"23.5 "" (Size S)",Long,"37.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,Yes,No,No,No
527,sporty,sporty,PS Paul Smith,"ZEBRA POLO DRESS ",144.99,4,black,PiquÃ©,100% cotton,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Polo shirt,Asymmetrical,Zip,Polo dresses,Low v-neck,Plain,Embroidery,Short,Sleeveless,Sleeveless,"36.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size 8)",No,No,No,No,No
528,alternative,alternative,Pieces,"PCHARMONY DRESS ",34.99,1,army green,Chiffon,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Laces,Wrap dresses,V-neck,Floral,Slip,Short,Elbow length,Elbow length,"35.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","12.0 "" (Size S)",No,No,No,No,No
529,sporty,sporty,Tommy Hilfiger,"REGULAR HOODIE DRESS ",129.99,4,black,Sweat,100% cotton,100% polyester,"Machine wash at 30Â°C, Machine wash on gentle cycle",Hood,Asymmetrical,Zip,Hooded dresses,Low v-neck,Plain,"Inseam pockets, elasticated waist",Knee length,"25.5 "" (Size S)",Long,"38.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 8""  tall and is wearing size S","14.0 "" (Size 8)",No,yes,No,No,No
530,casual chic,casual chic,Calvin Klein,"OFF SHOULDER FLORAL DRESS ",79.99,2,black/white,Chiffon,100% viscose,100% viscose,Hand wash only,Standing collar,Asymmetrical,Zip,Wrap dresses,Spaghetti straps,Floral,Inseam pockets,Extra short,Spaghetti straps,Spaghetti straps,"27.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)",No,yes,No,No,No
531,classic,classic,Mango,"ACAMAR ",35.99,1,black,Chiffon,"95% polyester, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C",Standing collar,Asymmetrical,Zip,Wrap dresses,Low v-neck,Plain,Slip,Calf length,Sleeveless,Sleeveless,"34.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,Yes
532,casual chic,casual chic,Marella,"DENVER ",229.99,5,navy,Chiffon,100% polyester,100% polyester,"Machine wash at 30Â°C, Machine wash on gentle cycle, Do not bleach",Standing collar,Asymmetrical,Button,Accentuating the waist,Round neckline,Floral,"Belt included, slip",Knee length,Elbow length,Elbow length,"35.0 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 10","16.5 "" (Size 10)",No,No,No,No,No
533,sporty,sporty,Superdry,Day dress,54.99,2,yellow,Sweat,"55% cotton, 45% polyester",100% polyester,"Do not tumble dry, Do not bleach",Hood,Asymmetrical,Zip,Hooded dresses,Low v-neck,Prints in general,Slip,Short,Extra long,Long,"34.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,Yes,No,No,No
534,classic,classic,Ralph Lauren,"LONG SLEEVE DRESS ",159.99,4,red,Jersey,"94% cotton, 6% elastane",100% polyester,"Machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Zip,Wrap dresses,Low v-neck,Plain,Belt included,Short,"22.0 "" (Size 10)",Long,"36.0 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
535,girly,girly,WAL G.,"SASHA FULL MIDI DRESS ",69.99,2,silver,Mesh,100% polyester,"95% polyester, 5% elastane","Do not tumble dry, machine wash at 30Â°C",Standing collar,Asymmetrical,Zip,Wrap dresses,Low v-neck,Plain,Sequins,Short,"24.0 "" (Size 10)",Long,"28.5 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 10","14.0 "" (Size 8)",No,No,yes,No,No
536,classic,classic,Part Two,"TONJA ",79.99,2,brown,Chiffon,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Laces,Wrap dresses,Low v-neck,Animal Prints in general,Slip,Knee length,"18.5 "" (Size 8)",Elbow length,"40.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
537,trendy,trendy,WAL G.,"NOELLE OFF THE SHOULDER SKATER DRESS ",36.99,1,pastel blue,Chiffon,"95% polyester, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C",Standing collar,Asymmetrical,Zip,Wrap dresses,Strapless,Plain,Bust darts,Short,"Strapless, sleeveless",Strapless,"34.5 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 10","14.0 "" (Size 8)",No,No,No,No,Yes
538,classic,classic,DRYKORN,"TIIA ",189.99,4,black,Chiffon,100% viscose,100% viscose,"Do not tumble dry, Do not wash",Standing collar,Asymmetrical,Button,Wrap dresses,Round neckline,Plain,Slip,Calf length,"21.5 "" (Size 8)",Long,"41.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.5 "" (Size 8)",No,No,No,No,No
539,casual chic,casual chic,Vero Moda,"VMFRIGGA WRAP DRESS  ",34.99,1,pastel green,Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C",Standing collar,Asymmetrical,Laces,Wrap dresses,Low v-neck,Plain,Slip,Knee length,"25.0 "" (Size S)",Long,"34.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size S)",No,No,No,No,No
540,girly,girly,Lindex,"DRESS AMIRA FLOUNCE AND FRILL ",30.99,1,red,Chiffon,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Zip,Wrap dresses,Low v-neck,Prints in general,Bow,Short,"19.5 "" (Size S)",Long,"38.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)",No,No,No,No,No
541,edgy,edgy,Object,"OBJDONNA DRESS ",43.99,2,brown,Chiffon,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Zip,Wrap dresses,Low v-neck,Animal Prints in general,Slip,Short,"23.5 "" (Size 8)",Long,"36.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)",No,No,No,No,No
542,trendy,trendy,DAY Birger et Mikkelsen,"MILA FLUID TEXTURE ",229.99,5,orange,Satin,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Laces,Wrap dresses,Low v-neck,Plain,Slip,Calf length,"27.0 "" (Size 8)",Long,"47.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.5 "" (Size 8)",No,No,No,No,No
543,classic,classic,Kaffe,"KAVIENNE DRESS ",49.99,2,pastel blue,Chiffon,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Zip,Wrap dresses,Henley neckline,Plain,Slip,Knee length,"40.0 "" (Size 8)",Long,"21.5 "" (Size 8)",Oversized,Loose fit,"Our model is 5' 10""  tall and is wearing size 8","16.5 "" (Size 8)",Yes,No,No,No,No
544,girly,girly,The Kooples,"ROBE ",294.99,5,pastel green,Chiffon,100% viscose,100% polyester,Dry clean only,Standing collar,Asymmetrical,Zip,Wrap dresses,Low v-neck,Plain,Button row,Calf length,Short,Short,"47.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
545,trendy,trendy,Yas,"YASHOLI DRESS ",59.99,2,pink,Chiffon,100% cotton,100% cotton,"Do not tumble dry, machine wash at 30Â°C",Standing collar,Asymmetrical,Zip,Wrap dresses,Low v-neck,Plain,Slip,Knee length,Short,Short,"36.0 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size S)",No,No,No,No,No
546,girly,girly,Pieces,"PCHARMONY ",43.99,2,pastel purple,Chiffon,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30Â°C",Standing collar,Asymmetrical,Zip,Wrap dresses,Low v-neck,Floral,Bust darts,Calf length,"19.5 "" (Size S)",Long,"49.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S","17.0 "" (Size S)",No,No,No,No,No
547,edgy,edgy,Object,"OBJMILA GIA DRESS  ",43.99,2,brown,Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C",Standing collar,Asymmetrical,Zip,Wrap dresses,Low v-neck,Animal Prints in general,Slip,Short,"23.0 "" (Size 8)",Long,"35.0 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 5""  tall and is wearing size 8","15.5 "" (Size 8)",No,No,No,No,No
548,casual chic,casual chic,Esprit,Day dress,39.99,1,black multi-coloured,Chiffon,100% viscose,100% viscose,"Do not bleach, do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Zip,Wrap dresses,Round neckline,Floral,Slip,Calf length,Long,Long,"34.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
549,trendy,trendy,Monki,Day dress,26.0,1,green,Jersey,"98% polyester, 2% elastane",100% polyester,"Machine wash at 40Â°C, do not tumble dry",Standing collar,Asymmetrical,Zip,Wrap dresses,Low v-neck,Floral,Slip,Calf length,"23.5 "" (Size S)",Long,"47.0 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
550,edgy,edgy,Only,"PRIME  ",29.74,1,brown,Chiffon,"98% viscose, 2% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Button,Accentuating the waist,Low v-neck,Animal Prints in general,Belt included,Calf length,"23.0 "" (Size S)",Long,"47.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size S)",No,No,No,No,No
551,girly,girly,"IVY & OAK ","MIRA ANN ",419.99,5,white,Lace,100% polyester,100% polyester,"Do not tumble dry, Do not wash",Standing collar,Asymmetrical,Zip,Wrap dresses,Round neckline,Floral,"Padded bust, button row",Calf length,"26.0 "" (Size 8)",Long,"50.5 "" (Size 8)",Slim Fit,Slim fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,Yes
552,sporty,sporty,Superdry,Day dress,54.99,2,burgundy,Sweat,"55% cotton, 45% polyester",100% polyester,"Do not bleach, do not tumble dry",Hood,Asymmetrical,Zip,Hooded dresses,Low v-neck,Plain,Slip,Thigh length,Long,Long,"34.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,Yes,No,No,No
553,edgy,edgy,Only,"CARLUXINA DRESS ",21.99,1,army green,Chiffon,"97% polyester, 3% elastane",100% polyester,"Machine wash at 40Â°C, do not tumble dry, A shrinkage of up to 5% may occur",Standing collar,Asymmetrical,Zip,Wrap dresses,Round neckline,Plain,Bust darts,Extra short,Short,Short,"34.5 "" (Size 14)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 14","15.5 "" (Size 14)",Yes,No,No,No,No
554,trendy,trendy,WAL G.,"RIHANNA DRESS ",37.99,1,black,Jersey,"95% polyester, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C",Standing collar,Asymmetrical,Zip,Wrap dresses,Round neckline,Plain,Slip,Knee length,"24.0 "" (Size 10)",Long,"43.0 "" (Size 10)",Slim Fit,Slim fit,"Our model is 5' 10""  tall and is wearing size 10","14.0 "" (Size 8)",No,No,No,No,No
555,classic,classic,Anna Field,"QUARTER SLEEVES OCCASION MINI DRESS ",34.99,1,navy,Lace,"92% polyamide, 8% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Zip,Wrap dresses,Boat neckline (wide),Plain,Slip,Short,"18.5 "" (Size S)",Elbow length,"36.0 "" (Size S)",Slim Fit,Slim fit,"Our model is 5' 10""  tall and is wearing size S","14.5 "" (Size S)",No,No,No,No,Yes
556,sporty,sporty,Jordan,"DRESS ",50.99,2,purple,Jersey,100% polyester,100% polyester,Machine wash at 30Â°C,Standing collar,Asymmetrical,Zip,Wrap dresses,Round neckline,Plain,"Inseam pockets, embroidery",Short,Long,Long,"34.5 "" (Size S)",Slim Fit,Slim fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,yes,No,No,No
557,classic,classic,Swing,Cocktail dress / Party dress,129.99,4,burgundy,"Lace, chiffon","97% polyester, 3% elastane","95% polyester, 5% elastane",Hand wash only,Standing collar,Asymmetrical,Zip,Wrap dresses,Round neckline,Plain,"Slip, sequins",Knee length,"12.0 "" (Size 10)",Elbow length,"38.0 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 10","14.0 "" (Size 10)",No,No,yes,No,No
558,girly,girly,Swing,Cocktail dress / Party dress,149.99,4,off-white,Chiffon,100% polyester,"97% polyester, 3% elastane","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Zip,Wrap dresses,Round neckline,Plain,"Bust darts, slip",Calf length,Short,Short,"45.5 "" (Size 10)",Slim Fit,Slim fit,"Our model is 5' 9""  tall and is wearing size 10","14.0 "" (Size 8)",Yes,No,No,No,No
559,casual chic,casual chic,Vero Moda,"VMGINNY SHORTDRESS ",34.99,1,black,Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Zip,Wrap dresses,Low v-neck,Plain,Slip,Short,"20.0 "" (Size S)",Long,"34.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 11""  tall and is wearing size S","13.0 "" (Size S)",No,No,No,No,No
