Style options,Styles,Random order,Original order,,link,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width,Sleeve length,Jacket length,Top part material,Filling,Insert material,Sleeves material,Back material,Middle part material,Outer leg length,Licensed characters,Front material,Sport,,,,,,,,,,,,,,,,,
,trendy,0.416074013,2795,,https://www.zalando.co.uk/massimo-dutti-mit-ueberkreuztem-rueckenteil-day-dress-orange-m3i21c0k5-h11.html,MIT ÃœBERKREUZTEM RÃœCKENTEIL , Day dress,summer-dresses,Â£119.00,orange,--,--,--,--,"61% viscose, 39% linen",100% cotton,--,--,--,Side pockets,--,Backless,Plain,--,M3I21C0K5-H11,Long,Sleeveless,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,edgy,0.005467392,1442,,https://www.zalando.co.uk/gap-day-dress-charcoal-gp021c0kg-c11.html,Day dress,,summer-dresses,Â£19.99,black,--,--,Jersey,--,100% cotton,--,"Machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Crew neck,Animal print,--,GP021C0KG-C11,Short,Extra short,"33.0 "" (Size S)",Loose Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,classic,0.444283297,5907,,https://www.zalando.co.uk/seraphine-jersey-dress-black-s1s29f04y-q11.html,JAELYN BIAS DRESS , Day dress,summer-dresses,Â£74.99,black,--,--,--,--,100% polyester,100% polyester,Dry clean only,--,--,--,Zip,Crew neck,Plain,"Bust darts, slip, fringing, decorative buttons",S1S29F04Y-Q11,Short,Short,--,Slim Fit,--,--,--,--,--,--,"66% viscose, 29% nylon, 5% elastane",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,trendy,0.902185811,7332,,https://www.zalando.co.uk/elisabetta-franchi-womens-dress-cocktail-dress-party-dress-burro-ef121c0as-b11.html,WOMEN'S DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£394.99,off-white,--,--,--,--,"96% polyester, 4% elastane","97% polyester, 3% elastane","Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Crew neck,Plain,"Zip fastening, slip",EF121C0AS-B11,Extra short,Extra short,"32.5 "" (Size 10)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 10","14.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,sporty,0.050490447,914,,https://www.zalando.co.uk/noisy-may-nmhelene-dress-day-dress-slate-grey-nm321c0hx-c12.html,NMHELENE DRESS , Day dress,summer-dresses,Â£30.99,pastel green,--,--,Sweat,--,"65% polyester, 35% cotton",--,"Do not tumble dry, Machine wash on gentle cycle, Do not bleach",Hood,--,--,--,--,Plain,Zip fastening,NM321C0HX-C12,Calf-length,Long,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,classic,0.759376222,666,,https://www.zalando.co.uk/tommy-hilfiger-breton-regular-midi-dress-day-dress-blackwhite-to121c0g2-q11.html,BRETON REGULAR MIDI DRESS , Day dress,summer-dresses,Â£109.99,black/white,--,--,PiquÃ©,--,"97% cotton, 3% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Polo shirt,--,--,--,--,Striped,Belt included,TO121C0G2-Q11,Calf-length,Short,--,Slim Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,classic,0.792538288,6682,,https://www.zalando.co.uk/diane-von-furstenberg-tilly-dress-cocktail-dress-party-dress-blue-df221c0be-k11.html,TILLY DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£510.00,blue,--,--,Satin,--,100% silk,--,Dry clean only,--,--,--,Belt,Cache-coeur,Floral,--,DF221C0BE-K11,Calf-length,"28.0 "" (Size 10)","49.0 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10","15.5 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.069202583,1339,,https://www.zalando.co.uk/jdy-jdysoro-dress-day-dress-blackmulti-flower-jy121c0l3-t11.html,JDYSORO DRESS , Day dress,summer-dresses,Â£22.09,black multi-coloured,--,--,--,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Cache-coeur,Floral,Belt included,JY121C0L3-T11,Short,"27.5 "" (Size 8)","34.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,girly,0.837957695,3553,,https://www.zalando.co.uk/bruuns-bazaar-checka-jany-dress-day-dress-snow-whitepeach-br321c08z-j11.html,CHECKA JANY DRESS , Day dress,summer-dresses,Â£119.99,pastel pink,--,--,--,--,"97% polyester, 3% elastane",--,"Machine wash at 40Â°C, do not tumble dry, Machine wash on gentle cycle",--,--,--,--,Square neck,Checked,--,BR321C08Z-J11,Calf-length,"15.5 "" (Size 8)","38.5 "" (Size 8)",Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.703361617,969,,https://www.zalando.co.uk/only-onlmette-day-dress-black-on321c2ns-q11.html,ONLMETTE  , Day dress,summer-dresses,Â£29.74,black,--,--,--,--,100% polyester,--,"Machine wash at 40Â°C, do not tumble dry, Machine wash on gentle cycle",--,--,--,--,Low-cut v-neck,Plain,"Elasticated waist, button row",ON321C2NS-Q11,Calf-length,"24.5 "" (Size S)","41.5 "" (Size S)",Regular Fit,--,"14.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,sporty,0.408250114,2224,,https://www.zalando.co.uk/gant-lock-up-hoodie-dress-day-dress-eggshell-ga321c03z-a11.html,LOCK UP HOODIE DRESS , Day dress,summer-dresses,Â£69.99,white,--,--,Sweat,--,"87% cotton, 13% polyester",--,Machine wash at 40Â°C,Hood,--,Hoodie pocket,--,--,Plain,Embroidery,GA321C03Z-A11,Short,"25.5 "" (Size S)","37.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.039624937,2920,,https://www.zalando.co.uk/yas-tall-yassanna-shirt-dress-day-dress-dull-gold-ya021c06q-f11.html,YASSANNA SHIRT DRESS , Day dress,summer-dresses,Â£69.99,gold,--,Yes,--,--,100% cotton,100% cotton,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Standing collar,--,--,Button,Low-cut v-neck,Plain,"Bust darts, slip, embroidery",YA021C06Q-F11,Knee-length,"26.5 "" (Size 10)","38.5 "" (Size 10)",Loose Fit,--,"14.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.586312373,5339,,https://www.zalando.co.uk/anna-field-day-dress-dark-bluepink-an621c1l8-k11.html,Day dress,,summer-dresses,Â£30.99,navy,--,--,Chiffon,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,V-neck,Floral,Slip,AN621C1L8-K11,Short,Long,--,Loose Fit,"Our model is 5' 10""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,edgy,0.930635629,7136,,https://www.zalando.co.uk/david-koma-cocktail-dress-party-dress-blacksilver-d0t21c00w-q11.html,Cocktail dress / Party dress,,Cocktail Dresses,"Â£1,210.00",black,--,--,--,--,"52% acetate, 45% viscose, 3% elastane","96% acetate, 4% lyocell",Dry cleaning,--,--,--,Zip,Low-cut v-neck,--,"Slip, rhinestones",D0T21C00W-Q11,Extra short,Spaghetti straps,"30.5 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,edgy,0.311585252,6926,,https://www.zalando.co.uk/twinset-dress-cocktail-dress-party-dress-neroneve-tw321c07i-q11.html,DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£289.99,black,--,--,"Lace, tulle",--,100% polyester,100% polyester,Hand wash only,--,--,--,Zip,Crew neck,--,"Bust darts, adjustable straps, slip, border",TW321C07I-Q11,Calf-length,"24.5 "" (Size 8)","49.5 "" (Size 8)",Regular Fit,--,--,--,--,--,--,100% polyamide,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.723877413,2622,,https://www.zalando.co.uk/inwear-idalia-short-dress-day-dress-blue-leaves-in-the-sky-in321c0dn-k11.html,IDALIA SHORT DRESS , Day dress,summer-dresses,Â£109.99,blue,--,--,--,--,100% polyester,100% viscose,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,Button,--,Floral,"Inseam pockets, slip",IN321C0DN-K11,Knee-length,"23.5 "" (Size 8)","38.0 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8","16.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.608674996,7602,,https://www.zalando.co.uk/modstroem-oline-day-dress-freesia-green-mo421c08p-m11.html,OLINE , Day dress,Cocktail Dresses,Â£104.99,green,--,--,--,--,100% viscose,--,--,--,--,--,Laces,Cache-coeur,Floral,--,MO421C08P-M11,Calf-length,"26.5 "" (Size S)","52.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","15.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,girly,0.703883411,2336,,https://www.zalando.co.uk/abercrombie-and-fitch-corset-seamed-day-dress-rose-a0f21c09h-j11.html,CORSET SEAMED , Day dress,summer-dresses,Â£59.99,pink,--,--,--,--,100% polyester,100% polyester,Machine wash at 30Â°C,--,--,--,Zip,Backless,Plain,Slip,A0F21C09H-J11,Short,"22.5 "" (Size S)","30.5 "" (Size S)",Slim Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,edgy,0.135421722,5778,,https://www.zalando.co.uk/vero-moda-curve-day-dress-fossilnavy-blazer-vee21c0b9-c11.html,VMADANA ABOVE DRESS , Day dress,summer-dresses,Â£35.99,black/brown,--,--,Chiffon,--,100% polyester,100% polyester,"Machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",--,--,--,--,Low-cut v-neck,Print,"Bust darts, slip",VEE21C0B9-C11,Short,"24.5 "" (Size 16)","37.0 "" (Size 16)",Loose Fit,"Our model is 5' 11""  tall and is wearing size 16","16.5 "" (Size 16)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,classic,0.411545489,3904,,https://www.zalando.co.uk/mbym-akoto-day-dress-dusty-cedar-mb121c0ep-g11.html,AKOTO , Day dress,summer-dresses,Â£89.99,dusty pink,--,--,--,--,"66% viscose, 34% lyocell",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Turn-down collar,--,--,Button,--,Plain,Bust darts,MB121C0EP-G11,Calf-length,Elbow length,"46.5 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S","13.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,edgy,0.704860636,6431,,https://www.zalando.co.uk/wal-g-v-neck-ruffle-sleeve-midi-dress-cocktail-dress-party-dress-blackroyal-blue-wg021c0mi-q12.html,V NECK RUFFLE SLEEVE MIDI DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£37.99,electric blue,--,--,Jersey,--,"95% polyester, 5% elastane","95% polyester, 5% elastane","Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Low-cut v-neck,Plain,Bust darts,WG021C0MI-Q12,Knee-length,Extra short,"41.5 "" (Size 10)",Bodycon,"Our model is 5' 10""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,classic,0.426988252,5897,,https://www.zalando.co.uk/polo-ralph-lauren-long-sleeve-day-dress-day-dress-army green -olive-po221c09i-n11.html,HYBRID SWEATER,PLEATED MIDI DRESS ,summer-dresses,Â£349.99,army green,100% polyester,--,Knit,--,"70% cotton, 20% silk, 10% cashmere",--,Hand wash only,--,--,--,--,Henley,Plain,--,PO221C09I-N11,Calf-length,"27.5 "" (Size S)","53.0 "" (Size S)",Slim Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,sporty,0.383366045,3389,,https://www.zalando.co.uk/superdry-day-dress-dark-grey-su221c0oo-c11.html,Day dress,,summer-dresses,Â£54.99,grey,--,--,Sweat,--,"55% cotton, 45% polyester",--,"Do not bleach, do not tumble dry",Hood,--,Hoodie pocket,--,--,Marl,--,SU221C0OO-C11,Thigh-length,Long,--,Regular Fit,--,--,--,--,--,--,--,--,"55% cotton, 45% polyester",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,girly,0.056063006,6574,,https://www.zalando.co.uk/selected-femme-slfsvala-short-dress-cocktail-dress-party-dress-bright-white-se521c14a-a11.html,SLFSVALA SHORT DRESS  , Cocktail dress / Party dress,Cocktail Dresses,Â£124.99,white,--,--,Tulle,--,100% polyester,100% viscose,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Low-cut v-neck,Floral,"Slip, flower applique",SE521C14A-A11,Knee-length,Elbow length,"34.5 "" (Size 8)",Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,edgy,0.148668986,642,,https://www.zalando.co.uk/ichi-ihvera-dr18-day-dress-lilac-ic221c0id-i11.html,IHVERA DR18 , Day dress,summer-dresses,Â£39.99,black multi-coloured,--,--,--,--,100% viscose,--,"Machine wash at 40Â°C, do not tumble dry",Shirt collar,--,--,Button,--,Floral,Belt included,IC221C0ID-I11,Knee-length,"24.5 "" (Size 8)","38.0 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8","15.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,classic,0.653954601,2318,,https://www.zalando.co.uk/lacoste-day-dress-nidus-la221c05v-g11.html,Day dress,,summer-dresses,Â£89.24,pastel pink,--,--,PiquÃ©,--,"94% cotton, 6% elastane",--,"Do not tumble dry, machine wash at 30Â°C",Polo shirt,--,--,--,--,Plain,Belt included,LA221C05V-G11,Calf-length,Sleeveless,"50.5 "" (Size 8)",Slim Fit,"Our model is 5' 9""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,girly,0.641150289,5691,,https://www.zalando.co.uk/roxy-sun-may-shine-day-dress-sahara-sun-ro521c04a-e11.html,SUN MAY SHINE , Day dress,summer-dresses,Â£59.99,pastel yellow,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,Asymmetrical,--,Button,Cache-coeur,Plain,"Button row, bust darts, adjustable straps",RO521C04A-E11,Short,Spaghetti straps,"38.0 "" (Size S)",Normal fit,"Our model is 5' 10""  tall and is wearing size S","14.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.97413929,5348,,https://www.zalando.co.uk/vila-petite-vimargo-ophelie-mid-calf-dress-day-dress-medium-blue-denim-vip21c03p-k11.html,VIMARGO OPHELIE MID CALF DRESS , Denim dress,summer-dresses,Â£54.99,denim,--,--,Denim,--,"99% cotton, 1% elastane",--,"Machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Button,Backless,--,"Inseam pockets, adjustable straps",VIP21C03P-K11,Calf-length,Sleeveless,"42.0 "" (Size 8)",Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,sporty,0.023381111,55,,https://www.zalando.co.uk/tommy-hilfiger-regular-hilfiger-hoodie-day-dress-black-to121c0fz-q11.html,REGULAR HILFIGER HOODIE DRESS , Day dress,summer-dresses,Â£84.49,black,--,--,Sweat,--,"64% cotton, 36% polyester",--,"Machine wash at 30Â°C, Machine wash on gentle cycle",Hood,--,Hoodie pocket,--,--,Plain,Embroidery,TO121C0FZ-Q11,Knee-length,"22.5 "" (Size S)","36.0 "" (Size S)",Loose Fit,"Our model is 5' 9""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.001483484,2007,,https://www.zalando.co.uk/vila-petite-vimesa-short-dress-day-dress-snow-white-vip21c025-a11.html,VIMESA SHORT DRESS , Day dress,summer-dresses,Â£30.99,white multi-coloured,--,--,--,Semi-sheer,100% viscose,100% viscose,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Cache-coeur,Floral,Adjustable straps,VIP21C025-A11,Short,Spaghetti straps,"35.0 "" (Size 8)",Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,sporty,0.359416404,1037,,https://www.zalando.co.uk/the-north-face-hooded-dress-zumu-day-dress-black-th321c007-q11.html,HOODED DRESS ZUMU , Day dress,summer-dresses,Â£79.99,black,--,--,Sweat,--,100% cotton,--,"Machine wash at 40Â°C, do not tumble dry, Machine wash on gentle cycle",Hood,--,--,--,--,Print,"Inseam pockets, elasticated waist",TH321C007-Q11,Short,"22.5 "" (Size S)","33.5 "" (Size S)",Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,trendy,0.260979254,1526,,https://www.zalando.co.uk/glamorous-plisse-mide-dress-with-tie-belt-side-split-day-dress-dark-red-gl921c0q6-g11.html,PLISSE MIDE DRESS WITH TIE BELT SIDE SPLIT , Day dress,summer-dresses,Â£35.99,red,--,--,--,--,"95% polyester, 5% elastane",--,"Do not tumble dry, Hand wash only",--,--,--,--,Crew neck,Checked,Belt included,GL921C0Q6-G11,Calf-length,Long,"47.0 "" (Size 10)",Regular Fit,--,"14.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,trendy,0.796072795,6722,,https://www.zalando.co.uk/the-ragged-priest-mini-dress-split-front-cocktail-dress-party-dress-purple-thj21c03t-i11.html,MINI DRESS SPLIT FRONT , Cocktail dress / Party dress,Cocktail Dresses,Â£64.99,pink,--,--,Rib,--,100% cotton,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Backless,Plain,--,THJ21C03T-I11,Short,Sleeveless,"35.5 "" (Size 8)",Slim Fit,"Our model is 5' 9""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,classic,0.88217238,3,,https://www.zalando.co.uk/boss-c_detelizza-day-dress-white-bb121c0cl-a11.html,C_DETELIZZA , Day dress,summer-dresses,Â£159.99,white,--,--,--,Semi-sheer,"96% cotton, 4% elastane",--,"Do not tumble dry, machine wash at 30Â°C",Turn-down collar,--,--,--,Low-cut v-neck,Plain,"Belt included, inseam pockets",BB121C0CL-A11,Knee-length,"19.5 "" (Size 8)","40.0 "" (Size 8)",Loose Fit,--,"17.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.600859327,4486,,https://www.zalando.co.uk/patrizia-pepe-abito-dress-day-dress-eban-brown-p1421c0j5-o11.html,ABITO DRESS , Day dress,summer-dresses,Â£329.99,brown,--,--,--,--,100% viscose,--,Hand wash only,--,--,--,--,Backless,Plain,"Belt included, adjustable straps",P1421C0J5-O11,Extra short,Spaghetti straps,"34.5 "" (Size 10)",Regular Fit,"Our model is 5' 11""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,trendy,0.92375755,2361,,https://www.zalando.co.uk/vila-curve-vifalia-v-neck-short-dress-day-dress-magenta-haze-v0h21c00u-g11.html,VIFALIA V NECK  SHORT DRESS , Day dress,summer-dresses,Â£29.74,bright multi-coloured,--,--,Chiffon,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,V-neck,Print,"Belt included, slip",V0H21C00U-G11,Short,"25.5 "" (Size 18)","38.5 "" (Size 18)",Regular Fit,"Our model is 5' 11""  tall and is wearing size 18","17.0 "" (Size 18)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,trendy,0.743492162,6820,,https://www.zalando.co.uk/river-island-maternity-cocktail-dress-party-dress-pink-ril29f00d-j11.html,Cocktail dress / Party dress,,Cocktail Dresses,Â£37.99,pink,--,--,Mesh,--,"95% polyester, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,Button,--,Plain,Slip,RIL29F00D-J11,Short,"24.5 "" (Size 10)","35.0 "" (Size 10)",Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.837197809,2031,,https://www.zalando.co.uk/byoung-josa-tunic-dress-day-dress-frosty-green-mix-by221c0f7-m11.html,BYJOSA TUNIC DRESS , Day dress,summer-dresses,Â£39.99,green,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Henley,Print,--,BY221C0F7-M11,Short,"26.0 "" (Size 8)","37.0 "" (Size 8)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","17.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,classic,0.381224772,2499,,https://www.zalando.co.uk/31-phillip-lim-waisted-tie-dress-day-dress-lavender-31021c00x-i11.html,WAISTED TIE DRESS , Day dress,summer-dresses,From Â£485.00,pastel purple,--,--,--,--,"55% cotton, 45% polyester",--,"Hand wash only, Dry cleanable",--,--,--,--,Low-cut v-neck,Plain,"Inseam pockets, bow",31021C00X-I11,Calf-length,Elbow length,"52.0 "" (Size 10)",Loose Fit,--,"16.5 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,edgy,0.27434531,5970,,https://www.zalando.co.uk/mamalicious-mlessey-dress-day-dress-black-m6429f0us-q11.html,MLESSEY DRESS , Day dress,summer-dresses,Â£43.99,black,--,--,--,--,100% viscose,--,"Machine wash at 30Â°C, A shrinkage of up to 5% may occur",--,--,--,Button,Crew neck,Polka dot,"Belt included, bust darts",M6429F0US-Q11,Knee-length,"24.5 "" (Size 8)","41.0 "" (Size 8)",Regular Fit,--,"16.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,sporty,0.642373127,3843,,https://www.zalando.co.uk/ragwear-laura-day-dress-navy-r5921c0b6-k11.html,LAURA , Day dress,summer-dresses,Â£54.99,navy,--,--,Sweat,--,"50% polyester, 50% cotton",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Polo neck,--,--,Belt,--,Marl,--,R5921C0B6-K11,Short,"24.5 "" (Size S)","35.5 "" (Size S)",Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,trendy,0.693723474,7482,,https://www.zalando.co.uk/see-by-chloe-cocktail-dress-party-dress-black-se321c05z-q11.html,Cocktail dress / Party dress,,Cocktail Dresses,Â£300.00,bordeaux,--,--,Chiffon,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,Button,--,Polka dot,Slip,SE321C05Z-Q11,Knee-length,Elbow length,"37.0 "" (Size 10)",Loose Fit,"Our model is 5' 9""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,classic,0.524667079,1073,,https://www.zalando.co.uk/mamalicious-mlvera-jersey-dress-navy-blazer-m6429f160-k11.html,MLVERA  , Day dress,summer-dresses,Â£33.99,navy,--,--,--,--,100% polyester,--,--,--,--,--,--,Crew neck,Pinstriped,"Button row, bust darts",M6429F160-K11,Short,"23.0 "" (Size 8)","35.5 "" (Size 8)",Loose Fit,--,--,--,--,"50% modal, 45% polyester, 5% elastane",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.213809321,779,,https://www.zalando.co.uk/only-day-dress-night-sky-on321c1cc-k13.html,ONLMARIANA MYRINA DRESS , Day dress,summer-dresses,Â£23.99,navy,--,--,--,--,"97% polyester, 3% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Crew neck,Floral,"Inseam pockets, elasticated waist, bow",ON321C1CC-K13,Short,Short,"37.5 "" (Size 8)",Fitted waist,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,girly,0.269093891,489,,https://www.zalando.co.uk/only-onlolivia-wrap-dress-day-dress-dusk-blue-on321c1rr-k11.html,ONLOLIVIA DRESS , Day dress,summer-dresses,Â£20.79,pastel blue,--,--,--,--,100% polyester,--,"Do not tumble dry, Machine wash on gentle cycle, Do not bleach",--,--,--,--,--,--,--,ON321C1RR-K11,--,Short,"40.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
