,cv_predicted,Styles,brand,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width
457,trendy,trendy,See by ChloÃ©,Cocktail dress / Party dress, Day dress,Cocktail Dresses,300.0,bordeaux,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Button,Crew neck,Polka dot,Slip,SE321C05Z-Q11,Knee-length,Elbow length,"37.0 "" (Size 10)",Loose Fit,"Our model is 5' 9""  tall and is wearing size 10","14.0 "" (Size 8)"
458,sporty,classic,MAMALICIOUS,MLVERA  , Day dress,summer-dresses,33.99,navy,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Pinstriped,"Button row, bust darts",M6429F160-K11,Short,"23.0 "" (Size 8)","35.5 "" (Size 8)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
459,casual chic,casual chic,ONLY,ONLMARIANA MYRINA DRESS , Day dress,summer-dresses,23.99,navy,100% polyester,Yes,Chiffon,Semi-sheer,"97% polyester, 3% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Floral,"Inseam pockets, elasticated waist, bow",ON321C1CC-K13,Short,Short,"37.5 "" (Size 8)",Fitted waist,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
460,girly,girly,ONLY,ONLOLIVIA DRESS , Day dress,summer-dresses,20.79,pastel blue,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, Machine wash on gentle cycle, Do not bleach",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Slip,ON321C1RR-K11,Short,Short,"40.0 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
461,trendy,trendy,Maya Deluxe,EMBELLISHED BANDEAU PENCIL MIDI DRESS , Cocktail dress / Party dress,Cocktail Dresses,119.99,silver,100% polyester,Yes,Tulle,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, Hand wash only",Standing collar,Asymmetrical,Hoodie pocket,Zip,Backless,Plain,"Slip, sequins",M2Z21C093-D11,Knee-length,Strapless,"39.5 "" (Size 8)",Bodycon,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
462,girly,girly,GAP,CAP SLEEVE BUTTON FRONT , Day dress,summer-dresses,46.74,black,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Floral,Button row,GP021C0KW-K12,Short,Short,"34.0 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.5 "" (Size 10)"
463,sporty,classic,KOCHÃ‰,DRESS , Day dress,summer-dresses,439.99,black,100% polyester,Yes,Chiffon,Semi-sheer,"78% viscose, 18% polyamide, 4% elastane",100% polyester,"Hand wash only, Dry cleanable",Standing collar,Asymmetrical,Hoodie pocket,Zip,Scoop neck,Plain,Slip,KOJ21C00G-Q11,Knee-length,Short,"35.5 "" (Size S)",Slim Fit,"Our model is 5' 8""  tall and is wearing size S","14.0 "" (Size 8)"
464,classic,classic,IVY & OAK BRIDAL,MANNA , Occasion wear,Occasion dresses,279.99,white,100% polyester,Yes,Chiffon,Semi-sheer,"99% viscose, 1% elastane",100% polyester,"Do not tumble dry, Do not wash",Standing collar,Asymmetrical,Hoodie pocket,Zip,Boat neck,Plain,Slip,IV521C02Q-A11,Long,"23.5 "" (Size 8)","59.0 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8","12.5 "" (Size 8)"
465,casual chic,casual chic,Anna Field,SHORT SLEEVES  OFF SHOULDER LACE SKIRT DRESS  , Cocktail dress / Party dress,Cocktail Dresses,41.99,black,100% polyester,Yes,Chiffon,Semi-sheer,100% polyamide,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Backless,Plain,Slip,AN621C1PB-Q11,Knee-length,Short,"39.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
466,edgy,girly,ONLY,ONLOLIVIA DRESS , Day dress,summer-dresses,25.99,green,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Laces,Cache-coeur,Floral,Bust darts,ON321C1RR-M12,Knee-length,Short,"37.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)"
467,girly,girly,Mascara,Cocktail dress / Party dress, Day dress,Cocktail Dresses,199.99,pastel blue,100% polyester,Yes,"Lace, tulle",Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Backless,Plain,"Slip, sequins, rhinestones",M0921C0DR-K11,Short,"Strapless, sleeveless","35.0 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
468,edgy,edgy,Moss Copenhagen,KALIKA JALINA DRESS , Day dress,summer-dresses,89.99,black/blue,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Cache-coeur,Floral,Slip,M0Y21C09V-Q11,Calf-length,"26.5 "" (Size S)","44.0 "" (Size S)",Loose Fit,"Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size 8)"
469,girly,trendy,Christopher Kane,CRYSTAL BUCKLE GOWN , Occasion wear,Occasion dresses,34.99,white,100% polyester,Yes,Jersey,Semi-sheer,100% viscose,100% viscose,Dry clean only,Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,"Slip, rhinestones",C5Y21C00C-A11,Long,"29.0 "" (Size 10)","67.0 "" (Size 10)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 10","14.0 "" (Size 8)"
470,casual chic,casual chic,YAS,YASPICCOLINA MIDI DRESS , Day dress,summer-dresses,59.99,blue,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Floral,"Inseam pockets, bust darts",Y0121C1D4-K11,Calf-length,Long,"34.5 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 10","14.0 "" (Size 8)"
471,girly,trendy,Freequent,Day dress, Day dress,summer-dresses,79.99,white/pink,100% polyester,Yes,Chiffon,Semi-sheer,"70% viscose, 30% linen",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,V-neck,Striped,Bust darts,F0821C079-J11,Calf-length,Short,"47.0 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size S)"
472,sporty,sporty,MAMALICIOUS,MLGIGI DRESS , Day dress,summer-dresses,29.74,army green,100% polyester,Yes,Sweat,Semi-sheer,"60% polyester, 35% viscose, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Slip,M6429F0V9-M11,Short,"23.0 "" (Size 8)","34.5 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
473,alternative,girly,ONLY Tall,ONLOLIVIA DRESS , Day dress,summer-dresses,25.99,black/red,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Laces,Cache-coeur,Floral,Bust darts,OND21C05C-Q11,Knee-length,Short,"34.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
474,edgy,casual chic,ONLY,ONLINC FENJA DRESS , Day dress,Cocktail Dresses,21.99,black,100% polyester,Yes,Rib,Semi-sheer,"95% cotton, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Floral,Slip,ON321C2QJ-Q11,Short,Sleeveless,"34.5 "" (Size S)",Bodycon,"Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size 8)"
475,unknown,trendy,Massimo Dutti,Day dress, Day dress,summer-dresses,99.95,pink,100% polyester,No,Chiffon,Semi-sheer,"53% linen, 47% viscose",100% cotton,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Slip,M3I21C0JY-J11,Calf-length,Spaghetti straps,"40.0 "" (Size M)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
476,casual chic,casual chic,Pieces Maternity,PMKAITLYN  , Day dress,summer-dresses,30.99,black,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Laces,Cache-coeur,Floral,Slip,PIV29F03K-Q11,Knee-length,Elbow length,"36.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
477,trendy,trendy,Mango,LAKE , Day dress,summer-dresses,49.99,black,100% polyester,Yes,Chiffon,Semi-sheer,100% lyocell,100% polyester,"Do not tumble dry, machine wash at 30°C, Dry cleanable",Turn-down collar,Asymmetrical,Hoodie pocket,Drawstring fastening,Crew neck,Plain,Slip,M9121C5JP-Q11,Calf-length,Long,"34.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
478,classic,classic,Banana Republic,BUTTON FRONT CREPE SHIFT DRESS , Day dress,summer-dresses,89.99,navy,100% polyester,Yes,Chiffon,Semi-sheer,"92% polyester, 8% elastane",100% polyester,"Machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Henley,Plain,Belt included,BJ721C0H8-K11,Knee-length,Sleeveless,"44.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","13.5 "" (Size 8)"
479,trendy,trendy,Ioana Ciolacu,SOFT CANDY DRESS , Day dress,summer-dresses,155.0,multi-coloured,100% polyester,Yes,Sweat,Semi-sheer,"65% cotton, 35% polyester",100% polyester,Hand wash only,Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Elasticated waist,IO021C005-T11,Knee-length,"24.5 "" (Size S)","38.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size 8)"
480,casual chic,casual chic,ONLY,ONLANELINE WRAP , Day dress,summer-dresses,30.99,dark green,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Zip,Cache-coeur,Plain,"Elasticated waist, slip",ON321C2PB-M11,Short,"24.0 "" (Size S)","35.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
481,classic,classic,BOSS,DILA , Day dress,summer-dresses,319.0,black,100% polyester,Yes,Chiffon,Semi-sheer,"61% polyester, 26% viscose, 7% cotton, 6% elastane",100% polyester,"Do not tumble dry, Do not wash",Standing collar,Asymmetrical,Side pockets,Zip,Crew neck,Plain,Slip,BB121C0DD-Q11,Knee-length,3/4 length,"34.5 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
482,classic,classic,ANDIATA,EDLA DRESS , Day dress,summer-dresses,246.49,electric blue,100% polyester,Yes,Rib,Semi-sheer,"90% wool, 10% cashmere",100% polyester,Hand wash only,Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Marl,Belt included,A4L21C000-K11,Calf-length,Long,"34.5 "" (Size S)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
483,casual chic,casual chic,JDY Petite,JDYSORO WRAP DRESS , Day dress,summer-dresses,23.39,black/white,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Cache-coeur,Floral,Belt included,JD421C007-T12,Short,Long,"34.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
484,edgy,edgy,MUNTHE,NIEVE , Cocktail dress / Party dress,Cocktail Dresses,264.99,black,100% polyester,Yes,Faux leather,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Turn-down collar,Asymmetrical,Hoodie pocket,Button,Crew neck,Plain,"Belt included, inseam pockets",MUO21C00J-Q11,Knee-length,Elbow length,"41.5 "" (Size 8)",Regular Fit,"Our model is 5' 11""  tall and is wearing size 8","15.0 "" (Size 8)"
485,classic,classic,Anna Field,Jersey dress, Day dress,Cocktail Dresses,26.34,bordeaux,100% polyester,Yes,Jersey,Semi-sheer,"95% polyester, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Floral,Bust darts,AN621C1QJ-G11,Short,Extra short,"38.0 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
486,trendy,trendy,See by ChloÃ©,Cocktail dress / Party dress, Day dress,Cocktail Dresses,300.0,brown,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Button,Crew neck,Plain,"Embroidery, slip",SE321C05Z-G11,Knee-length,Short,"38.0 "" (Size 10)",Loose Fit,"Our model is 5' 11""  tall and is wearing size 10","20.5 "" (Size 10)"
487,classic,classic,ONLY,ONLEVA LIFE , Day dress,summer-dresses,39.99,black,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Do not iron, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Button,Low-cut v-neck,Animal print,Belt included,ON321C2S4-A11,Long,3/4 length,"34.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
488,girly,alternative,Superdry,Day dress, Day dress,summer-dresses,39.99,white,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Slip,SU221C0NH-A11,Short,Short,"34.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
489,trendy,trendy,TWINSET,WOVEN DRESS , Cocktail dress / Party dress,Cocktail Dresses,319.99,pastel green,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,Hand wash only,Standing collar,Asymmetrical,Hoodie pocket,Zip,Cache-coeur,Plain,"Bust darts, elasticated waist, Crochet Detailing, slip",TW321C085-D11,Extra short,"24.0 "" (Size 8)","32.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
490,classic,classic,Seidensticker,Day dress, Day dress,summer-dresses,109.99,pink,100% polyester,Yes,Chiffon,Semi-sheer,100% linen,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Marl,Inseam pockets,3SE21C052-J11,Knee-length,Short,"34.5 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
491,girly,girly,Vila,VILOVIE WRAP MIDI DRESS , Day dress,summer-dresses,34.99,pastel pink,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Laces,Cache-coeur,Floral,Slip,V1021C29U-J11,Calf-length,Short,"43.5 "" (Size 10)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 10","15.0 "" (Size 10)"
492,sporty,sporty,Sergio Tacchini,ALENA , Day dress,summer-dresses,67.49,white,100% polyester,Yes,Jersey,Semi-sheer,"96% polyester, 4% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C",High collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Print,Inseam pockets,S1621C000-A11,Short,"23.5 "" (Size S)","35.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
493,classic,classic,Marc O'Polo,DRESS VOLUME SLEEVE , Day dress,summer-dresses,89.24,black,100% polyester,Yes,Sweat,Semi-sheer,"47% cotton, 47% modal, 6% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Slip,MA321C0QF-Q11,Knee-length,"27.0 "" (Size 8)","38.0 "" (Size 8)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
494,classic,classic,Esprit,Day dress, Day dress,Cocktail Dresses,45.0,black,100% polyester,Yes,Chiffon,Semi-sheer,"97% cotton, 3% elastane",100% polyester,"Machine wash at 40°C, Do not bleach",Turn-down collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Slip,ES121C24Q-Q11,Short,Short,"34.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
495,edgy,edgy,NA-KD,PAMELA REIF x NA,KD ,summer-dresses,43.99,brown,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Animal print,Slip,NAA21C0PS-B11,Extra short,"25.0 "" (Size 8)","32.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
496,trendy,trendy,Pinko,ARDEA DRESS , Cocktail dress / Party dress,Cocktail Dresses,279.99,sand,100% polyester,Yes,Satin,Semi-sheer,100% polyester,100% polyester,Dry clean only,Volant collar,Asymmetrical,Hoodie pocket,Zip,Cache-coeur,Plain,Slip,P6921C0B7-B11,Short,"24.5 "" (Size 8)","32.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
497,girly,girly,Part Two,NAIOMI , Day dress,summer-dresses,109.99,pastel pink,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% viscose,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Floral,Slip,P2121C0EE-J11,Knee-length,"25.0 "" (Size 8)","39.5 "" (Size 8)",Loose Fit,"Our model is 5' 9""  tall and is wearing size 8","14.0 "" (Size 8)"
498,casual chic,casual chic,Swing Curve,Cocktail dress / Party dress, Day dress,Cocktail Dresses,174.99,blue,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,"92% polyester, 8% elastane","Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Button,Crew neck,Floral,Slip,S0O21C03W-K11,Knee-length,Elbow length,"34.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
499,girly,classic,GAP Petite,MIDI DRESS , Day dress,summer-dresses,47.99,bordeaux,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Polka dot,Slip,GAG21C01B-K11,Calf-length,Extra short,"34.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
500,classic,classic,Vero Moda,VMHBEATRIX TAPE SHORT DRESS , Day dress,summer-dresses,32.99,navy,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Zip,V-neck,Plain,"Bust darts, Crochet Detailing",VE121C38L-K11,Short,3/4 length,"34.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
501,edgy,edgy,NIKKIE,SNOW LEOPARD DRESS , Day dress,summer-dresses,129.99,brown,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% viscose,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Turn-down collar,Asymmetrical,Hoodie pocket,Button,Crew neck,Animal print,"Elasticated waist, bust darts",NIO21C01R-B11,Short,"25.0 "" (Size 8)","34.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.5 "" (Size 8)"
502,classic,classic,JDY,JDYAMANDA , Day dress,summer-dresses,21.99,black,100% polyester,Yes,Chiffon,Semi-sheer,"97% polyester, 3% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur",Standing collar,Asymmetrical,Hoodie pocket,Button,Crew neck,Plain,"Belt included, slip",JY121C096-Q11,Knee-length,Elbow length,"36.5 "" (Size 36)",Normal fit,"Our model is 5' 10""  tall and is wearing size 36","15.5 "" (Size 36)"
503,trendy,trendy,Love Copenhagen,NATVA DRESS , Cocktail dress / Party dress,Cocktail Dresses,84.99,pastel pink,100% polyester,Yes,Satin,Semi-sheer,"60% polyester, 40% nylon",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Laces,Backless,Plain,Bow,L1G21C04E-J11,Short,Elbow length,"38.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
504,girly,girly,Vila,VIPLISSEA FLONAL DRESS , Day dress,summer-dresses,39.99,pastel pink,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,Machine wash at 30°C,Standing collar,Asymmetrical,Hoodie pocket,Button,Crew neck,Floral,Slip,V1021C30G-J11,Short,"27.0 "" (Size 8)","36.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)"
505,trendy,trendy,MM6 Maison Margiela,DRESS , Day dress,summer-dresses,310.0,black,100% polyester,Yes,Chiffon,Semi-sheer,"66% polyester, 28% viscose, 6% elastane",100% polyester,Dry clean only,Standing collar,Asymmetrical,Hoodie pocket,Zip,V-neck,Plain,Slip,MMA21C02A-Q11,Knee-length,"18.0 "" (Size 10)","43.5 "" (Size 10)",Loose Fit,"Our model is 5' 11""  tall and is wearing size 10","15.5 "" (Size 10)"
506,girly,classic,Anna Field,Jersey dress, Day dress,summer-dresses,28.99,pastel blue,100% polyester,Yes,Jersey,Semi-sheer,"95% polyester, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Belt included,AN621C1I6-K12,Calf-length,"Spaghetti straps, sleeveless","43.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
507,classic,classic,Bruuns Bazaar,CAMILLA FINES DRESS , Day dress,Cocktail Dresses,149.99,black,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Button,Crew neck,Plain,"Belt included, slip",BR321C09D-Q11,Calf-length,"25.5 "" (Size 8)","46.5 "" (Size 8)",Regular Fit,"Our model is 5' 11""  tall and is wearing size 8","14.0 "" (Size 8)"
508,casual chic,edgy,Object,OBJMILA GIA  , Day dress,summer-dresses,43.99,black/green,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Floral,Slip,OB121C0PQ-Q13,Short,"24.0 "" (Size 8)","34.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
509,casual chic,casual chic,Mavi,LONG SLEEVE DRESS , Day dress,summer-dresses,43.99,black,100% polyester,Yes,Chiffon,Semi-sheer,"99% polyester, 1% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Laces,Crew neck,Plain,Slip,MA621C03Y-Q11,Short,"18.5 "" (Size S)","33.5 "" (Size S)",Oversized,"Our model is 5' 10""  tall and is wearing size S","17.5 "" (Size S)"
510,trendy,trendy,AllSaints,ALEXIA DRESS , Cocktail dress / Party dress,Cocktail Dresses,119.99,red,100% polyester,Yes,Satin,Semi-sheer,100% polyester,100% viscose,"Do not tumble dry, Do not wash",Standing collar,Asymmetrical,Hoodie pocket,Zip,Backless,Plain,Slip,A0Q21C0H5-G11,Long,"Spaghetti straps, sleeveless","54.0 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
511,trendy,trendy,Sister Jane,CARINA DRESS , Cocktail dress / Party dress,Cocktail Dresses,89.99,red,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,"97% polyester, 3% elastane",Dry clean only,Standing collar,Asymmetrical,Hoodie pocket,Zip,Square neck,Plain,"Inseam pockets, slip",QS021C074-G11,Short,Short,"32.5 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)"
512,girly,girly,Pieces Petite,PCTEGAN STRAP DRESS , Day dress,summer-dresses,21.99,pink,100% polyester,Yes,Rib,Semi-sheer,"95% cotton, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Square neck,Plain,Adjustable straps,PIT21C02U-J11,Short,Spaghetti straps,"31.5 "" (Size S)",Bodycon,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
513,girly,girly,Hollister Co.,DRESS , Day dress,summer-dresses,34.99,white,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,Machine wash at 30°C,Standing collar,Asymmetrical,Hoodie pocket,Zip,Backless,Floral,"Bust darts, slip, bow",H0421C05D-A11,Short,"26.0 "" (Size SxL)","33.5 "" (Size SxL)",Slim Fit,"Our model is 5' 10""  tall and is wearing size SxL","12.0 "" (Size SxL)"
