link,heading1,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width,Sleeve length,Jacket length,Top part material,Filling,Insert material,Sleeves material,Back material,Middle part material,Outer leg length,,,,,,,,,,,,,,,,,,,,
https://www.zalando.co.uk/bytimo-delicate-shift-dress-cocktail-dress-party-dress-golden-byh21c01p-f11.html,byTiMo,DELICATE SHIFT DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£264.99,golden,--,--,--,--,100% viscose,--,Dry clean only,Standing collar,--,--,Zip,--,Polka dot,Inseam pockets,BYH21C01P-F11,Short,"25.5 "" (Size S)","34.5 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S","17.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/koche-dress-cocktail-dress-party-dress-black-koj21c00c-q11.html,KOCHÃ‰,DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£439.99,video overlay,--,--,Velvet/velour,--,"78% viscose, 18% polyamide, 4% elastane",--,"Hand wash only, Dry cleanable",--,--,--,--,Low-cut v-neck,Plain,--,KOJ21C00C-Q11,Calf-length,Spaghetti straps,"43.5 "" (Size S)",Slim Fit,"Our model is 5' 10""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/bytimo-plisse-dress-cocktail-dress-party-dress-navy-byh21c01k-k11.html,byTiMo,PLISSE DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£279.99,navy,--,--,--,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Zip,Low-cut v-neck,Plain,Slip,BYH21C01K-K11,Knee-length,"24.5 "" (Size S)","35.5 "" (Size S)",Slim Fit,--,"12.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/ivy-and-oak-bridal-mira-ann-cocktail-dress-party-dress-snow-white-iv521c02g-a11.html,IVY & OAK BRIDAL,MIRA ANN , Cocktail dress / Party dress,Cocktail Dresses,Â£419.99,snow white,--,--,Lace,--,100% polyester,100% polyester,"Do not tumble dry, Do not wash",--,--,--,Zip,Backless,Floral,"Padded bust, button row",IV521C02G-A11,Calf-length,"26.0 "" (Size 8)","50.5 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/milly-laser-cutout-dress-cocktail-dress-party-dress-black-m1221c04g-q11.html,Milly,LASER CUTOUT DRESS , Jersey dress,Cocktail Dresses,Â£409.99,black,--,--,Jersey,--,100% nylon,--,--,--,--,--,--,--,Plain,Adjustable straps,M1221C04G-Q11,Calf-length,Spaghetti straps,"36.0 "" (Size S)",Bodycon,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/koche-dress-cocktail-dress-party-dress-marble-monogram-koj21c00f-i11.html,KOCHÃ‰,DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£474.99,video overlay,--,--,--,--,"94% viscose, 6% elastane",--,Hand wash only,--,--,--,Zip,Boat neck,Print,--,KOJ21C00F-I11,Knee-length,"25.0 "" (Size S)","39.5 "" (Size S)",Bodycon,"Our model is 5' 10""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/never-fully-dressed-petite-lindos-cocktail-dress-party-dress-lilac-nez21c01l-i11.html,Never Fully Dressed Petite,LINDOS , Cocktail dress / Party dress,Cocktail Dresses,Â£104.99,lilac,--,Yes,Satin,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Button,Low-cut v-neck,--,Border,NEZ21C01L-I11,Calf-length,Short,"49.5 "" (Size 8)",Slim Fit,--,"13.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/proenza-schouler-white-label-v-neck-dress-cocktail-dress-party-dress-taupe-p1y21c00e-o11.html,Proenza Schouler White Label,V,NECK DRESS ,Cocktail Dresses,Â£630.00,video overlay,--,--,Faux leather,--,100% polyester,100% lyocell,Hand wash only,--,--,Hoodie pocket,Zip,Backless,Plain,"Button row, slip",P1Y21C00E-O11,Knee-length,Sleeveless,"47.0 "" (Size 10)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 10","12.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/victoria-beckham-dolman-cocktail-dress-party-dress-marine-v0921c02t-k11.html,Victoria Beckham,LONG SLEEVE DOLMAN MIDI , Cocktail dress / Party dress,Cocktail Dresses,"Â£1,010.00",video overlay,--,--,--,--,100% viscose,--,Dry clean only,--,--,--,Zip,Crew neck,Plain,"Zip fastening, shoulder pads",V0921C02T-K11,Calf-length,"25.0 "" (Size 4)","48.5 "" (Size 4)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 4","16.5 "" (Size 4)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/temperley-london-robin-dress-day-dress-white-mix-tl421c010-a11.html,Temperley London,ROBIN DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£795.00,white mix,--,Yes,--,--,"65% cotton, 35% silk",100% viscose,"Do not tumble dry, Dry clean only",Standing collar,--,--,Button,--,Print,"Bust darts, adjustable straps, slip, sequins",TL421C010-A11,Short,"26.5 "" (Size 8)","37.5 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8","14.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/2nd-day-clotilde-structural-opacity-cocktail-dress-party-dress-jet-black-s3821c06b-q11.html,2nd Day,CLOTILDE STRUCTURAL OPACITY , Cocktail dress / Party dress,Cocktail Dresses,Â£199.99,jet black,--,--,--,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Zip,Cache-coeur,Plain,Slip,S3821C06B-Q11,Knee-length,Elbow length,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/david-koma-cocktail-dress-party-dress-black-d0t21c00e-q11.html,David Koma,Cocktail dress / Party dress,,Cocktail Dresses,"Â£1,075.00",black,--,--,--,--,"68% polyamide, 32% modal","96% acetate, 4% elastane",--,--,--,--,Zip,--,--,"Inseam pockets, rhinestones",D0T21C00E-Q11,Extra short,Spaghetti straps,"24.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","16.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/house-of-dagmar-tansy-cocktail-dress-party-dress-black-dg221c03a-q11.html,House of Dagmar,TANSY , Cocktail dress / Party dress,Cocktail Dresses,Â£399.99,video overlay,--,--,Satin,--,"55% cupro, 45% viscose",--,Hand wash only,--,--,--,Belt,Low-cut v-neck,Plain,Belt included,DG221C03A-Q11,Calf-length,"24.5 "" (Size 8)","51.0 "" (Size 8)",Regular Fit,"Our model is 5' 11""  tall and is wearing size 8","21.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/ivy-and-oak-bridal-glicine-cocktail-dress-party-dress-snow-white-iv521c02a-a11.html,IVY & OAK BRIDAL,GLICINE , Cocktail dress / Party dress,Cocktail Dresses,Â£279.99,snow white,--,--,Lace,--,100% polyester,"65% cotton, 32% polyamide, 3% elastane",Dry clean only,--,--,--,Zip,Crew neck,Plain,"Bust darts, slip",IV521C02A-A11,Calf-length,Short,--,Slim Fit,"Our model is 5' 10""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/maya-deluxe-halter-neck-ruffle-embellished-midi-dress-cocktail-dress-party-dress-navy-m2z21c095-k11.html,Maya Deluxe,HALTER NECK RUFFLE EMBELLISHED MIDI DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£94.99,navy,--,--,Tulle,--,100% polyester,--,"Do not tumble dry, Hand wash only",--,--,--,Zip,Backless,Plain,"Slip, sequins, rhinestones",M2Z21C095-K11,Calf-length,"Strapless, sleeveless","51.0 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/olivia-rubin-meg-cocktail-dress-party-dress-orange-olg21c010-h11.html,Olivia Rubin,MEG , Cocktail dress / Party dress,Cocktail Dresses,Â£370.00,video overlay,--,--,--,--,100% polyester,100% polyester,Dry clean only,--,--,--,Zip,Cache-coeur,Plain,"Slip, sequins",OLG21C010-H11,Short,"25.0 "" (Size 8)","33.5 "" (Size 8)",Slim Fit,"Our model is 5' 11""  tall and is wearing size 8","12.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/pinko-avezzano-dress-cocktail-dress-party-dress-bluebright-blue-p6921c0bf-k11.html,Pinko,AVEZZANO DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£429.99,blue/bright blue,--,--,--,--,100% polyester,100% polyester,Hand wash only,--,--,--,--,Backless,--,"Adjustable straps, slip, fringing, sequins",P6921C0BF-K11,Extra short,Spaghetti straps,"33.0 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8",--,--,--,--,--,--,--,100% polyester,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/puma-crystal-dress-cocktail-dress-party-dress-lavender-fog-pu121c02f-i11.html,Puma,CRYSTAL DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£54.99,lavender fog,--,--,Jersey,--,"77% polyester, 23% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,--,Crew neck,Plain,--,PU121C02F-I11,Extra short,Long,--,Bodycon,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/victoria-beckham-shift-dress-cocktail-dress-party-dress-black-v0921c029-q11.html,Victoria Beckham,SLEEVELESS MINI SHIFT DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£500.00,video overlay,--,--,--,--,100% viscose,--,Dry clean only,Shawl collar,--,--,--,Low-cut v-neck,Plain,Inseam pockets,V0921C029-Q11,Short,Sleeveless,"34.0 "" (Size 8)",Oversized,"Our model is 5' 10""  tall and is wearing size 8","16.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/victoria-beckham-shift-dress-cocktail-dress-party-dress-black-v0921c029-q11.html,Victoria Beckham,SLEEVELESS MINI SHIFT DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£500.00,black,--,--,--,--,100% viscose,--,Dry clean only,Shawl collar,--,--,--,Low-cut v-neck,Plain,Inseam pockets,V0921C029-Q11,Short,Sleeveless,"34.0 "" (Size 8)",Oversized,"Our model is 5' 10""  tall and is wearing size 8","16.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/victoria-beckham-shift-dress-cocktail-dress-party-dress-black-v0921c029-q11.html,Victoria Beckham,SLEEVELESS MINI SHIFT DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£500.00,crimson,--,--,--,--,100% viscose,--,Dry clean only,Shawl collar,--,--,--,Low-cut v-neck,Plain,Inseam pockets,V0921C029-Q11,Short,Sleeveless,"34.0 "" (Size 8)",Oversized,"Our model is 5' 10""  tall and is wearing size 8","16.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/swing-curve-cocktail-dress-party-dress-ivorysea-blue-s0o21c03r-k11.html,Swing Curve,Cocktail dress / Party dress,,Cocktail Dresses,Â£139.99,ivory/sea blue,--,--,"Lace, satin",--,"86% polyamide, 12% polyester, 2% elastane","95% polyester, 5% elastane",--,--,--,--,Zip,Low-cut v-neck,--,"Belt included, slip",S0O21C03R-K11,Knee-length,Extra short,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/hofmann-copenhagen-isseline-cocktail-dress-party-dress-creme-0hc21c02r-a11.html,Hofmann Copenhagen,ISSELINE , Day dress,Cocktail Dresses,Â£319.99,video overlay,--,--,--,Semi-sheer,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,Button,--,Plain,"Border, belt included",0HC21C02R-A11,Short,"25.0 "" (Size 8)","37.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","16.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/karl-lagerfeld-metallic-dress-cocktail-dress-party-dress-gold-k4821c054-f11.html,KARL LAGERFELD,METALLIC DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£349.99,gold,--,--,--,--,100% polyester,100% polyester,--,--,--,--,Button,Low-cut v-neck,Marl,"Belt included, slip",K4821C054-F11,Long,Long,--,Loose Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/victoria-beckham-deep-v-mini-dress-cocktail-dress-party-dress-black-v0921c02g-q11.html,Victoria Beckham,DEEP V MINI DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£500.00,video overlay,--,--,--,--,100% viscose,100% polyester,Dry clean only,--,--,--,Zip,Low-cut v-neck,Plain,"Inseam pockets, bust darts",V0921C02G-Q11,Short,"25.5 "" (Size 6)","32.5 "" (Size 6)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 6","12.5 "" (Size 6)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/mother-of-pearl-asymmetric-slip-dress-with-v-neck-cocktail-dress-party-dress-black-mp421c02u-q11.html,Mother of Pearl,ASYMMETRIC SLIP DRESS WITH V,NECK ,Cocktail Dresses,Â£225.00,black,--,--,Satin,--,100% lyocell,--,Hand wash only,--,Asymmetrical,--,--,Low-cut v-neck,Plain,"Bust darts, adjustable straps",MP421C02U-Q11,Calf-length,Spaghetti straps,"53.0 "" (Size 10)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 10","15.5 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/cinq-a-sept-emilia-dress-cocktail-dress-party-dress-raspberry-cig21c012-g11.html,Cinq Ã  Sept,EMILIA DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£390.00,video overlay,--,--,Satin,--,100% silk,100% polyester,Dry clean only,--,Asymmetrical,--,Zip,Cowl neck,Plain,"Adjustable straps, slip, rhinestones",CIG21C012-G11,Calf-length,Spaghetti straps,"55.0 "" (Size 8)",Bodycon,"Our model is 5' 9""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/cinq-a-sept-emilia-dress-cocktail-dress-party-dress-raspberry-cig21c012-g11.html,Cinq Ã  Sept,EMILIA DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£390.00,raspberry,--,--,Satin,--,100% silk,100% polyester,Dry clean only,--,Asymmetrical,--,Zip,Cowl neck,Plain,"Adjustable straps, slip, rhinestones",CIG21C012-G11,Calf-length,Spaghetti straps,"55.0 "" (Size 8)",Bodycon,"Our model is 5' 9""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/cinq-a-sept-emilia-dress-cocktail-dress-party-dress-raspberry-cig21c012-g11.html,Cinq Ã  Sept,EMILIA DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£390.00,black,--,--,Satin,--,100% silk,100% polyester,Dry clean only,--,Asymmetrical,--,Zip,Cowl neck,Plain,"Adjustable straps, slip, rhinestones",CIG21C012-G11,Calf-length,Spaghetti straps,"55.0 "" (Size 8)",Bodycon,"Our model is 5' 9""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/patrizia-pepe-dress-cocktail-dress-party-dress-nero-p1421c0iw-q11.html,Patrizia Pepe,DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£264.99,nero,--,--,Faux leather,--,100% polyester,--,"Do not tumble dry, Hand wash only",--,--,--,Zip,--,Plain,--,P1421C0IW-Q11,Short,Strapless,--,Slim Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/david-koma-cocktail-dress-party-dress-blacksilver-d0t21c00w-q11.html,David Koma,Cocktail dress / Party dress,,Cocktail Dresses,"Â£1,210.00",video overlay,--,--,--,--,"52% acetate, 45% viscose, 3% elastane","96% acetate, 4% lyocell",Dry cleaning,--,--,--,Zip,Low-cut v-neck,--,"Slip, rhinestones",D0T21C00W-Q11,Extra short,Spaghetti straps,"30.5 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/mm6-maison-margiela-dress-cocktail-dress-party-dress-black-mma21c02f-q11.html,MM6 Maison Margiela,DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£310.00,video overlay,--,--,Faux leather,--,100% polyester,--,Hand wash only,--,--,--,--,Low-cut v-neck,Plain,--,MMA21C02F-Q11,Short,Sleeveless,"36.0 "" (Size 10)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/esprit-maternity-cocktail-dress-party-dress-bright-white-es921c01z-a11.html,Esprit Maternity,MATERNITY STILL , Cocktail dress / Party dress,Cocktail Dresses,Â£144.99,bright white,--,--,Lace,--,100% polyamide,100% polyamide,"Do not tumble dry, machine wash at 30Â°C",--,--,--,--,Crew neck,Plain,"Belt included, slip",ES921C01Z-A11,Knee-length,3/4 length,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/bytimo-dress-cocktail-dress-party-dress-vintage-byh21c022-a11.html,byTiMo,DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£299.99,vintage,--,--,--,--,"50% viscose, 50% cotton",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Button,Crew neck,--,"Belt included, bust darts",BYH21C022-A11,Short,"23.0 "" (Size S)","36.0 "" (Size S)",Regular Fit,--,"14.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/rag-and-bone-jules-dress-cocktail-dress-party-dress-wetirn-r0721c00v-c11.html,rag & bone,JULES DRESS , Jersey dress,Cocktail Dresses,Â£374.99,video overlay,--,--,Jersey,Semi-sheer,100% viscose,--,Machine wash at 30Â°C,--,--,--,--,Low-cut v-neck,Plain,--,R0721C00V-C11,Calf-length,"28.0 "" (Size S)","51.0 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/bite-studios-raw-dress-cocktail-dress-party-dress-grey-beige-bdm21c004-b11.html,BITE Studios,RAW DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£800.00,grey beige,--,--,--,--,"97% viscose, 3% elastane",100% cupro,Dry clean only,--,--,--,Zip,Crew neck,Plain,"Shoulder pads, slip",BDM21C004-B11,Calf-length,Extra short,"48.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","13.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/bytimo-spring-mini-dress-cocktail-dress-party-dress-brown-byh21c01w-t11.html,byTiMo,SPRING MINI DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£279.99,brown,--,--,--,--,100% cotton,100% cotton,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,Button,--,Floral,Slip,BYH21C01W-T11,Extra short,"23.5 "" (Size S)","33.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","14.5 "" (Size S)",--,--,--,--,100% cotton,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/materiel-long-sleeve-top-stitch-dress-cocktail-dress-party-dress-midnight-blue-mdh21c008-k11.html,Materiel,LONG SLEEVE TOP STITCH DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£569.99,video overlay,--,--,Satin,--,"86% viscose, 14% polyester",--,Dry clean only,Standing collar,--,--,--,Low-cut v-neck,Plain,"Belt included, inseam pockets",MDH21C008-K11,Calf-length,"28.0 "" (Size S)","49.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","16.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/victoria-beckham-mini-dress-cocktail-dress-party-dress-navy-v0921c028-k11.html,Victoria Beckham,MINI DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£345.00,video overlay,--,--,Knit,--,"81% viscose, 12% polyester, 7% metal",--,Dry clean only,Polo neck,--,--,--,--,Marl,--,V0921C028-K11,Short,"27.5 "" (Size S)","34.0 "" (Size S)",Slim Fit,"Our model is 5' 10""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/alice-olivia-katrice-puff-mini-cocktail-dress-party-dress-black-a2n21c00s-q11.html,Alice + Olivia,KATRICE PUFF MINI , Cocktail dress / Party dress,Cocktail Dresses,Â£450.00,video overlay,--,--,Satin,--,"91% silk, 9% elastane","94% polyester, 6% elastane",Dry clean only,--,--,--,Zip,Square neck,Plain,Shoulder pads,A2N21C00S-Q11,Extra short,"16.5 "" (Size 8)","36.0 "" (Size 8)",Bodycon,"Our model is 5' 9""  tall and is wearing size 8","14.0 "" (Size 8)",--,--,--,--,100% polyester,"97% polyester, 3% elastane",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/ivy-and-oak-bridal-ailanto-cocktail-dress-party-dress-snow-white-iv521c02d-a11.html,IVY & OAK BRIDAL,AILANTO , Cocktail dress / Party dress,Cocktail Dresses,Â£599.99,snow white,--,--,Lace,--,"60% polyamide, 40% viscose",100% viscose,Dry clean only,Standing collar,--,--,Zip,Backless,Plain,"Adjustable straps, slip",IV521C02D-A11,Calf-length,"19.0 "" (Size 8)","45.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/milly-mia-giraffe-dress-cocktail-dress-party-dress-black-m1221c04i-q11.html,Milly,MIA GIRAFFE DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£409.99,black,--,--,--,--,100% viscose,100% polyester,Dry clean only,--,--,--,Zip,Crew neck,Animal print,Slip,M1221C04I-Q11,Calf-length,Sleeveless,"51.0 "" (Size 8)",Slim Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/twinset-abito-fil-coupe-cocktail-dress-party-dress-nero-tw321c06x-q11.html,TWINSET,ABITO FIL COUPE , Cocktail dress / Party dress,Cocktail Dresses,Â£204.99,nero,--,--,Chiffon,--,"97% viscose, 3% metal",100% polyester,Dry clean only,Standing collar,--,--,Button,--,Polka dot,"Slip, bow",TW321C06X-Q11,Short,"27.0 "" (Size 10)","35.0 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10","15.5 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/ivy-and-oak-cocktail-dress--party-dress-snow-white-iv321c03e-a11.html,IVY & OAK BRIDAL,DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£239.99,snow white,--,--,Lace,--,"75% cotton, 25% nylon","65% cotton, 32% nylon, 3% elastane","Hand wash only, Dry cleanable",Mandarin collar,--,--,Zip,Backless,Plain,"Bust darts, slip, fringing",IV321C03E-A11,Knee-length,Short,"41.5 "" (Size 8)",Small,"Our model is 5' 9""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/ivy-and-oak-cocktail-dress--party-dress-snow-white-iv321c03e-a11.html,IVY & OAK BRIDAL,DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£239.99,black,--,--,Lace,--,"75% cotton, 25% nylon","65% cotton, 32% nylon, 3% elastane","Hand wash only, Dry cleanable",Mandarin collar,--,--,Zip,Backless,Plain,"Bust darts, slip, fringing",IV321C03E-A11,Knee-length,Short,"41.5 "" (Size 8)",Small,"Our model is 5' 9""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
