"predict","alternative","casual chic","classic","edgy","girly","sporty","trendy","C1","Unnamed: 0","Brand","Dress name ","Price","Price Category","Color","Fabric","Outer fabric material","Lining","Care instructions","Collar","Cut","Fastening","Type of dress","Neckline","Consolidated Prints","Details","Dress length","Sleeve length","Consolidated sleeve length","Total length","Fit","Consolidated fit","Our model's height","Back width","Sheer?","Pockets?","Rhinestones?","Shoulderpads?","Backless?","cv_predicted"
"alternative",0.9652620704136459,0.0071234286717538065,2.2493111797422836E-6,0.027611621533096452,7.08662708658049E-8,5.361670358558576E-9,5.538423830868566E-7,1409,2271,"Simply Be","SMOCK DRESS ",24.64,1,"electric blue",,"100% cotton",,"Machine wash at 40Â°C, do not tumble dry, Machine wash on gentle cycle","Turn-down collar",,"Button","Button down dresses",,"Checked",,"Short","24.0 "" (Size 16)","Long","36.0 "" (Size 16)","Loose Fit","Loose fit",,"16.0 "" (Size 16)","No","No","No","No","No","edgy"
"classic",0.05051510330497721,0.23146335929231757,0.714276289214562,0.00329124387640141,2.4754005407582604E-4,4.91875615440689E-5,1.5727669612188556E-4,1410,2272,"Vila","VIBONDY DRESS ",34.99,1,"black",,"90% polyamide, 10% elastane",,"Do not tumble dry, machine wash at 30Â°C",,,"Button",,"Round neckline","Plain","Slip","Short","27.0 "" (Size S)","Long","36.0 "" (Size S)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size S",,"No","No","No","No","No","classic"
"girly",1.939543451902699E-7,1.700648506920158E-5,0.07593365336622107,1.2814644983537588E-6,0.9167102929281408,1.1180637950246832E-18,0.007337571801725329,1411,2273,"Calvin Klein","PRINT MAXI DRESS ",199.99,4,"white multi-coloured","Satin","100% polyester","100% cotton","Machine wash at 30Â°C",,,"Button","Accentuating the waist","Round neckline","Floral","Belt included, bust darts, slip","Calf length","Sleeveless","Sleeveless","51.5 "" (Size 10)","Regular Fit","Regular fit",,"12.0 "" (Size 10)","No","No","No","No","No","girly"
"classic",0.001453711138446391,8.800954993936612E-4,0.9613046633814507,8.01823798446598E-5,0.004620870736861212,2.382291216590277E-10,0.03166047662577403,1412,2274,"Soaked in Luxury","SLALDORA ",74.99,2,"multi",,"95% polyester, 5% elastane","95% polyester, 5% elastane","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,"Wrap dresses","Low v-neck","Floral","Slip","Calf length","Short","Short","46.5 "" (Size S)","Fitted waist","Slim fit","Our model is 5' 9""  tall and is wearing size S",,"No","No","No","No","No","alternative"
"trendy",3.0013297665209916E-51,1.3194549953806267E-46,3.3358712652957763E-9,7.356623236222702E-6,2.2815980376377542E-10,3.8346985234915583E-81,0.9999926398127327,1413,2275,"David Koma","Cocktail dress / Party dress",965.0,5,"orange",,"52% acetate, 45% viscose, 3% elastane","64% viscose, 36% polyester","Dry clean only",,"Asymmetrical","Zip","Bodycon dresses","Low v-neck","Plain","Wired bustier, slip","Extra short","Strapless","Strapless","27.0 "" (Size 10)","Bodycon","Slim fit","Our model is 5' 10""  tall and is wearing size 10",,"No","No","No","No","No","alternative"
"edgy",8.358039905036829E-9,9.833657764238245E-7,9.081122116572884E-6,0.999878430194163,1.102011957301173E-4,6.974674264327103E-14,1.2957641044260815E-6,1414,2276,"The Kooples","ROBE ",214.99,5,"black",,"100% polyester",,"Hand wash only",,,"Zip",,"Round neckline","Plain",,"Short","Short","Short","32.0 "" (Size 8)","Regular Fit","Regular fit",,"19.0 "" (Size 8)","No","No","No","No","No","edgy"
"classic",1.256616734538465E-4,0.04753704963020913,0.6918121182725562,3.608289747076192E-5,0.2543805667350035,0.005554459557051022,5.540612342555642E-4,1415,2277,"Saint Tropez","LINETTE DRESS ",59.99,2,"pastel blue",,"100% cotton",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle","Standing collar",,,,"Low v-neck","Striped",,"Knee length","25.5 "" (Size M)","Long","38.5 "" (Size M)","Oversized","Loose fit","Our model is 5' 10""  tall and is wearing size M",,"No","No","No","No","No","girly"
"alternative",0.999990501346493,1.2431127933454776E-6,3.0339580694468606E-7,7.712293872560284E-6,1.0197136721847255E-7,1.1674784160403724E-10,1.3776291895362586E-7,1416,2278,"Superdry","SUPERDRY  ",27.5,1,"burnt orange",,"100% viscose",,"Do not bleach, do not tumble dry",,,,,"Round neckline","Plain",,"Calf length","Long","Long",,"Slim Fit","Slim fit",,,"No","No","No","No","Yes","alternative"
"sporty",2.442758551768792E-10,6.473321295207312E-10,1.4813863775434953E-9,1.640896779912211E-10,1.7680921349613479E-15,0.9999999969090334,5.538807846323693E-10,1417,2279,"Gestuz","NANKITA ZIPPER COLLAR DRESS ",119.99,3,"black","Sweat","100% cotton",,,"Turn-down collar",,"Zip",,,"Plain",,"Knee length","28.5 "" (Size S)","Long","41.0 "" (Size S)","Loose Fit","Loose fit","Our model is 5' 10""  tall and is wearing size S",,"No","No","No","No","No","sporty"
"classic",0.0022924786020582745,0.0032117216245913646,0.8639761484386941,1.6972160739675253E-4,0.12283528826554939,9.431388249314952E-14,0.007514641461615721,1418,2280,"Calvin Klein","SHINE MAXI DRESS ",169.99,4,"orange","Satin","100% viscose",,"Machine wash at 30Â°C, Machine wash on gentle cycle",,,"Button","Accentuating the waist","Round neckline","Plain","Belt included, bust darts","Calf length","Sleeveless","Sleeveless","49.5 "" (Size 10)","Regular Fit","Regular fit",,"12.0 "" (Size 10)","No","No","No","No","No","alternative"
"classic",1.6671277610509817E-4,0.49192548252945634,0.507890165562933,1.1456671510526338E-6,1.643929965441172E-5,8.048945146872242E-12,5.415665119437745E-8,1419,2281,"Part Two","KADIA ",109.99,3,"navy","Chiffon","100% viscose","100% polyester","Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",,,,,"Low v-neck","Floral","Slip","Knee length","25.5 "" (Size 8)","Long","39.5 "" (Size 8)","Loose Fit","Loose fit","Our model is 5' 11""  tall and is wearing size 8","15.0 "" (Size 8)","No","No","No","No","No","classic"
"classic",4.78786663982955E-8,3.0663049306918385E-4,0.9992140022550609,1.5260601461918147E-4,9.032511470548035E-7,2.9527746244992355E-8,3.2578057969098745E-4,1420,2282,"Marc Cain","Day dress",264.99,5,"white multi-coloured","Sweat","48% cotton, 47% lyocell, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle","Standing collar",,,,,"Floral","Inseam pockets, elasticated waist","Knee length","23.5 "" (Size 10)","Long","38.0 "" (Size 10)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size 10",,"No","yes","No","No","No","casual chic"
"edgy",0.005911685540715479,0.13233483857949546,7.399628763027965E-4,0.5814437946954939,0.17719826584456583,2.492046296294285E-14,0.10237145246340157,1421,2283,"Object","OBJGILA SMOCK DRESS ",54.99,2,"pastel green","Chiffon","100% polyester","100% viscose","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,"Low v-neck","Plain","Slip","Short","24.0 "" (Size 8)","Long","32.5 "" (Size 8)","Regular Fit","Regular fit","Our model is 5' 9""  tall and is wearing size 8","14.5 "" (Size 8)","No","No","No","No","No","girly"
"trendy",5.647957266188838E-4,5.914853989464798E-6,2.1484994231644535E-9,1.0724986734528691E-5,4.5666208665147227E-5,1.3007959013590145E-11,0.9993728960624846,1422,2284,"Mango","LORNA ",69.99,2,"black",,"56% acetate, 44% viscose","100% polyester","Do not tumble dry, machine wash at 30Â°C, Dry cleanable",,,"Zip",,"Spaghetti straps","Plain",,"Extra short","Spaghetti straps","Spaghetti straps",,"Slim Fit","Slim fit",,,"No","No","No","No","Yes","edgy"
"alternative",0.8620001085420292,0.13790641580842453,4.883339694242962E-5,8.187113861132194E-6,3.634465217824132E-5,1.6120029906998839E-12,1.104849524255071E-7,1423,2286,"Vero Moda","VMOLGA ",30.99,1,"navy",,"100% polyester",,,,,,"Wrap dresses","Low v-neck","Floral","Bust darts","Short","19.5 "" (Size 16)","Long","38.0 "" (Size 16)","Regular Fit","Regular fit",,"15.5 "" (Size 16)","No","No","No","No","No","casual chic"
"edgy",0.008418349140210751,4.1346014340259876E-5,1.0413069824781641E-4,0.9914353095642938,9.951398724616363E-9,2.9724278581602052E-15,8.546315055885341E-7,1424,2287,"Esqualo","DRESS PINTUCKS RED BRUSH PRINT ",94.99,3,"burgundy",,"100% viscose","100% viscose","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle","Turn-down collar",,"Button","Button down dresses",,"Prints in general","Slip","Knee length","24.5 "" (Size 8)","Long","37.5 "" (Size 8)","Slim Fit","Slim fit","Our model is 5' 10""  tall and is wearing size 8",,"No","No","No","No","No","edgy"
"trendy",5.871701488575008E-18,1.760517129140239E-16,4.200378027720376E-9,7.248149973889597E-4,5.620308309944833E-8,7.989171987917255E-28,0.9992751245991498,1425,2288,"Alice + Olivia","BARRETT PARTY ",495.0,5,"black","Velvet/velour","97% polyester, 3% elastane","94% polyester, 6% elastane","Dry clean only","Standing collar",,"Zip",,,"Plain","Underskirt, border","Extra short","Sleeveless","Sleeveless","34.5 "" (Size 8)","Regular Fit","Regular fit","Our model is 5' 11""  tall and is wearing size 8","12.0 "" (Size 8)","No","No","No","No","No","trendy"
"trendy",7.931688427739558E-13,4.728897695499728E-15,3.3574142602784954E-9,1.9287490201266973E-6,0.11034853024328749,4.239094575617697E-22,0.8896495376494803,1426,2289,"Cinq Ã  Sept","ADIRA DRESS ",350.0,5,"white",,"93% polyester, 7% polyurethane","95% polyester, 5% elastane","Dry clean only",,,"Hook fasteningÂ ",,"Spaghetti straps","Plain","Zip fastening, bust darts, adjustable straps, slip","Calf length","Spaghetti straps","Spaghetti straps","51.5 "" (Size 8)","Slim Fit","Slim fit","Our model is 5' 10""  tall and is wearing size 8",,"No","No","No","No","Yes","girly"
"classic",2.99925799465743E-6,1.656993156595948E-6,0.9999938113651815,4.945469495273669E-7,2.890499470604045E-7,2.5726196808897988E-11,7.487610446220429E-7,1427,2290,"Ralph Lauren","ABEL SHORT SLEEVE DAY DRESS ",174.99,4,"burnt orange","Chiffon","100% cotton","100% polyester","Do not tumble dry, machine wash at 30Â°C",,,"Zip","Wrap dresses","Low v-neck","Plain","Belt included, bust darts, slip","Calf length","Short","Short","45.0 "" (Size 8)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size 8","14.5 "" (Size 8)","No","No","No","No","No","classic"
"classic",0.0010759180762459424,0.2597164351982822,0.6774004749821166,4.56446178841869E-6,0.06157609826493946,5.258202304334834E-10,2.26508490807006E-4,1428,2291,"LASCANA","Day dress",54.99,2,"white",,"100% viscose",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,"Round neckline","Polka dot",,"Calf length","Short","Short","41.0 "" (Size 8)","Loose Fit","Loose fit","Our model is 5' 9""  tall and is wearing size 8","20.5 "" (Size 8)","Yes","No","No","No","No","girly"
"casual chic",0.039817865494866066,0.9333991808174772,1.8063502786235753E-4,0.026102031058064457,4.520887410418983E-4,2.9252540657805495E-8,4.816960814737496E-5,1429,2292,"Vero Moda","VMHUI DRESS ",29.74,1,"brown",,"100% polyester",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,"Square neckline","Prints in general",,"Short","22.5 "" (Size S)","Long","31.5 "" (Size S)","Regular Fit","Regular fit",,,"No","No","No","No","No","casual chic"
"edgy",6.335879045107528E-6,7.908781998761599E-4,0.21618084209563904,0.7736311757037226,0.008312443825704868,8.349750526503323E-11,0.0010783242125145572,1430,2293,"Marella","JERVIS ",199.99,4,"black/green",,"97% cotton, 3% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,"Accentuating the waist","Low v-neck","Polka dot","Belt included","Knee length","3/4 length","Elbow length",,"Regular Fit","Regular fit",,,"No","No","No","No","No","edgy"
"classic",2.643591526903619E-12,1.0567039740500575E-7,0.9812307916115268,0.0016378351068590162,0.004059494161096169,2.5299074048638003E-17,0.013071773447476936,1431,2294,"WEEKEND MaxMara","SCHERMO ",314.99,5,"blue","Satin","100% polyester","100% polyester","Do not tumble dry, Do not wash",,,"Zip",,"Round neckline","Plain","Slip","Knee length","24.0 "" (Size 8)","Long","39.5 "" (Size 8)","Regular Fit","Regular fit",,"15.0 "" (Size 8)","No","No","No","No","No","classic"
"edgy",2.19114068592797E-6,0.0015683224137413572,3.9438952393224295E-4,0.9867696700609909,1.3644139773856763E-6,7.350653779174512E-12,0.011264062439321454,1432,2295,"MUNTHE","NIKOLAJA ",194.99,4,"white",,"97% cotton, 3% elastane",,,,,"Button",,"Round neckline","Animal Prints in general",,"Short","25.5 "" (Size 8)","Long","34.5 "" (Size 8)","Loose Fit","Loose fit","Our model is 5' 10""  tall and is wearing size 8","15.0 "" (Size 8)","Yes","No","No","No","No","edgy"
"sporty",3.612005147755694E-15,6.214162005794264E-18,4.912333622948455E-17,1.184907129469938E-15,6.284914225868488E-20,0.9999999999997282,2.6685494560973723E-13,1433,2296,"Pieces","Day dress",25.99,1,"grey","Sweat","60% cotton, 40% polyester",,"Machine wash at 40Â°C, do not tumble dry","Hood",,,"Hooded dresses",,"Plain",,"Knee length","24.0 "" (Size S)","Long","34.5 "" (Size S)","Regular Fit","Regular fit",,,"No","No","No","No","No","sporty"
"alternative",0.984975495751925,0.012146448505573278,5.6762890464828545E-5,9.930426626469462E-4,3.276405790567883E-6,7.19187876632621E-12,0.0018249737764074847,1434,2297,"Never Fully Dressed","CEDAR WRAP DRESS ",99.99,3,"black multi-coloured",,"100% cotton",,"Machine wash at 30Â°C",,,"Laces","Wrap dresses","Low v-neck","Floral",,"Calf length","25.0 "" (Size 8)","Long","50.0 "" (Size 8)","Regular Fit","Regular fit","Our model is 5' 11""  tall and is wearing size 8","15.5 "" (Size 8)","No","No","No","No","No","alternative"
"classic",5.462267828922097E-4,0.014413663294562007,0.9850217173081265,4.196916792303122E-6,1.7744116283821245E-6,3.1535404723926994E-12,1.2421282845175861E-5,1435,2298,"NAF NAF","LALAO ",79.99,2,"navy","Chiffon","100% polyester","100% viscose","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,"Button",,"Low v-neck","Plain","Slip","Calf length","Short","Short","51.5 "" (Size 8)","Loose Fit","Loose fit",,"17.0 "" (Size 8)","No","No","No","No","No","classic"
"alternative",0.9893203472006299,0.005496945940843992,0.004587109569501764,1.5302043806306114E-4,3.72976739024518E-4,2.0901630665874847E-14,6.96001119159159E-5,1436,2299,"Vero Moda","VMVANESSA SHORT DRESS ",31.49,1,"army green",,"100% polyester","100% polyester","Do not tumble dry, machine wash at 30Â°C",,,"Button",,"Round neckline","Plain","Bust darts, slip","Calf length","Sleeveless","Sleeveless","36.0 "" (Size S)","Slim Fit","Slim fit",,"15.5 "" (Size S)","No","No","No","No","No","alternative"
"classic",1.5891370043526322E-6,3.5236677990311975E-7,0.9529704896032076,1.5132343312971988E-6,1.2340397786977902E-8,6.319349108993422E-14,0.047026043318215735,1437,2300,"Diane von Furstenberg","FIONA DRESS ",345.0,5,"bright multi-coloured",,"100% cotton",,"Dry clean only","Standing collar",,,,"Henley neckline","Animal Prints in general","Inseam pockets","Extra short","Short","Short","34.0 "" (Size S)","Oversized","Loose fit","Our model is 5' 11""  tall and is wearing size S","19.0 "" (Size S)","Yes","yes","No","No","No","alternative"
"trendy",1.3157816370786294E-17,4.191290857281203E-15,3.638387374518316E-4,4.688341821668059E-7,0.015250601612687249,2.403963694247871E-25,0.9843850908156746,1438,2301,"retrofÃªte","ANDREA  ",455.0,5,"gold",,"95% polyester, 5% elastane",,"Hand wash only",,"Asymmetrical","Zip","Accentuating the waist","Strapless","Plain","Belt included","Maxi/long","One shoulder","One shoulder","55.0 "" (Size S)","Regular Fit","Regular fit","Our model is 5' 11""  tall and is wearing size S",,"No","No","No","No","No","girly"
"classic",4.216400881018382E-6,0.0011784143728888175,0.8945888162675878,0.016103550827474788,0.08811855498924334,5.58482188779404E-14,6.447141868205128E-6,1439,2302,"Derhy","AJANIA ROBE ",124.99,4,"white multi-coloured",,"100% viscose",,"Do not tumble dry, Hand wash only","Turn-down collar",,"Button","Button down dresses",,"Floral","Belt included","Thigh length","19.5 "" (Size S)","Long","44.0 "" (Size S)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size S",,"No","No","No","No","No","girly"
"sporty",5.168103347986476E-8,5.870924515014721E-6,5.895949890039889E-8,1.1601251001868845E-7,5.981310469601161E-14,0.9999935858361442,3.1658623852115435E-7,1440,2303,"mbyM","HEENA ",69.99,2,"grey","Sweat","100% cotton",,"Do not tumble dry, machine wash at 30Â°C",,,,,"Round neckline","Plain",,"Thigh length","26.5 "" (Size S)","Long","35.5 "" (Size S)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size S",,"No","No","No","No","No","sporty"
"trendy",4.339916340427191E-7,6.882000316390809E-7,0.2635682713297573,0.008159714622178427,0.008074638381990113,1.4272091946028298E-17,0.7201962534744085,1441,2304,"Pinko","ANACAPRI DRESS ",299.99,5,"white",,"100% cotton","55% cotton, 45% viscose","Dry clean only","Turn-down collar",,"Button","Button down dresses",,"Plain","Bust darts, adjustable straps, slip","Short","27.0 "" (Size 8)","Long","35.0 "" (Size 8)","Regular Fit","Regular fit","Our model is 5' 9""  tall and is wearing size 8","14.5 "" (Size 8)","Yes","No","No","No","No","trendy"
"casual chic",9.643895915686901E-6,0.6256762924428063,0.24977556005781146,0.11274657526294857,0.010076192314249912,1.3477611120726293E-9,0.0017157346785070316,1442,2305,"Soaked in Luxury","LETTICE DRESS SS ",89.99,3,"black","Tulle","95% polyester, 5% elastane","95% polyester, 5% elastane","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,"Wrap dresses","Low v-neck","Floral","Elasticated waist, slip","Knee length","Short","Short","42.0 "" (Size S)","Regular Fit","Regular fit",,,"No","No","No","No","No","edgy"
"sporty",1.025278931819449E-14,4.2832649138144706E-17,2.229916057559453E-16,1.389891711482865E-13,2.3596501033834972E-18,0.9999999999998475,3.1013387621519954E-15,1443,2306,"Vero Moda","VMOCTAVIALS HOODIE DRESS ",23.99,1,"black","Sweat","60% cotton, 40% polyester",,"Machine wash at 40Â°C","Hood",,,"Hooded dresses",,"Plain",,"Short","23.0 "" (Size S)","Long","34.5 "" (Size S)","Regular Fit","Regular fit","Our model is 5' 9""  tall and is wearing size S",,"No","No","No","No","No","sporty"
"alternative",0.9044150586895083,0.05712982231872215,0.009570373268764459,0.01628212122117624,0.0010298639895194393,4.1234088701714255E-12,0.011572760508185799,1444,2307,"Vila","VIFALIA WRAP DRESS ",39.99,1,"black/brown","Chiffon","100% polyester","100% polyester","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,"Wrap dresses","Low v-neck","Prints in general","Elasticated waist, slip","Calf length","26.5 "" (Size 8)","Long","50.0 "" (Size 8)","Regular Fit","Regular fit","Our model is 5' 9""  tall and is wearing size 8","19.0 "" (Size 8)","No","No","No","No","No","alternative"
"classic",0.003171696497164883,0.3196764730772493,0.6756702813645812,0.00126696214413376,2.2907296201946376E-5,1.9425843032016612E-8,1.9166019482595568E-4,1445,2309,"GANT","Day dress",127.49,4,"navy",,"100% viscose",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle","Standing collar",,"Laces",,"Low v-neck","Prints in general",,"Short","19.0 "" (Size 8)","Elbow length","35.5 "" (Size 8)",,,,"14.0 "" (Size 8)","Yes","No","No","No","No","casual chic"
"edgy",8.197133782329307E-7,0.09116919508358017,4.912610065043018E-4,0.8639069608737238,1.5752401983001188E-5,3.615288545549342E-7,0.04441564939197592,1446,2310,"Nly by Nelly","GORGEOUS KEYHOLE DRESS ",34.99,1,"black",,"97% polyester, 3% elastane",,"Machine wash at 30Â°C",,,,"Bodycon dresses","Low v-neck","Plain",,"Knee length","26.0 "" (Size S)","Long","41.5 "" (Size S)","Bodycon","Slim fit","Our model is 5' 9""  tall and is wearing size S","16.0 "" (Size S)","No","No","No","No","No","edgy"
"trendy",9.63924853021916E-4,1.5303980799961477E-6,0.016256674627819944,4.4137197612080205E-4,0.0035422476360083967,3.519890467097404E-12,0.9787942505054291,1447,2311,"STAUD","WELLS DRESS ",249.99,5,"burnt orange",,"98% cotton, 2% elastane","100% cotton","Machine wash at 30Â°C, Machine wash on gentle cycle",,,"Zip",,"Square neckline","Plain","Slip","Calf length","Sleeveless","Sleeveless","49.0 "" (Size 10)","Regular Fit","Regular fit","Our model is 5' 11""  tall and is wearing size 10","16.0 "" (Size 10)","No","No","No","No","No","girly"
"casual chic",2.127834665486048E-7,0.6319269556022221,0.004272439369332208,0.3601787166008698,9.089474756319912E-5,1.75339218380815E-12,0.0035307808947927684,1448,2312,"MICHAEL Michael Kors","CHEETAH WRAP  ",234.99,5,"black",,"100% polyester","100% polyester","Machine wash at 30Â°C",,,"Laces","Wrap dresses","Low v-neck","Animal Prints in general",,"Calf length","25.0 "" (Size S)","Long","48.0 "" (Size S)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size S","15.0 "" (Size S)","No","No","No","No","No","casual chic"
"trendy",0.015404716143223548,8.326943932797245E-4,9.138409611302653E-4,1.0035990556491088E-5,0.003853605091107142,1.1358182407687223E-8,0.9789850960625204,1449,2313,"Mango","ALMOND ",49.99,2,"orange",,"100% polyester","100% polyester","Do not tumble dry, Hand wash only, Dry cleanable",,,"Zip",,"V-neck","Plain",,"Short","Long","Long",,"Regular Fit","Regular fit",,,"No","No","No","No","No","unknown"
"classic",1.3864258941798612E-4,8.991247603344805E-5,0.9955370873331381,1.7643817479251814E-4,6.668794855937692E-8,0.003987809450584744,7.004328808457842E-5,1450,2314,"Selected Femme","SLFCARO TUNNI 3/4 SHORT DRESS B NOOS ",54.99,2,"black","Jersey","68% viscose, 27% nylon, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,"Low v-neck","Plain","Inseam pockets","Knee length","Elbow length","Elbow length","37.0 "" (Size 10)","Loose Fit","Loose fit","Our model is 5' 10""  tall and is wearing size 10",,"No","yes","No","No","No","classic"
"trendy",9.335627147643799E-9,3.428981005898802E-5,1.0096761487972775E-6,0.3913166862123195,1.1622307600362068E-4,3.0610312048122423E-14,0.6085317818898113,1451,2315,"Glamorous","CAMI DRESS WITH RUCHING ROULEAU STRAPS AND TIES TO GATHER ",34.99,1,"burgundy","Satin","100% polyester",,,,,,"Bodycon dresses","Spaghetti straps","Plain","Bust darts, bow","Short","Spaghetti straps","Spaghetti straps","37.5 "" (Size 8)","Bodycon","Slim fit","Our model is 5' 5""  tall and is wearing size 8",,"No","No","No","No","No","unknown"
"classic",0.017856485451071123,0.0021183122113453555,0.819025476644055,7.882253448547735E-4,0.011205380424263408,0.01646432623021457,0.13254179369419578,1452,2316,"Neon & Nylon","NEOLOVE DRESS ",24.64,1,"pink",,"92% polyester, 8% elastane","100% polyester","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle","Turn-down collar",,,"Button down dresses","Low v-neck","Prints in general","Slip","Short","23.0 "" (Size S)","Long","32.5 "" (Size S)","Slim Fit","Slim fit","Our model is 5' 10""  tall and is wearing size S",,"No","No","No","No","No","trendy"
"classic",3.357287215717253E-7,2.7028950477119342E-5,0.9709860609902607,5.577973393069966E-4,1.269873869391716E-4,6.786214615037143E-9,0.028301782818079792,1453,2317,"Ralph Lauren","BELTING PRINT SHIRTDRESS ",199.99,4,"brown","Chiffon","94% polyester, 6% elastane","100% polyester","Machine wash at 30Â°C, Machine wash on gentle cycle","Turn-down collar",,"Zip","Wrap dresses","Low v-neck","Prints in general","Belt included, slip","Maxi/long","24.5 "" (Size 10)","Long","54.0 "" (Size 10)","Regular Fit","Regular fit","Our model is 5' 9""  tall and is wearing size 10","12.5 "" (Size 10)","No","No","No","No","No","trendy"
"trendy",3.757835319698151E-17,3.2628089703893767E-17,3.000321801396698E-12,2.5904408354939822E-8,1.6684866261336627E-8,1.899981478270255E-27,0.999999957407725,1454,2318,"Alice + Olivia","JULIETTA SLIT SLIP DRESS ",400.0,5,"black","Satin","80% triacetate, 20% polyester","94% polyester, 6% elastane","Dry clean only",,,"Zip",,"Spaghetti straps","Plain","Slip","Calf length","Spaghetti straps","Spaghetti straps","51.5 "" (Size 8)","Slim Fit","Slim fit",,,"No","No","No","No","Yes","trendy"
"trendy",7.830180455812098E-7,1.3354827625974113E-5,0.03083831073516635,5.231099082023972E-4,3.408751493800509E-8,4.2950970159758087E-10,0.968624406993935,1455,2319,"Marlene Birger","BALTARA ",199.99,4,"black",,"100% cotton",,"Machine wash at 30Â°C","Standing collar",,,,"Low v-neck","Plain","Inseam pockets, bow","Knee length","26.0 "" (Size 8)","Long","38.0 "" (Size 8)","Loose Fit","Loose fit","Our model is 5' 9""  tall and is wearing size 8","12.5 "" (Size 8)","No","yes","No","No","No","edgy"
"girly",0.17867429090123002,3.853123426773186E-6,5.699121918872773E-9,7.148143201725642E-7,0.8202611500180248,1.2143847612447305E-10,0.0010599853224378438,1456,2320,"Superdry","GIA CAMI DRESS ",38.49,1,"white",,"100% viscose","100% cotton","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,"Laces",,"Spaghetti straps","Plain","Slip","Knee length","Spaghetti straps","Spaghetti straps","38.0 "" (Size S)","Loose Fit","Loose fit","Our model is 5' 10""  tall and is wearing size S",,"No","No","No","No","Yes","girly"
"trendy",0.006356884302110314,2.3044669774786468E-4,3.6211694691080855E-4,0.1803388828441131,0.0014794497465298675,5.353064619579365E-12,0.811232219457235,1457,2321,"STAUD","MILLA MINI  ",234.99,5,"multi-coloured","Chiffon","100% polyester","100% polyester","Do not tumble dry, Machine wash on gentle cycle",,,"Zip",,"Low v-neck","Paisley","Slip","Short","Short","Short","33.5 "" (Size 10)","Regular Fit","Regular fit","Our model is 5' 11""  tall and is wearing size 10",,"No","No","No","No","No","edgy"
"alternative",0.9859196277344592,0.014045319741901038,1.2808177289419995E-5,1.961139084067887E-5,2.6089081026962506E-6,8.885445813925839E-14,2.4047318201237206E-8,1458,2322,"Only","ONL DAISYPUFF BELT DRESS ",34.99,1,"denim","Denim","69% cotton, 27% polyester, 2% elastane, 2% viscose",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,"Button","Accentuating the waist","Low v-neck",,"Belt included, bust darts","Short","Elbow length","Elbow length","34.5 "" (Size S)","Regular Fit","Regular fit","Our model is 5' 11""  tall and is wearing size S","14.0 "" (Size S)","No","No","No","No","No","alternative"
"trendy",2.138013387902174E-10,2.8351973470124593E-8,5.803195264878886E-6,3.975138949630359E-6,0.17976226461350317,7.957518583215576E-17,0.8202279284865074,1459,2323,"Ralph Lauren","CAYDEN SLEEVELESS GOWN ",244.99,5,"navy",,"100% polyester","100% polyester","Hand wash only, Dry cleanable",,,"Zip",,"Spaghetti straps","Plain","Slip, rhinestones","Maxi/long","Spaghetti straps","Spaghetti straps","57.0 "" (Size 8)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size 8",,"No","No","yes","No","Yes","unknown"
"alternative",0.5278249887211578,0.37062551317231973,3.348005841821538E-5,0.10090369218000186,4.979314383322782E-4,8.937634725041374E-7,1.1350066629759432E-4,1460,2324,"Superdry","NIKKI  ",48.99,2,"red",,"100% viscose",,,,,,,"V-neck",,,,"Long","Long",,,,,,"No","No","No","No","No","edgy"
