cv_predicted,IndexID,Style,Link,Brand,"Dress name ",Price,Price Category,Color,Fabric,Outer fabric material,Lining,Care instructions,Collar,Cut,Fastening,Type of dress,Neckline,Consolidated Prints,Details,Dress length,Sleeve length,Consolidated sleeve length,Total length,Fit,Consolidated fit,Our model's height,Back width,Sheer?,Pockets?,Rhinestones?,Shoulderpads?,Backless?
casual chic,396,casual chic,https://www.zalando.co.uk/lauren-ralph-lauren-floral-crinkled-georgette-dress-day-dress-orangecreamtan-l4221c1eb-h11.html,Ralph Lauren,"FLORAL CRINKLED GEORGETTE DRESS ",174.99,4,red,Chiffon,100% polyester,100% polyester,"Machine wash at 30Â°C, Machine wash on gentle cycle",,,Zip,Wrap dresses,Low v-neck,Floral,"Bust darts, slip",Calf length,Short,Short,"45.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 11""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
classic,397,classic,https://www.zalando.co.uk/massimo-dutti-day-dress-dark-green-m3i21c0j2-m11.html,Massimo Dutti,"MIT GERAFFTER TAILLE ",169.0,4,dark green,,"79% acetate, 21% viscose","79% acetate, 21% viscose",,,,Zip,,Round neckline,Plain,Slip,Calf length,Long,Long,"43.5 "" (Size 10)",Regular Fit,Regular fit,,,No,No,No,No,No
trendy,398,trendy,https://www.zalando.co.uk/glamorous-petite-fixed-wrap-front-smock-dress-day-dress-sandstone-glb21c074-b11.html,Glamorous,"FIXED WRAP FRONT SMOCK DRESS ",40.99,2,sand,,"55% cotton, 45% polyester",100% cotton,"Do not tumble dry, machine wash at 30Â°C",,,,Wrap dresses,Low v-neck,Plain,Slip,Extra short,"20.0 "" (Size 8)",Long,"31.5 "" (Size 8)",Loose Fit,Loose fit,,"17.5 "" (Size 8)",No,No,No,No,No
trendy,399,trendy,https://www.zalando.co.uk/mango-day-dress-lila-m9121c5j5-i11.html,Mango,Day dress,69.99,2,bright multi-coloured,,100% viscose,,,,,Zip,,Low v-neck,Floral,"Shoulder pads, slip",Calf length,Long,Long,,Regular Fit,Regular fit,,,No,No,No,yes,No
girly,400,girly,https://www.zalando.co.uk/vero-moda-petite-vmnora-new-singlet-calf-dress-day-dress-granada-skysnow-white-vm021c0a7-k11.html,Vero Moda,"VMNORA NEW SINGLET CALF DRESS ",34.99,1,pastel blue,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C",,,Laces,,Spaghetti straps,Polka dot,Adjustable straps,Calf length,Spaghetti straps,Spaghetti straps,"39.5 "" (Size S)",Regular Fit,Regular fit,,,No,No,No,No,Yes
trendy,401,trendy,https://www.zalando.co.uk/forever-new-opal-bias-cowl-midi-dress-cocktail-dress-party-dress-sage-fod21c0ft-m11.html,Forever New,"OPAL BIAS COWL MIDI DRESS ",109.99,3,pastel green,Satin,"97% polyester, 3% elastane",100% polyester,Hand wash only,,,Zip,,Spaghetti straps,Plain,"Adjustable straps, slip",Calf length,Spaghetti straps,Spaghetti straps,,Regular Fit,Regular fit,,,No,No,No,No,Yes
trendy,402,trendy,https://www.zalando.co.uk/closet-closet-london-frill-dress-cocktail-dress-party-dress-peach-cl921c0tr-h11.html,Closet,"CLOSET LONDON FRILL DRESS ",84.99,3,orange,,100% polyester,,"Do not tumble dry, machine wash at 30Â°C",,,Zip,Wrap dresses,Low v-neck,Plain,,Short,Short,Short,"34.0 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 10","15.0 "" (Size 10)",No,No,No,No,No
alternative,403,casual chic,https://www.zalando.co.uk/only-onlolivia-wrap-dress-day-dress-blackred-on321c1rr-q11.html,Only,"ONLOLIVIA DRESS ",25.99,1,black/red,,100% polyester,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Laces,Wrap dresses,Low v-neck,Floral,Bust darts,Knee length,Short,Short,"38.0 "" (Size 8)",Regular Fit,Regular fit,,"15.5 "" (Size 8)",No,No,No,No,No
edgy,404,edgy,https://www.zalando.co.uk/love-copenhagen-sava-dress-day-dress-pitch-black-l1g21c058-q11.html,Love Copenhagen,"SAVA DRESS ",109.99,3,black,,100% polyester,,,Standing collar,,Button,Accentuating the waist,V-neck,Checked,Belt included,Knee length,"23.0 "" (Size 8)",Long,"38.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.5 "" (Size 8)",No,No,No,No,No
classic,405,classic,https://www.zalando.co.uk/moss-copenhagen-fraya-dress-cocktail-dress-party-dress-midnight-navy-m0y21c089-k11.html,Moss Copenhagen,"FRAYA DRESS ",76.49,2,navy,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C",Standing collar,,Button,,,,Slip,Knee length,"25.0 "" (Size S)",Long,"47.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)",No,No,No,No,No
edgy,406,edgy,https://www.zalando.co.uk/mamalicious-mlessey-dress-day-dress-black-m6429f0us-q11.html,MAMALICIOUS,"MLESSEY DRESS ",43.99,2,black,,100% viscose,,"Machine wash at 30Â°C, A shrinkage of up to 5% may occur",,,Button,Accentuating the waist,Round neckline,Polka dot,"Belt included, bust darts",Knee length,"24.5 "" (Size 8)",Long,"41.0 "" (Size 8)",Regular Fit,Regular fit,,"16.5 "" (Size 8)",No,No,No,No,No
alternative,407,trendy,https://www.zalando.co.uk/massimo-dutti-mit-ueberkreuztem-rueckenteil-day-dress-orange-m3i21c0k5-h11.html,Massimo Dutti,"MIT ÃœBERKREUZTEM RÃœCKENTEIL ",119.0,3,orange,,"61% viscose, 39% linen",100% cotton,,,,,,Square neckline,Plain,,Maxi/long,Sleeveless,Sleeveless,,Regular Fit,Regular fit,,,No,Yes,No,No,Yes
edgy,408,edgy,https://www.zalando.co.uk/mango-cristal-a-day-dress-olivengruen-m9121c5l9-n11.html,Mango,"CRISTAL A ",49.99,2,army green,Satin,100% polyester,,,,,,,Low v-neck,Plain,Inseam pockets,Calf length,Short,Short,,Loose Fit,Loose fit,,,No,yes,No,No,No
classic,409,classic,https://www.zalando.co.uk/seraphine-jersey-dress-black-s1s29f04y-q11.html,Seraphine,"JAELYN BIAS DRESS ",74.99,2,black,,100% polyester,100% polyester,Dry clean only,,,Zip,,Round neckline,Plain,"Bust darts, slip, fringing, decorative buttons",Short,Short,Short,,Slim Fit,Slim fit,,,No,No,No,No,No
trendy,410,trendy,https://www.zalando.co.uk/elisabetta-franchi-womens-dress-cocktail-dress-party-dress-burro-ef121c0as-b11.html,Elisabetta Franchi,"WOMEN'S DRESS ",394.99,5,off-white,,"96% polyester, 4% elastane","97% polyester, 3% elastane","Do not tumble dry, machine wash at 30Â°C",,,Zip,,Round neckline,Plain,"Zip fastening, slip",Extra short,Extra short,Short,"32.5 "" (Size 10)",Slim Fit,Slim fit,"Our model is 5' 10""  tall and is wearing size 10","14.0 "" (Size 10)",No,No,No,No,No
sporty,411,sporty,https://www.zalando.co.uk/noisy-may-nmhelene-dress-day-dress-slate-grey-nm321c0hx-c12.html,Noisy May,"NMHELENE DRESS ",30.99,1,pastel green,Sweat,"65% polyester, 35% cotton",,"Do not tumble dry, Machine wash on gentle cycle, Do not bleach",Hood,,,Hooded dresses,,Plain,Zip fastening,Calf length,Long,Long,,Regular Fit,Regular fit,,,No,No,No,No,No
classic,412,classic,https://www.zalando.co.uk/tommy-hilfiger-breton-regular-midi-dress-day-dress-blackwhite-to121c0g2-q11.html,Tommy Hilfiger,"BRETON REGULAR MIDI DRESS ",109.99,3,black/white,PiquÃ©,"97% cotton, 3% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Polo shirt,,,Polo dresses,,Striped,Belt included,Calf length,Short,Short,,Slim Fit,Slim fit,,,No,No,No,No,No
classic,413,classic,https://www.zalando.co.uk/diane-von-furstenberg-tilly-dress-cocktail-dress-party-dress-blue-df221c0be-k11.html,Diane von Furstenberg,"TILLY DRESS ",510.0,5,blue,Satin,100% silk,,Dry clean only,,,Belt,Wrap dresses,Low v-neck,Floral,,Calf length,"28.0 "" (Size 10)",Long,"49.0 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 10","15.5 "" (Size 10)",No,No,No,No,No
classic,414,casual chic,https://www.zalando.co.uk/jdy-jdysoro-dress-day-dress-blackmulti-flower-jy121c0l3-t11.html,JDY,"JDYSORO DRESS ",22.09,1,black multi-coloured,,100% polyester,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,Wrap dresses,Low v-neck,Floral,Belt included,Short,"27.5 "" (Size 8)",Long,"34.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)",No,No,No,No,No
girly,415,girly,https://www.zalando.co.uk/bruuns-bazaar-checka-jany-dress-day-dress-snow-whitepeach-br321c08z-j11.html,Bruuns Bazaar,"CHECKA JANY DRESS ",119.99,3,pastel pink,,"97% polyester, 3% elastane",,"Machine wash at 40Â°C, do not tumble dry, Machine wash on gentle cycle",,,,,Square neckline,Checked,,Calf length,"15.5 "" (Size 8)",Elbow length,"38.5 "" (Size 8)",Regular Fit,Regular fit,,,No,No,No,No,No
classic,416,casual chic,https://www.zalando.co.uk/only-onlmette-day-dress-black-on321c2ns-q11.html,Only,"ONLMETTE  ",29.74,1,black,,100% polyester,,"Machine wash at 40Â°C, do not tumble dry, Machine wash on gentle cycle",,,,,Low v-neck,Plain,"Elasticated waist, button row",Calf length,"24.5 "" (Size S)",Long,"41.5 "" (Size S)",Regular Fit,Regular fit,,"14.0 "" (Size S)",No,No,No,No,No
sporty,417,sporty,https://www.zalando.co.uk/gant-lock-up-hoodie-dress-day-dress-eggshell-ga321c03z-a11.html,GANT,"LOCK UP HOODIE DRESS ",69.99,2,white,Sweat,"87% cotton, 13% polyester",,Machine wash at 40Â°C,Hood,,,Hooded dresses,,Plain,Embroidery,Short,"25.5 "" (Size S)",Long,"37.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S",,No,Yes,No,No,No
alternative,418,alternative,https://www.zalando.co.uk/yas-tall-yassanna-shirt-dress-day-dress-dull-gold-ya021c06q-f11.html,Yas,"YASSANNA SHIRT DRESS ",69.99,2,gold,,100% cotton,100% cotton,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Standing collar,,Button,,Low v-neck,Plain,"Bust darts, slip, embroidery",Knee length,"26.5 "" (Size 10)",Long,"38.5 "" (Size 10)",Loose Fit,Loose fit,,"14.0 "" (Size 10)",No,No,No,No,No
casual chic,419,casual chic,https://www.zalando.co.uk/anna-field-day-dress-dark-bluepink-an621c1l8-k11.html,Anna Field,Day dress,30.99,1,navy,Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,V-neck,Floral,Slip,Short,Long,Long,,Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 8",,No,No,No,No,No
casual chic,420,edgy,https://www.zalando.co.uk/marc-opolo-dress-feminine-shape-day-dress-multidark-night-ma321c0jd-k11.html,Marc'o polo,"DRESS FEMININE SHAPE    ",174.99,4,black multi-coloured,,100% viscose,100% viscose,"Do not tumble dry, machine wash at 30Â°C",Mandarin collar,,Zip,,Round neckline,Floral,Bow,Knee length,Long,Long,,Regular Fit,Regular fit,,,No,No,No,No,No
edgy,421,edgy,https://www.zalando.co.uk/maxandco-condor-day-dress-midnight-blue-mq921c0b3-q11.html,MAX&Co.,"CONDOR ",269.99,5,navy,Leather,100% polyester,,Hand wash only,,,Laces,Wrap dresses,Low v-neck,Plain,Inseam pockets,Knee length,"23.5 "" (Size S)",Long,"44.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 11""  tall and is wearing size S","15.0 "" (Size S)",No,yes,No,No,No
trendy,422,trendy,https://www.zalando.co.uk/inwear-idalia-short-dress-day-dress-blue-leaves-in-the-sky-in321c0dn-k11.html,InWear,"IDALIA SHORT DRESS ",109.99,3,blue,,100% polyester,100% viscose,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,,Button,,,Floral,"Inseam pockets, slip",Knee length,"23.5 "" (Size 8)",Long,"38.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 8","16.5 "" (Size 8)",No,yes,No,No,No
casual chic,423,casual chic,https://www.zalando.co.uk/modstroem-oline-day-dress-freesia-green-mo421c08p-m11.html,ModstrÃ¶m,"OLINE ",104.99,3,green,,100% viscose,,,,,Laces,Wrap dresses,Low v-neck,Floral,,Calf length,"26.5 "" (Size S)",Long,"52.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S","15.0 "" (Size S)",No,No,No,No,No
girly,424,girly,https://www.zalando.co.uk/abercrombie-and-fitch-corset-seamed-day-dress-rose-a0f21c09h-j11.html,Abercrombie & Fitch,"CORSET SEAMED ",59.99,2,pink,,100% polyester,100% polyester,Machine wash at 30Â°C,,,Zip,,Square neckline,Plain,Slip,Short,"22.5 "" (Size S)",Long,"30.5 "" (Size S)",Slim Fit,Slim fit,,,No,No,No,No,Yes
edgy,425,edgy,https://www.zalando.co.uk/missguided-velvet-long-sleeve-midaxi-dress-cocktail-dress-party-dress-burgundy-m0q21c240-g11.html,Missguided,"VELVET LONG SLEEVE MIDAXI DRESS ",33.99,1,burgundy,Rib,"95% polyester, 5% elastane",,"Machine wash at 30Â°C, Machine wash on gentle cycle",,,,,Round neckline,Plain,,Calf length,"23.5 "" (Size 8)",Long,"46.5 "" (Size 8)",Slim Fit,Slim fit,"Our model is 5' 9""  tall and is wearing size 8",,No,No,No,No,Yes
classic,426,classic,https://www.zalando.co.uk/mbym-akoto-day-dress-dusty-cedar-mb121c0ep-g11.html,mbyM,"AKOTO ",89.99,3,dusty pink,,"66% viscose, 34% lyocell",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Turn-down collar,,Button,Button down dresses,,Plain,Bust darts,Calf length,Elbow length,Elbow length,"46.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size S","13.5 "" (Size S)",No,No,No,No,No
edgy,427,edgy,https://www.zalando.co.uk/missguided-puff-ruffle-hem-tea-dress-leopard-day-dress-black-m0q21c1x5-q11.html,Missguided,"PUFF RUFFLE HEM TEA DRESS LEOPARD ",23.99,1,black/green,Satin,100% polyester,,Machine wash at 30Â°C,,,,Wrap dresses,Low v-neck,Animal Prints in general,"Belt included, bust darts",Extra short,"27.0 "" (Size 8)",Long,"33.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","13.0 "" (Size 8)",No,No,No,No,No
classic,428,classic,https://www.zalando.co.uk/polo-ralph-lauren-long-sleeve-day-dress-day-dress-army green -olive-po221c09i-n11.html,Polo Ralph Lauren,HYBRID SWEATER,349.99,5,army green,Knit,"70% cotton, 20% silk, 10% cashmere",,Hand wash only,,,,Pleated dresses,Henley neckline,Plain,,Calf length,"27.5 "" (Size S)",Long,"53.0 "" (Size S)",Slim Fit,Slim fit,,,No,No,No,No,No
sporty,429,sporty,https://www.zalando.co.uk/superdry-day-dress-dark-grey-su221c0oo-c11.html,Superdry,Day dress,54.99,2,grey,Sweat,"55% cotton, 45% polyester",,"Do not bleach, do not tumble dry",Hood,,,Hooded dresses,,Plain,,Thigh length,Long,Long,,Regular Fit,Regular fit,,,No,Yes,No,No,No
girly,430,girly,https://www.zalando.co.uk/selected-femme-slfsvala-short-dress-cocktail-dress-party-dress-bright-white-se521c14a-a11.html,Selected Femme,"SLFSVALA SHORT DRESS  ",124.99,4,white,Tulle,100% polyester,100% viscose,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,Low v-neck,Floral,"Slip, flower applique",Knee length,Elbow length,Elbow length,"34.5 "" (Size 8)",Regular Fit,Regular fit,,,No,No,No,No,No
girly,431,edgy,https://www.zalando.co.uk/missguided-petite-tie-back-mini-dress-day-dress-black-m0v21c0o7-q11.html,Missguided,"TIE BACK MINI DRESS ",28.99,1,black,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C",,,Zip,,Square neckline,Floral,"Slip, bow",Short,"21.5 "" (Size 8)",Long,"32.5 "" (Size 8)",Regular Fit,Regular fit,,,No,No,No,No,Yes
classic,432,classic,https://www.zalando.co.uk/lacoste-day-dress-nidus-la221c05v-g11.html,Lacoste,Day dress,89.24,3,pastel pink,PiquÃ©,"94% cotton, 6% elastane",,"Do not tumble dry, machine wash at 30Â°C",Polo shirt,,,Polo dresses,,Plain,Belt included,Calf length,Sleeveless,Sleeveless,"50.5 "" (Size 8)",Slim Fit,Slim fit,"Our model is 5' 9""  tall and is wearing size 8",,No,No,No,No,No
girly,433,girly,https://www.zalando.co.uk/roxy-sun-may-shine-day-dress-sahara-sun-ro521c04a-e11.html,Roxy,"SUN MAY SHINE ",59.99,2,pastel yellow,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,Asymmetrical,Button,Wrap dresses,Low v-neck,Plain,"Button row, bust darts, adjustable straps",Short,Spaghetti straps,Spaghetti straps,"38.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S","14.5 "" (Size S)",No,No,No,No,No
alternative,434,alternative,https://www.zalando.co.uk/vila-petite-vimargo-ophelie-mid-calf-dress-day-dress-medium-blue-denim-vip21c03p-k11.html,Vila,"VIMARGO OPHELIE MID CALF DRESS ",54.99,2,denim,Denim,"99% cotton, 1% elastane",,"Machine wash at 30Â°C, Machine wash on gentle cycle",,,Button,,Low v-neck,,"Inseam pockets, adjustable straps",Calf length,Sleeveless,Sleeveless,"42.0 "" (Size 8)",Regular Fit,Regular fit,,,No,yes,No,No,Yes
sporty,435,sporty,https://www.zalando.co.uk/tommy-hilfiger-regular-hilfiger-hoodie-day-dress-black-to121c0fz-q11.html,Tommy Hilfiger,"REGULAR HILFIGER HOODIE DRESS ",84.49,3,black,Sweat,"64% cotton, 36% polyester",,"Machine wash at 30Â°C, Machine wash on gentle cycle",Hood,,,Hooded dresses,,Plain,Embroidery,Knee length,"22.5 "" (Size S)",Long,"36.0 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size S",,No,Yes,No,No,No
casual chic,436,casual chic,https://www.zalando.co.uk/vila-petite-vimesa-short-dress-day-dress-snow-white-vip21c025-a11.html,Vila,"VIMESA SHORT DRESS ",30.99,1,white multi-coloured,,100% viscose,100% viscose,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,Wrap dresses,Low v-neck,Floral,Adjustable straps,Short,Spaghetti straps,Spaghetti straps,"35.0 "" (Size 8)",Regular Fit,Regular fit,,,Yes,No,No,No,No
sporty,437,sporty,https://www.zalando.co.uk/the-north-face-hooded-dress-zumu-day-dress-black-th321c007-q11.html,The North Face,"HOODED DRESS ZUMU ",79.99,2,black,Sweat,100% cotton,,"Machine wash at 40Â°C, do not tumble dry, Machine wash on gentle cycle",Hood,,,Hooded dresses,,Prints in general,"Inseam pockets, elasticated waist",Short,"22.5 "" (Size S)",Long,"33.5 "" (Size S)",Regular Fit,Regular fit,,,No,yes,No,No,No
trendy,438,trendy,https://www.zalando.co.uk/glamorous-plisse-mide-dress-with-tie-belt-side-split-day-dress-dark-red-gl921c0q6-g11.html,Glamorous,"PLISSE MIDE DRESS WITH TIE BELT SIDE SPLIT ",35.99,1,red,,"95% polyester, 5% elastane",,"Do not tumble dry, Hand wash only",,,,Accentuating the waist,Round neckline,Checked,Belt included,Calf length,Long,Long,"47.0 "" (Size 10)",Regular Fit,Regular fit,,"14.0 "" (Size 10)",No,No,No,No,No
trendy,439,trendy,https://www.zalando.co.uk/the-ragged-priest-mini-dress-split-front-cocktail-dress-party-dress-purple-thj21c03t-i11.html,The Ragged Priest,"MINI DRESS SPLIT FRONT ",64.99,2,pink,Rib,100% cotton,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,Low v-neck,Plain,,Short,Sleeveless,Sleeveless,"35.5 "" (Size 8)",Slim Fit,Slim fit,"Our model is 5' 9""  tall and is wearing size 8",,No,No,No,No,Yes
classic,440,classic,https://www.zalando.co.uk/Hugo Boss-c_detelizza-day-dress-white-bb121c0cl-a11.html,Hugo Boss,"C_DETELIZZA ",159.99,4,white,,"96% cotton, 4% elastane",,"Do not tumble dry, machine wash at 30Â°C",Turn-down collar,,,Button down dresses,Low v-neck,Plain,"Belt included, inseam pockets",Knee length,"19.5 "" (Size 8)",Long,"40.0 "" (Size 8)",Loose Fit,Loose fit,,"17.5 "" (Size 8)",Yes,yes,No,No,No
alternative,441,alternative,https://www.zalando.co.uk/patrizia-pepe-abito-dress-day-dress-eban-brown-p1421c0j5-o11.html,Patrizia Pepe,"ABITO DRESS ",329.99,5,brown,,100% viscose,,Hand wash only,,,,Accentuating the waist,Spaghetti straps,Plain,"Belt included, adjustable straps",Extra short,Spaghetti straps,Spaghetti straps,"34.5 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 11""  tall and is wearing size 10",,No,No,No,No,Yes
trendy,442,trendy,https://www.zalando.co.uk/vila-curve-vifalia-v-neck-short-dress-day-dress-magenta-haze-v0h21c00u-g11.html,Vila,"VIFALIA V NECK  SHORT DRESS ",29.74,1,bright multi-coloured,Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,Accentuating the waist,V-neck,Prints in general,"Belt included, slip",Short,"25.5 "" (Size 18)",Long,"38.5 "" (Size 18)",Regular Fit,Regular fit,"Our model is 5' 11""  tall and is wearing size 18","17.0 "" (Size 18)",No,No,No,No,No
casual chic,443,casual chic,https://www.zalando.co.uk/byoung-josa-tunic-dress-day-dress-frosty-green-mix-by221c0f7-m11.html,b.young,"BYJOSA TUNIC DRESS ",39.99,1,green,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,Henley neckline,Prints in general,,Short,"26.0 "" (Size 8)",Long,"37.0 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 8","17.0 "" (Size 8)",No,No,No,No,No
classic,444,classic,https://www.zalando.co.uk/31-phillip-lim-waisted-tie-dress-day-dress-lavender-31021c00x-i11.html,3.1 Phillip Lim,"WAISTED TIE DRESS ",485.0,5,pastel purple,,"55% cotton, 45% polyester",,"Hand wash only, Dry cleanable",,,,,Low v-neck,Plain,"Inseam pockets, bow",Calf length,Elbow length,Elbow length,"52.0 "" (Size 10)",Loose Fit,Loose fit,,"16.5 "" (Size 10)",No,yes,No,No,No
edgy,445,edgy,https://www.zalando.co.uk/missguided-petite-vneck-smock-dress-day-dress-multi-m0v21c0nz-q11.html,Missguided,"VNECK SMOCK DRESS ",28.99,1,black/red,,100% polyester,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Zip,,Low v-neck,Floral,,Extra short,"22.5 "" (Size 8)",Long,"31.5 "" (Size 8)",Regular Fit,Regular fit,,"14.0 "" (Size 8)",No,No,No,No,No
sporty,446,sporty,https://www.zalando.co.uk/ragwear-laura-day-dress-navy-r5921c0b6-k11.html,Ragwear,"LAURA ",54.99,2,navy,Sweat,"50% polyester, 50% cotton",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Polo shirt,,Belt,Polo dresses,,Plain,,Short,"24.5 "" (Size S)",Long,"35.5 "" (Size S)",Regular Fit,Regular fit,,,No,No,No,No,No
trendy,447,trendy,https://www.zalando.co.uk/see-by-chloe-cocktail-dress-party-dress-black-se321c05z-q11.html,See by Chloe,Cocktail dress / Party dress,300.0,5,burgundy,Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,,Button,,,Polka dot,Slip,Knee length,Elbow length,Elbow length,"37.0 "" (Size 10)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size 10",,No,No,No,No,No
sporty,448,classic,https://www.zalando.co.uk/mamalicious-mlvera-jersey-dress-navy-blazer-m6429f160-k11.html,MAMALICIOUS,"MLVERA  ",33.99,1,navy,,100% polyester,,,,,,,Round neckline,Striped,"Button row, bust darts",Short,"23.0 "" (Size 8)",Long,"35.5 "" (Size 8)",Loose Fit,Loose fit,,,No,No,No,No,No
casual chic,449,casual chic,https://www.zalando.co.uk/only-day-dress-night-sky-on321c1cc-k13.html,Only,"ONLMARIANA MYRINA DRESS ",23.99,1,navy,,"97% polyester, 3% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,Accentuating the waist,Round neckline,Floral,"Inseam pockets, elasticated waist, bow",Short,Short,Short,"37.5 "" (Size 8)",Fitted waist,Slim fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,yes,No,No,No
girly,450,girly,https://www.zalando.co.uk/only-onlolivia-wrap-dress-day-dress-dusk-blue-on321c1rr-k11.html,Only,"ONLOLIVIA DRESS ",20.79,1,pastel blue,,100% polyester,,"Do not tumble dry, Machine wash on gentle cycle, Do not bleach",,,,Wrap dresses,Low v-neck,,,,Short,Short,"40.0 "" (Size 10)",,,,,No,No,No,No,No
trendy,451,trendy,https://www.zalando.co.uk/maya-deluxe-embellished-bandeau-pencil-midi-dress-cocktail-dress-party-dress-lilac-grey-m2z21c093-d11.html,Maya Deluxe,"EMBELLISHED BANDEAU PENCIL MIDI DRESS ",119.99,3,silver,Tulle,100% polyester,100% polyester,"Do not tumble dry, Hand wash only",,,Zip,Bodycon dresses,Strapless,Plain,"Slip, sequins",Knee length,Strapless,Strapless,"39.5 "" (Size 8)",Bodycon,Slim fit,"Our model is 5' 10""  tall and is wearing size 8",,No,No,yes,No,Yes
girly,452,girly,https://www.zalando.co.uk/gap-cap-sleeve-button-front-day-dress-blue-floral-gp021c0kw-k12.html,GAP,"CAP SLEEVE BUTTON FRONT ",46.74,2,black,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Zip,,Low v-neck,Floral,Button row,Short,Short,Short,"34.0 "" (Size 10)",Regular Fit,Regular fit,,"14.5 "" (Size 10)",No,No,No,No,No
classic,453,classic,https://www.zalando.co.uk/koche-dress-day-dress-black-koj21c00g-q11.html,KOCHÃ‰,"DRESS ",439.99,5,black,,"78% viscose, 18% polyamide, 4% elastane",,"Hand wash only, Dry cleanable",,,,,Low round neckline,Plain,,Knee length,Short,Short,"35.5 "" (Size S)",Slim Fit,Slim fit,"Our model is 5' 8""  tall and is wearing size S",,No,No,No,No,No
classic,454,classic,https://www.zalando.co.uk/ivy-and-oak-bridal-manna-cocktail-dress-party-dress-snow-white-iv521c02q-a11.html,"IVY & OAK ","MANNA ",279.99,5,white,,"99% viscose, 1% elastane",100% polyester,"Do not tumble dry, Do not wash",,,Zip,,Boat neckline (wide),Plain,Slip,Maxi/long,"23.5 "" (Size 8)",Long,"59.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 8","12.5 "" (Size 8)",No,No,No,No,No
casual chic,455,casual chic,https://www.zalando.co.uk/anna-field-short-sleeves-off-shoulder-lace-skirt-dress-cocktail-dress-party-dress-black-an621c1pb-q11.html,Anna Field,"SHORT SLEEVES  OFF SHOULDER LACE SKIRT DRESS  ",41.99,2,black,,100% polyamide,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Zip,,Boat neckline (wide),Plain,Slip,Knee length,Short,Short,"39.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8",,No,No,No,No,Yes
