,Unnamed: 0,Brand,Dress name ,Price,Price Category,Color,Fabric,Outer fabric material,Lining,Care instructions,Collar,Cut,Fastening,Type of dress,Neckline,Consolidated Prints,Details,Dress length,Sleeve length,Consolidated sleeve length,Total length,Fit,Consolidated fit,Our model's height,Back width,Sheer?,Pockets?,Rhinestones?,Shoulderpads?,Backless?,cv_predicted
1984,2859,byTiMo,MINI DRESS ,299.99,5,white multi-coloured,,100% cotton,100% cotton,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,,Zip,,,Floral,"Border, slip",Short,"24.5 "" (Size S)",Long,"35.5 "" (Size S)",Regular Fit,Regular fit,,"13.0 "" (Size S)",Yes,No,No,No,No,girly
1985,2860,Tory Burch,MIDI TUNIC DRESS ,380.0,5,white,,100% linen,,Hand wash only,Mandarin collar,,,,Low v-neck,Plain,Tassels,Calf length,"20.0 "" (Size S)",Long,"49.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 11""  tall and is wearing size S","17.0 "" (Size S)",Yes,No,No,No,No,girly
1986,2861,Mango,POMA ,49.99,2,off-white,,"79% viscose, 13% polyester, 8% polyamide","80% polyester, 20% cotton",Do not tumble dry,,,Zip,,Spaghetti straps,Plain,Slip,Knee length,Spaghetti straps,Spaghetti straps,,Regular Fit,Regular fit,,,No,No,No,No,Yes,girly
1987,2862,Minimum,FRIJA ,84.99,3,black,,100% cotton,,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur",,,Zip,,Round neckline,Floral,Bust darts,Calf length,"22.0 "" (Size 8)",Long,"48.5 "" (Size 8)",Regular Fit,Regular fit,,"14.0 "" (Size 8)",No,No,No,No,No,edgy
1988,2863,Replay,Maxi dress,149.99,4,black multi-coloured,,100% viscose,,,,,,,Spaghetti straps,Floral,,Maxi/long,Spaghetti straps,Spaghetti straps,"55.5 "" (Size S)",Slim Fit,Slim fit,"Our model is 5' 10""  tall and is wearing size S","15.5 "" (Size S)",No,No,No,No,No,alternative
1989,2864,By Malina,FLORIA DRESS ,259.99,5,white,,100% cotton,100% cotton,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Button,,Round neckline,Plain,Slip,Knee length,"24.5 "" (Size 8)",Long,"36.5 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 8","15.0 "" (Size 8)",Yes,No,No,No,No,girly
1990,2865,EDITED,LOTTA DRESS ,69.99,2,pastel green,,100% viscose,,,,,Zip,,Square neckline,Floral,,Calf length,"23.0 "" (Size 8)",Long,"49.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 8",,No,No,No,No,Yes,girly
1991,2866,Lounge Nine,KIRA SLEEVELESS DRESS ,79.99,2,white,Sweat,"65% modal, 35% polyester",,,,,,,Low round neckline,Plain,,Knee length,Spaghetti straps,Spaghetti straps,"38.5 "" (Size M)",Regular Fit,Regular fit,,,Yes,No,No,No,No,classic
1992,2867,LOVE2WAIT,DRESS NURSING RUFFLES ,54.99,2,blue,Sweat,100% cotton,,"Do not tumble dry, machine wash at 30Â°C",,,,Accentuating the waist,Low round neckline,Plain,Belt included,Knee length,Sleeveless,Sleeveless,,Regular Fit,Regular fit,,,No,No,No,No,No,sporty
1993,2868,Proenza Schouler White Label,HEAVY GEORGETTE RUCHED MIDI DRESS ,360.0,5,blue,,100% viscose,,Dry clean only,,,Button,,Low v-neck,Animal Prints in general,Inseam pockets,Knee length,Sleeveless,Sleeveless,"44.0 "" (Size 10)",Regular Fit,Regular fit,,"17.0 "" (Size 10)",No,yes,No,No,No,unknown
1994,2869,Swing,DRESS ,174.99,4,black/white,Chiffon,100% polyester,"97% polyester, 3% elastane",,,,Zip,,Round neckline,Floral,,Maxi/long,Sleeveless,Sleeveless,"60.0 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 10","15.5 "" (Size 10)",No,No,No,No,No,casual chic
1995,2870,Tory Burch,GREER DRESS ,475.0,5,black/white,,100% silk,,Dry clean only,,,,Accentuating the waist,Round neckline,Prints in general,Belt included,Calf length,"25.5 "" (Size S)",Long,"46.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S",,No,No,No,No,No,classic
1996,2871,Olivia Rubin,GWEN ,370.0,5,pink,Satin,100% silk,100% polyester,Dry clean only,Standing collar,,Zip,,,Plain,Slip,Calf length,"24.5 "" (Size 8)",Long,"50.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 11""  tall and is wearing size 8","12.0 "" (Size 8)",No,No,No,No,No,classic
1997,2872,WAL G.,ANYA RUCHED MIDI DRESS ,35.99,1,burgundy,,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C",,,Zip,,Round neckline,Plain,,Knee length,Sleeveless,Sleeveless,"43.5 "" (Size 10)",Slim Fit,Slim fit,"Our model is 5' 9""  tall and is wearing size 10",,No,No,No,No,Yes,sporty
1998,2874,Esprit,SOFT ,89.99,3,blue,Tulle,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,,Zip,,,Plain,"Slip, rhinestones",Knee length,Sleeveless,Sleeveless,"41.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S",,No,No,yes,No,No,classic
1999,2875,Pieces,PCNAJA DRESS ,25.99,1,black,Velvet/velour,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,Wrap dresses,Low v-neck,Plain,,Short,"27.0 "" (Size S)",Long,"37.5 "" (Size S)",Slim Fit,Slim fit,,,No,No,No,No,No,edgy
2000,2876,Sixth June,DRESS ,29.99,1,black,Rib,"95% polyester, 5% elastane",,Machine wash at 40Â°C,Standing collar,,,Bodycon dresses,,,,Extra short,"22.5 "" (Size M)",Long,"32.5 "" (Size M)",Bodycon,Slim fit,"Our model is 5' 10""  tall and is wearing size M",,No,No,No,No,No,edgy
2001,2877,Even&Odd,Day dress,19.99,1,brown,Rib,"95% cotton, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,Bodycon dresses,Henley neckline,Plain,,Short,"24.5 "" (Size S)",Long,"32.5 "" (Size S)",Bodycon,Slim fit,,,No,No,No,No,No,alternative
2002,2878,TOM TAILOR,Day dress,69.99,2,black,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,,Zip,,,Polka dot,,Knee length,"24.5 "" (Size 10)",Long,"37.5 "" (Size 10)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 10","14.5 "" (Size 10)",No,No,No,No,No,casual chic
2003,2879,Vila,VISUVITA SHORT DRESS ,34.99,1,burgundy,,100% viscose,,"Machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Standing collar,,Button,Accentuating the waist,,Plain,Belt included,Short,"25.0 "" (Size 8)",Long,"34.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)",No,No,No,No,No,trendy
2004,2880,Moss Copenhagen,EGLE DRESS ,69.99,2,black,,"65% cotton, 32% polyamide, 3% elastane",,"Do not tumble dry, machine wash at 30Â°C",Turn-down collar,,Zip,,Low v-neck,Plain,,Short,"27.0 "" (Size S)",Long,"35.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S","16.0 "" (Size S)",No,No,No,No,No,edgy
2005,2881,Yas,YASHUNTER DRESS ,59.99,2,pastel pink,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C",,,Button,,Round neckline,Floral,Bust darts,Knee length,"25.0 "" (Size S)",Long,"36.0 "" (Size S)",Regular Fit,Regular fit,,"15.0 "" (Size S)",No,No,No,No,No,girly
2006,2882,AllSaints,HOODY DRESS ,119.99,3,black,Sweat,100% cotton,,"Do not tumble dry, machine wash at 30Â°C",Hood,,,Hooded dresses,,Prints in general,,Extra short,"23.5 "" (Size S)",Long,"34.0 "" (Size S)",Oversized,Loose fit,"Our model is 5' 10""  tall and is wearing size S",,No,Yes,No,No,No,sporty
2007,2883,Nly by Nelly,ALL DAY  ,54.99,2,pastel pink,Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,Wrap dresses,Low v-neck,Plain,Slip,Maxi/long,Short,Short,,Regular Fit,Regular fit,,,No,No,No,No,No,girly
2008,2884,Mango,TURMALIN A ,49.99,2,grey,,100% polyester,,"Do not tumble dry, machine wash at 30Â°C, Do not iron",,,,,Low v-neck,Plain,,Calf length,Sleeveless,Sleeveless,,Regular Fit,Regular fit,,,No,No,No,No,No,classic
2009,2885,The Kooples,DRESS ,314.99,5,black/white,Chiffon,100% viscose,100% viscose,Dry clean only,,,,Accentuating the waist,V-neck,Prints in general,"Belt included, bust darts, slip",Short,"25.0 "" (Size 8)",Long,"36.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 11""  tall and is wearing size 8","14.5 "" (Size 8)",No,No,No,No,No,casual chic
2010,2886,Ted Baker,HAARISS ,149.99,4,white multi-coloured,,100% polyester,100% polyester,"Do not tumble dry, Hand wash only",,,Zip,,Low v-neck,Floral,Slip,Short,Sleeveless,Sleeveless,"34.5 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 10","16.0 "" (Size 10)",Yes,No,No,No,No,unknown
2011,2887,2nd Day,COOPER ,139.99,4,white,,100% cotton,,"Do not tumble dry, machine wash at 30Â°C",Standing collar,,Button,,,Plain,,Short,"23.5 "" (Size 8)",Long,"34.5 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 11""  tall and is wearing size 8","15.0 "" (Size 8)",Yes,No,No,No,No,trendy
2012,2888,Closet,HIGH NECK FRONT DRESS ,99.99,3,purple,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C",Standing collar,,Zip,,,Polka dot,,Calf length,"19.0 "" (Size 10)",Elbow length,"52.0 "" (Size 10)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 10","14.0 "" (Size 10)",No,No,No,No,No,unknown
2013,2889,Only,ONLPEMA HAN DRESS ,30.99,1,denim,Denim,100% lyocell,,"Do not tumble dry, machine wash at 30Â°C",Turn-down collar,,Button,Button down dresses,,,Belt included,Calf length,Short,Short,"46.5 "" (Size S)",Regular Fit,Regular fit,,"15.5 "" (Size S)",No,No,No,No,No,classic
2014,2890,Polo Ralph Lauren,STRIPED WAFFLE,219.99,5,orange,Rib,100% cotton,,"Machine wash at 30Â°C, Machine wash on gentle cycle",,,,,Henley neckline,Striped,,Calf length,Long,Long,,Slim Fit,Slim fit,,,No,No,No,No,No,alternative
2015,2891,Vila,VISITTAS V NECK ANKLE DRESS ,46.74,2,navy,Satin,100% polyester,,"Do not tumble dry, machine wash at 30Â°C",,,,Wrap dresses,Low v-neck,Plain,Elasticated waist,Calf length,"19.0 "" (Size 8)",Elbow length,"53.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No,classic
2016,2892,Massimo Dutti,Day dress,79.95,2,pastel yellow,,100% lyocell,100% lyocell,Do not tumble dry,,,,,Spaghetti straps,Plain,,Knee length,Spaghetti straps,Spaghetti straps,,Loose Fit,Loose fit,,,No,No,No,No,Yes,alternative
2017,2893,byTiMo,OPEN BACK DRESS ,279.99,5,off-white,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,,Button,,Round neckline,Floral,"Bust darts, bow",Short,"28.0 "" (Size S)",Long,"38.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S",,No,No,No,No,Yes,girly
2018,2894,Thought,PORTOBELLO TIE FRONT DRESS ,139.99,4,pink,,100% lyocell,,"Do not tumble dry, machine wash at 30Â°C",Standing collar,,Button,Accentuating the waist,,Prints in general,Belt included,Calf length,"25.0 "" (Size 8)",Long,"51.5 "" (Size 8)",Regular Fit,Regular fit,,"12.5 "" (Size 8)",No,No,No,No,No,girly
2019,2895,Ted Baker,KENEDI ,259.99,5,pastel pink,Chiffon,100% polyester,100% polyester,"Hand wash only, Dry cleanable",,,Laces,,Round neckline,Prints in general,"Bust darts, adjustable straps, slip",Short,Sleeveless,Sleeveless,"35.0 "" (Size 10)",Slim Fit,Slim fit,"Our model is 5' 11""  tall and is wearing size 10","12.5 "" (Size 10)",No,No,No,No,No,girly
2020,2896,Saint Tropez,KATINKA DRESS ,49.99,2,brown,Rib,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C",,,,,Round neckline,Animal Prints in general,,Knee length,"20.5 "" (Size S)",Long,"35.5 "" (Size S)",Regular Fit,Regular fit,,,No,No,No,No,No,girly
2021,2897,Milly,WILHEMINA PLEATED MINI DRESS ,404.99,5,red,Chiffon,100% polyester,100% polyester,Dry clean only,,,,Pleated dresses,Low round neckline,Plain,"Adjustable straps, slip",Extra short,Spaghetti straps,Spaghetti straps,,Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8",,No,No,No,No,No,trendy
2022,2898,WAL G.,HIGH NECK MAXI ,54.99,2,red,Lace,"95% polyester, 5% elastane","95% polyester, 5% elastane","Do not tumble dry, machine wash at 30Â°C",Standing collar,,Zip,Bodycon dresses,,Plain,"Bust darts, padded bust, slip",Maxi/long,Sleeveless,Sleeveless,"62.0 "" (Size 10)",Bodycon,Slim fit,"Our model is 5' 11""  tall and is wearing size 10",,No,No,No,No,No,trendy
2023,2899,Samsoe Samsoe,SHIRT DRESS ,139.99,4,brown,,100% viscose,,"Do not tumble dry, Hand wash only",Standing collar,,Button,Accentuating the waist,,Checked,Belt included,Short,"18.0 "" (Size S)",Elbow length,"36.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size S","12.0 "" (Size S)",Yes,No,No,No,No,girly
2024,2900,Mango,WALL ,49.99,2,multi-coloured,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C, Dry cleanable",,,Button,,Round neckline,Floral,,Calf length,Long,Long,,Regular Fit,Regular fit,,,No,No,No,No,Yes,alternative
2025,2901,Only,OLMFIONA MIDI DRESS ,34.99,1,grey,,100% polyester,,,,,Button,,Low v-neck,Floral,,Calf length,"19.5 "" (Size S)",Long,"50.0 "" (Size S)",Regular Fit,Regular fit,,"15.5 "" (Size S)",No,No,No,No,No,classic
2026,2902,Mother of Pearl,V NECK MIDI DRESS WITH ROPE CUFF TIE ,295.0,5,navy,,"56% cotton, 41% lyocell, 3% elastane",,Hand wash only,,,Zip,,Low v-neck,Plain,,Calf length,"25.0 "" (Size 10)",Long,"49.5 "" (Size 10)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 10","15.5 "" (Size 10)",No,No,No,No,No,classic
2027,2903,Roxy,ABOUT YOU NOW ,59.49,2,navy,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,Wrap dresses,Low v-neck,Floral,,Maxi/long,Long,Long,,Regular Fit,Regular fit,,,No,No,No,No,No,classic
2028,2904,Massimo Dutti,Day dress,149.0,4,blue,,100% linen,,"Do not tumble dry, Do not wash",,,,,Low round neckline,Plain,,Knee length,Sleeveless,Sleeveless,"41.5 "" (Size M)",Regular Fit,Regular fit,,,No,No,No,No,Yes,alternative
2029,2905,By Malina,SKY DRESS ,199.99,4,white,Lace,100% polyester,"97% polyester, 3% elastane","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Zip,,Low v-neck,,Slip,Short,Short,Short,"34.0 "" (Size 8)",,,"Our model is 5' 9""  tall and is wearing size 8",,No,No,No,No,Yes,girly
2030,2906,Selected Femme,SLFALVA WRAP DRESS ,69.99,2,brown,Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C",,,Laces,Wrap dresses,Low v-neck,Floral,Slip,Knee length,"25.0 "" (Size 8)",Long,"40.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No,casual chic
2031,2907,s.Oliver,Day dress,59.99,2,navy,Sweat,"75% cotton, 25% polyester",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Hood,,,Hooded dresses,,Plain,Inseam pockets,Knee length,"25.5 "" (Size S)",Long,"38.0 "" (Size S)",Loose Fit,Loose fit,,,No,yes,No,No,No,edgy
2032,2908,Esprit,DRESS ,79.99,2,black,Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Zip,,Boat neckline (wide),Polka dot,"Slip, bow",Short,Sleeveless,Sleeveless,,Regular Fit,Regular fit,,,No,No,No,No,Yes,classic
2033,2909,Noa Noa,Day dress,99.99,3,blue,Jersey,"95% viscose, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Turn-down collar,,Button,Button down dresses,,Plain,Belt included,Calf length,"26.0 "" (Size S)",Long,"45.5 "" (Size S)",Regular Fit,Regular fit,,,No,No,No,No,No,classic
2034,2910,Mango,MER ,59.99,2,green,Satin,"98% viscose, 2% elastane",,"Do not tumble dry, machine wash at 30Â°C, Dry cleanable",,Asymmetrical,,,Spaghetti straps,Plain,,Calf length,One shoulder,One shoulder,,Regular Fit,Regular fit,,,No,No,No,No,Yes,trendy
2035,2911,Only,ONLBLACKIE CALF DRESS ,35.19,1,black,,100% polyester,,,Standing collar,,Button,,,Floral,,Calf length,"27.0 "" (Size S)",Long,"49.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 11""  tall and is wearing size S","14.0 "" (Size S)",No,No,No,No,No,trendy
2036,2912,Bec & Bridge,ELROY DRESS ,219.99,5,black,Jersey,"95% polyester, 5% elastane","95% polyester, 5% elastane","Do not tumble dry, Do not wash",,,,Bodycon dresses,Spaghetti straps,Plain,"Bust darts, slip",Short,Spaghetti straps,Spaghetti straps,"30.0 "" (Size 8)",Bodycon,Slim fit,"Our model is 5' 10""  tall and is wearing size 8",,No,No,No,No,Yes,edgy
2037,2913,esmÃ© studios,GINNY OVERSIZE DRESS  ,89.99,3,brown,,100% cotton,,,,,,,Square neckline,Striped,,Knee length,"19.5 "" (Size S)",Long,"34.5 "" (Size S)",Oversized,Loose fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)",No,No,No,No,Yes,edgy
2038,2914,Tommy Hilfiger,LOGO REPEAT HOODIE DRESS ,79.99,2,black,Sweat,"65% cotton, 35% polyester",,"Do not tumble dry, machine wash at 30Â°C",Hood,,,Hooded dresses,,Prints in general,,Short,"23.0 "" (Size S)",Long,"33.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size S",,No,Yes,No,No,No,sporty
2039,2915,Marella,KAYA ,264.99,5,black/white,,"97% cotton, 3% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Turn-down collar,,Button,Button down dresses,,Checked,"Belt included, inseam pockets",Calf length,Elbow length,Elbow length,"51.0 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 10","15.0 "" (Size 10)",No,yes,No,No,No,casual chic
2040,2916,Vila,VIVALLEA TIE ANKLE DRESS ,43.99,2,navy,Jersey,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,Wrap dresses,Low v-neck,Plain,Bow,Maxi/long,Elbow length,Elbow length,,Regular Fit,Regular fit,,,No,No,No,No,No,classic
2041,2917,Scotch & Soda,SUMMER FITTED DRESS WITH STRAPS ,164.99,4,black,,"55% linen, 45% viscose",100% cotton,Hand wash only,,,,,Spaghetti straps,Plain,Slip,Calf length,Spaghetti straps,Spaghetti straps,"51.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 11""  tall and is wearing size S",,No,No,No,No,Yes,edgy
2042,2918,NAF NAF,KBANDANA  ,72.24,2,black/white,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Turn-down collar,,Button,Button down dresses,,Prints in general,Elasticated waist,Short,"23.0 "" (Size 8)",Long,"36.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)",No,No,No,No,No,edgy
2043,2919,Lovechild,AMANDA ,259.99,5,off-white,Lace,"70% cotton, 30% polyamide",100% viscose,"Hand wash only, Dry cleanable",Standing collar,,Zip,,,Plain,Slip,Calf length,"25.5 "" (Size 8)",Long,"51.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No,girly
2044,2920,Esprit,Cocktail dress / Party dress,49.99,2,black,,"64% viscose, 30% polyamide, 6% elastane",100% polyester,"Do not bleach, do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Button,,Round neckline,Plain,"Sequins, slip",Short,Short,Short,,Slim Fit,Slim fit,,,Yes,No,yes,No,No,edgy
2045,2921,Pieces,PCHOPE ,43.99,2,denim,Denim,100% cotton,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Turn-down collar,,Button,Button down dresses,,,Belt included,Calf length,"26.0 "" (Size S)",Long,"43.5 "" (Size S)",Regular Fit,Regular fit,,"14.0 "" (Size S)",No,No,No,No,No,classic
2046,2922,Ralph Lauren,STRIPED CHIFFON GOWN ,244.99,5,blue,Chiffon,100% polyester,100% polyester,"Machine wash at 30Â°C, Machine wash on gentle cycle",,,Zip,Wrap dresses,Low v-neck,Striped,Slip,Maxi/long,Short,Short,"56.5 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 10","15.0 "" (Size 10)",No,No,No,No,No,girly
2047,2923,Esprit,Day dress,59.0,2,white multi-coloured,Mesh,"92% polyester, 8% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Zip,,Low v-neck,Prints in general,Slip,Knee length,"20.5 "" (Size S)",Long,"41.0 "" (Size S)",Regular Fit,Regular fit,,,No,No,No,No,No,girly
2048,2924,Only,ONLHANNA  DRESS ,23.24,1,red,Chiffon,100% polyester,100% polyester,"Machine wash at 40Â°C, do not tumble dry, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",,,,,Low v-neck,Floral,"Bust darts, slip",Short,"23.0 "" (Size S)",Long,"34.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S","16.5 "" (Size S)",No,No,No,No,No,casual chic
2049,2925,Vero Moda,VMMVICA SHIRT DRESS ,30.99,1,pastel orange,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur",,,Button,Accentuating the waist,Low v-neck,Prints in general,Belt included,Calf length,Short,Short,,Regular Fit,Regular fit,,,No,No,No,No,No,girly
2050,2926,Esprit,ECOVERO ,99.0,3,pastel green,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Zip,Wrap dresses,Low v-neck,Plain,"Belt included, slip",Calf length,Sleeveless,Sleeveless,"46.5 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 10","15.0 "" (Size 10)",No,No,No,No,No,girly
2051,2927,Ralph Lauren,WOOL CREPE SLEEVELESS TUXEDO DRESS ,334.99,5,black,,"53% cotton, 41% viscose, 6% elastane","94% polyester, 6% elastane","Hand wash only, Dry cleanable",Lapel collar,,Button,Wrap dresses,Low v-neck,Plain,"Slip, decorative buttons",Knee length,Sleeveless,Sleeveless,"40.5 "" (Size 10)",Slim Fit,Slim fit,,"13.0 "" (Size 10)",No,No,No,No,No,edgy
2052,2928,ICHI,IHCUNILLA ,74.99,2,white multi-coloured,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C",,,Button,Accentuating the waist,Low v-neck,Floral,Belt included,Knee length,Elbow length,Elbow length,"37.0 "" (Size 8)",Loose Fit,Loose fit,,"15.5 "" (Size 8)",No,No,No,No,No,girly
2053,2929,Roxy,GIRLY COMMUNITY ,54.99,2,white multi-coloured,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,,,,Low v-neck,Floral,"Elasticated waist, bust darts",Maxi/long,Short,Short,"53.0 "" (Size S)",Regular Fit,Regular fit,,"15.0 "" (Size S)",No,No,No,No,No,unknown
2054,2930,WAL G.,SHAKILA SEQUIN TOP DRESS ,40.99,2,black,Jersey,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C",,,Zip,,Low v-neck,Plain,"Padded bust, sequins",Knee length,Sleeveless,Sleeveless,"41.5 "" (Size 10)",Slim Fit,Slim fit,"Our model is 5' 9""  tall and is wearing size 10",,No,No,yes,No,No,edgy
2055,2931,Vila,VIMICADA V NECK DRESS  ,34.99,1,pink,Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C",,,,Accentuating the waist,Low v-neck,Plain,"Belt included, slip",Short,Short,Short,,Regular Fit,Regular fit,,,No,No,No,No,No,girly
2056,2932,Soyaconcept,SC,79.99,2,navy,Chiffon,100% polyester,"95% viscose, 5% elastane","Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur",Standing collar,,Button,,,Paisley,Slip,Calf length,"25.0 "" (Size S)",Long,"48.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 8""  tall and is wearing size S","14.0 "" (Size S)",No,No,No,No,No,classic
2057,2933,Mother of Pearl,GATHERED DRESS WITH SPLITS AND TIE CUFFS ,295.0,5,sand,,100% lyocell,,Hand wash only,,,Laces,Accentuating the waist,Round neckline,Plain,Belt included,Calf length,"24.0 "" (Size S)",Long,"47.0 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size S","15.5 "" (Size S)",No,No,No,No,No,trendy
2058,2934,Springfield,VESTIDO CORTO MANDALA ,34.99,1,multi-coloured,Chiffon,100% polyester,100% polyester,"Machine wash at 30Â°C, Machine wash on gentle cycle",,,Button,,Round neckline,Paisley,Slip,Short,"24.5 "" (Size 8)",Long,"34.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 8",,No,No,No,No,Yes,edgy
2059,2935,Nly by Nelly,TWIST NECK DRESS ,27.99,1,brown,Velvet/velour,"92% polyester, 8% elastolefin",,"Do not tumble dry, machine wash at 30Â°C",,,Laces,Bodycon dresses,Low v-neck,Plain,,Short,Sleeveless,Sleeveless,"35.5 "" (Size S)",Bodycon,Slim fit,"Our model is 5' 9""  tall and is wearing size S",,No,No,No,No,Yes,alternative
2060,2936,Yas,YASJULIETTE DRESS ,59.99,2,black/white,,"80% polyester, 20% wool",100% polyester,"Do not tumble dry, Do not wash",,,,,V-neck,Checked,Slip,Short,Sleeveless,Sleeveless,"34.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size S)",No,No,No,No,No,edgy
2061,2937,Even&Odd,Day dress,34.99,1,black,Jersey,"95% cotton, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Button,Bodycon dresses,Low round neckline,Plain,,Knee length,"20.5 "" (Size S)",Long,"31.5 "" (Size S)",Bodycon,Slim fit,,,No,No,No,No,No,trendy
