,Article number,Back material,Back width,Bottom part material,Care instructions,Collar,Contains non-textile parts of animal origin,Cut,Details,Fabric,Fastening,Filling,Fit,Front material,Insert material,Jacket length,Length,Licensed characters,Lining,Middle part material,Neckline,Our model's height,Outer fabric material,Outer leg length,Pattern,Pockets,Sheer,Sleeve length,Sleeve length.1,Sleeves material,Sport,Top part material,Total length,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,category,color,day dress,description,heading1,link,price
3461,GS121C06L-Q11,--,--,--,"Machine wash at 40Â°C, do not tumble dry",Hood,--,--,"Zip fastening, elasticated waist",Sweat,--,--,Wide cut,--,--,--,Short,--,--,--,--,"Our model is 5' 9""  tall and is wearing size S",100% cotton,--,--,--,--,"25.5 "" (Size S)",--,--,--,--,"33.0 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,video overlay, Day dress,ILOU ZIP HDD SW DRESS WMN L/S ,G-Star,https://www.zalando.co.uk/g-star-ilou-zip-hdd-sw-dress-wmn-ls-day-dress-gs121c06l-q11.html,Â£74.99
3462,IV321C0BI-Q11,--,"14.0 "" (Size 8)",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Slip,--,--,--,Loose Fit,--,--,--,Knee-length,--,100% cotton,--,V-neck,--,100% cotton,--,Plain,--,--,"19.5 "" (Size 8)",--,--,--,--,"40.5 "" (Size 8)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,black, Day dress,DEBORAH ,IVY & OAK,https://www.zalando.co.uk/ivy-and-oak-deborah-rose-day-dress-black-iv321c0bi-q11.html,Â£284.99
3463,MK121C0KP-N11,--,--,--,"Machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,"Belt included, slip",Chiffon,Button,--,Regular Fit,--,--,--,Calf-length,--,100% polyester,--,Low-cut v-neck,--,100% polyester,--,Floral,--,--,Long,--,--,--,--,--,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,black/khaki, Day dress,FLORAL MIDI DRESS ,MICHAEL Michael Kors,https://www.zalando.co.uk/michael-michael-kors-floral-midi-dress-day-dress-blackkhaki-mk121c0kp-n11.html,Â£234.99
3464,LE221C02M-Q11,--,--,--,"Machine wash at 30Â°C, Do not bleach",--,--,--,Elasticated waist,Sweat,--,--,Loose Fit,--,--,--,Short,--,--,--,Crew neck,"Our model is 5' 9""  tall and is wearing size S","60% cotton, 40% polyester",--,Print,--,--,"20.0 "" (Size S)",--,--,--,--,"32.5 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,black, Day dress,YUNA  ,Levi'sÂ®,https://www.zalando.co.uk/levis-yuna-day-dress-black-le221c02m-q11.html,Â£59.99
3465,DAI21C00Q-T11,--,"14.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,Loose Fit,--,--,--,Long,--,--,--,Scoop neck,--,"95% cotton, 5% elastane",--,Striped,--,--,Elbow length,--,--,--,--,"55.0 "" (Size 10)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,snoop, Day dress,ORGANIC MARKISE ,DanefÃ¦ KÃ¸benhavn,https://www.zalando.co.uk/danefa-koebenhavn-organic-markise-day-dress-snoop-dai21c00q-t11.html,Â£94.99
3466,V1021C2XP-Q11,--,"14.5 "" (Size 8)",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,--,Laces,--,Loose Fit,--,--,--,Knee-length,--,--,--,Crew neck,--,"80% viscose, 20% polyamide",--,Print,--,--,Elbow length,--,--,--,--,"36.5 "" (Size 8)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,black/lilac, Day dress,VICAYS DRESS ,Vila,https://www.zalando.co.uk/vila-vicays-dress-day-dress-blacklilac-v1021c2xp-q11.html,Â£43.99
3467,M3I21C0IM-Q11,--,--,--,--,--,--,--,--,--,--,--,Regular Fit,--,--,--,Calf-length,--,--,--,Cache-coeur,"Our model is 4' 1""  tall and is wearing size M","83% viscose, 16% wool, 1% elastane",--,Plain,--,--,Long,--,--,--,--,--,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,black,,Day dress,Massimo Dutti,https://www.zalando.co.uk/massimo-dutti-day-dress-black-m3i21c0im-q11.html,Â£149.00
3468,M7521C06A-B11,--,"15.0 "" (Size 10)",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Turn-down collar,Yes,--,"Belt included, inseam pockets",--,Button,--,Regular Fit,--,--,--,Calf-length,--,--,--,--,"Our model is 5' 10""  tall and is wearing size 10","97% cotton, 3% elastane",--,Checked,--,--,Elbow length,--,--,--,--,"51.0 "" (Size 10)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,naturale, Day dress,KAYA ,Marella,https://www.zalando.co.uk/marella-kaya-day-dress-naturale-m7521c06a-b11.html,Â£264.99
3469,DA321C074-H11,--,--,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Volant collar,--,--,--,--,Laces,--,Oversized,--,--,--,Calf-length,--,--,--,Cache-coeur,"Our model is 5' 10""  tall and is wearing size 8",100% polyester,--,Plain,--,--,"25.5 "" (Size 8)",--,--,--,--,"50.0 "" (Size 8)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,rooibos tea,,Day dress,DAY Birger et Mikkelsen,https://www.zalando.co.uk/day-birger-et-mikkelsen-day-dress-rooibos-tea-da321c074-h11.html,Â£209.99
3470,BYH21C01X-A11,--,"13.0 "" (Size S)",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,"Border, slip",--,Zip,--,Regular Fit,--,100% nylon,--,Short,--,100% cotton,--,--,--,100% cotton,--,Floral,--,Semi-sheer,"24.5 "" (Size S)",--,--,--,--,"35.5 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,antique, Day dress,MINI DRESS ,byTiMo,https://www.zalando.co.uk/bytimo-mini-dress-day-dress-antique-byh21c01x-a11.html,Â£299.99
3471,S1S29F02H-C11,--,--,100% cotton,--,--,--,--,Nursing-friendly,"Jersey, Sweat",--,--,Fitted waist,--,--,--,Knee-length,--,--,--,Crew neck,"Our model is 5' 10""  tall and is wearing size 10","95% viscose, 5% elastane",--,Marl,--,--,"21.5 "" (Size 10)",--,--,--,"95% viscose, 5% elastane","37.0 "" (Size 10)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,greymarl, Day dress,CEDAR ,Seraphine,https://www.zalando.co.uk/seraphine-cedar-day-dress-greymarl-s1s29f02h-c11.html,Â£64.99
3472,MK121C0JX-G11,--,"15.0 "" (Size S)",--,"Machine wash at 30Â°C, Machine wash on gentle cycle",--,Yes,--,"Belt included, slip",--,Button,--,Regular Fit,--,--,--,Calf-length,--,100% polyester,--,Low-cut v-neck,"Our model is 5' 10""  tall and is wearing size S",100% polyester,--,Animal print,--,--,"25.0 "" (Size S)",--,--,--,--,"48.5 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,dark ruby, Day dress,CHEETAH DOWN MIDI ,MICHAEL Michael Kors,https://www.zalando.co.uk/michael-michael-kors-cheetah-down-midi-day-dress-dark-ruby-mk121c0jx-g11.html,Â£234.99
3473,SC321C086-T11,--,"14.0 "" (Size S)",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Belt included,--,--,--,Loose Fit,--,--,--,Knee-length,--,--,--,Low-cut v-neck,"Our model is 5' 9""  tall and is wearing size S",100% viscose,--,Print,--,--,Elbow length,--,--,--,--,"37.0 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,combo, Day dress,ALLOVER ,Scotch & Soda,https://www.zalando.co.uk/scotch-and-soda-allover-day-dress-combo-sc321c086-t11.html,Â£124.99
3474,SIB21C00X-K11,--,--,--,Machine wash at 30Â°C,--,--,--,--,Rib,--,--,Bodycon,--,--,--,Extra short,--,--,--,Crew neck,"Our model is 5' 10""  tall and is wearing size S","97% cotton, 3% elastane",--,--,--,--,Sleeveless,--,--,--,--,"32.5 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,blue, Day dress,SPIRAL DRESS ,Sixth June,https://www.zalando.co.uk/sixth-june-spiral-dress-day-dress-blue-sib21c00x-k11.html,Â£29.99
3475,6CA21C05C-Q11,--,"15.5 "" (Size 10)",--,"Machine wash at 30Â°C, Machine wash on gentle cycle",Turn-down collar,--,--,Inseam pockets,--,--,--,Loose Fit,--,--,--,Short,--,--,--,Low-cut v-neck,--,"51% linen, 47% lyocell, 2% elastane",--,Plain,--,--,Elbow length,--,--,--,--,"35.5 "" (Size 10)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,black, Day dress,OPEN NECK SHORT DRESS ,Calvin Klein,https://www.zalando.co.uk/calvin-klein-open-neck-short-dress-day-dress-black-6ca21c05c-q11.html,Â£159.99
3476,6CA21C05C-Q11,--,"15.5 "" (Size 10)",--,"Machine wash at 30Â°C, Machine wash on gentle cycle",Turn-down collar,--,--,Inseam pockets,--,--,--,Loose Fit,--,--,--,Short,--,--,--,Low-cut v-neck,--,"51% linen, 47% lyocell, 2% elastane",--,Plain,--,--,Elbow length,--,--,--,--,"35.5 "" (Size 10)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,bright white, Day dress,OPEN NECK SHORT DRESS ,Calvin Klein,https://www.zalando.co.uk/calvin-klein-open-neck-short-dress-day-dress-black-6ca21c05c-q11.html,Â£159.99
3477,SU221C0GY-N11,--,"15.5 "" (Size S)",--,"Machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,--,Laces,--,Normal fit,--,--,--,Short,--,--,--,Scoop neck,"Our model is 5' 9""  tall and is wearing size S",100% lyocell,--,Plain,--,--,"23.0 "" (Size S)",--,--,--,--,"32.5 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,capulet olive, Day dress,ARIZONA PEEK A BOO DRESS ,Superdry,https://www.zalando.co.uk/superdry-arizona-peek-a-boo-dress-day-dress-capulet-olive-su221c0gy-n11.html,From Â£38.49
3478,SU221C0GY-N11,--,"15.5 "" (Size S)",--,"Machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,--,Laces,--,Normal fit,--,--,--,Short,--,--,--,Scoop neck,"Our model is 5' 9""  tall and is wearing size S",100% lyocell,--,Plain,--,--,"23.0 "" (Size S)",--,--,--,--,"32.5 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,black, Day dress,ARIZONA PEEK A BOO DRESS ,Superdry,https://www.zalando.co.uk/superdry-arizona-peek-a-boo-dress-day-dress-capulet-olive-su221c0gy-n11.html,From Â£38.49
3479,M0V21C0N5-N11,--,"13.0 "" (Size 8)",--,Machine wash at 30Â°C,Turn-down collar,--,--,"Covered fastener, elasticated waist, belt included",--,Button,--,Regular Fit,--,--,--,Short,--,100% polyester,--,--,--,100% cotton,--,Plain,--,--,Elbow length,--,--,--,--,"30.5 "" (Size 8)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,khaki, Day dress,PUFFBALL SHIRT DRESS ,Missguided Petite,https://www.zalando.co.uk/missguided-petite-puffball-shirt-dress-day-dress-khaki-m0v21c0n5-n11.html,Â£30.99
3480,CR221C0NI-K11,--,"17.5 "" (Size 10)",--,--,Turn-down collar,--,--,--,--,Button,--,Regular Fit,--,--,--,Short,--,--,--,--,"Our model is 5' 9""  tall and is wearing size 10",100% cotton,--,Plain,--,--,Elbow length,--,--,--,--,"38.0 "" (Size 10)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,placid blue, Day dress,CRHUMLA ,Cream,https://www.zalando.co.uk/cream-crhumla-day-dress-placid-blue-cr221c0ni-k11.html,Â£79.99
3481,VEI21C049-Q11,--,--,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Adjustable straps,--,Zip,--,Regular Fit,--,--,--,Extra short,--,--,--,Backless,"Our model is 5' 9""  tall and is wearing size 8",100% polyester,--,Colourful,--,--,Spaghetti straps,--,--,--,--,"29.5 "" (Size 8)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,black, Day dress,SUNFLOWER GARLAND ,Versace Jeans Couture,https://www.zalando.co.uk/versace-jeans-couture-sunflower-garland-day-dress-black-vei21c049-q11.html,Â£294.99
3482,M3I21C0F1-K11,--,--,--,"Do not tumble dry, Do not wash",--,--,--,--,--,--,--,Regular Fit,--,--,--,Knee-length,--,--,--,Backless,--,100% linen,--,Marl,--,--,Sleeveless,--,--,--,--,"41.5 "" (Size M)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,blue,,Day dress,Massimo Dutti,https://www.zalando.co.uk/massimo-dutti-day-dress-blue-m3i21c0f1-k11.html,Â£149.00
3483,V0A21C00W-K11,--,"14.0 "" (Size 8)",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,Slip,--,--,--,Regular Fit,--,--,--,Knee-length,--,100% cotton,--,Low-cut v-neck,"Our model is 5' 11""  tall and is wearing size 8",100% polyester,--,Striped,--,--,"21.0 "" (Size 8)",--,--,--,--,"38.0 "" (Size 8)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,english manor, Day dress,VIETNA DRESS ,VILA TALL,https://www.zalando.co.uk/vila-tall-vietna-dress-day-dress-english-manor-v0a21c00w-k11.html,Â£29.74
3484,M0U21C0IH-Q11,--,"16.5 "" (Size 16)",--,Machine wash at 30Â°C,Lapel collar,--,--,"Belt included, inseam pockets, shoulder pads",--,Button,--,Regular Fit,--,--,--,Short,--,100% polyester,--,--,--,100% polyester,--,Plain,--,--,"23.5 "" (Size 16)",--,--,--,--,"35.5 "" (Size 16)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,black, Day dress,TIE BELT DRESS ,Missguided Plus,https://www.zalando.co.uk/missguided-plus-tie-belt-dress-day-dress-black-m0u21c0ih-q11.html,Â£41.99
3485,VEE21C0D2-Q11,--,"16.5 "" (Size 16)",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Mandarin collar,--,--,"Bust darts, covered fastener",--,Button,--,Loose Fit,--,--,--,Short,--,--,--,--,--,100% polyester,--,Animal print,--,--,"23.5 "" (Size 16)",--,--,--,--,"35.5 "" (Size 16)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,black , Day dress,VMAMY ,Vero Moda Curve,https://www.zalando.co.uk/vero-moda-curve-vmamy-day-dress-black-vee21c0d2-q11.html,Â£43.99
3486,BY121C09V-Q11,--,"12.5 "" (Size 8)",--,Machine wash at 30Â°C,Standing collar,--,--,Bow,--,--,--,Loose Fit,--,--,--,Knee-length,--,--,--,--,"Our model is 5' 11""  tall and is wearing size 8",100% cotton,--,Striped,--,--,"26.0 "" (Size 8)",--,--,--,--,"38.0 "" (Size 8)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,video overlay, Day dress,BALTARA ,By Malene Birger,https://www.zalando.co.uk/by-malene-birger-baltara-day-dress-spring-by121c09v-q11.html,Â£199.99
3487,T0421C00J-A11,--,--,--,"Do not tumble dry, Hand wash only",Turn-down collar,--,--,"Covered fastener, slip",--,--,--,Regular Fit,--,--,--,Calf-length,--,100% polyester,--,--,--,100% polyester,--,Plain,--,--,Extra short,--,--,--,--,--,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,white,,Day dress,Trussardi,https://www.zalando.co.uk/trussardi-day-dress-white-t0421c00j-a11.html,Â£219.99
3488,L4221C1EW-O11,--,"15.0 "" (Size 10)",--,"Do not tumble dry, Do not wash",--,--,--,Slip,--,Zip,--,Regular Fit,--,--,--,Calf-length,--,"94% polyester, 6% elastane",--,Crew neck,--,100% leather,--,Plain,--,--,Short,--,--,--,--,"42.0 "" (Size 10)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,cuoio,AND,LAMBSKIN FIT,Lauren Ralph Lauren,https://www.zalando.co.uk/lauren-ralph-lauren-arjileen-day-day-dress-cuoio-l4221c1ew-o11.html,Â£659.99
3489,EX121C0AV-G11,--,"15.0 "" (Size 8)",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Turn-down collar,--,--,"Belt included, bust darts, slip",--,Button,--,Regular Fit,--,--,--,Calf-length,--,"95% viscose, 5% elastane",--,--,--,100% polyester,--,Checked,--,--,Long,--,--,--,--,"47.0 "" (Size 8)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,ruby red,,Day dress,Expresso,https://www.zalando.co.uk/expresso-day-dress-ruby-red-ex121c0av-g11.html,Â£124.99
3490,SAA21C02K-A11,--,"17.5 "" (Size 8)",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Inseam pockets,--,Zip,--,Regular Fit,--,--,--,Knee-length,--,--,--,Square neck,"Our model is 5' 10""  tall and is wearing size 8","65% linen, 35% lyocell",--,Plain,--,--,Sleeveless,--,--,--,--,"42.0 "" (Size 8)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,optical white,,Day dress,Sand Copenhagen,https://www.zalando.co.uk/sand-copenhagen-day-dress-optical-white-saa21c02k-a11.html,Â£239.99
3491,SAA21C02K-A11,--,"17.5 "" (Size 8)",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Inseam pockets,--,Zip,--,Regular Fit,--,--,--,Knee-length,--,--,--,Square neck,"Our model is 5' 10""  tall and is wearing size 8","65% linen, 35% lyocell",--,Plain,--,--,Sleeveless,--,--,--,--,"42.0 "" (Size 8)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,navy,,Day dress,Sand Copenhagen,https://www.zalando.co.uk/sand-copenhagen-day-dress-optical-white-saa21c02k-a11.html,Â£239.99
3492,R5921C0B8-Q11,--,--,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,"Inseam pockets, elasticated waist, decorative buttons",Sweat,--,--,Regular Fit,--,--,--,Short,--,--,--,Crew neck,"Our model is 5' 10""  tall and is wearing size S","50% polyester, 50% cotton",--,Plain,--,--,"25.0 "" (Size S)",--,--,--,--,"36.0 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,black, Day dress,MENITA ,Ragwear,https://www.zalando.co.uk/ragwear-menita-day-dress-black-r5921c0b8-q11.html,Â£54.99
3493,R5921C0B8-Q11,--,--,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,"Inseam pockets, elasticated waist, decorative buttons",Sweat,--,--,Regular Fit,--,--,--,Short,--,--,--,Crew neck,"Our model is 5' 10""  tall and is wearing size S","50% polyester, 50% cotton",--,Plain,--,--,"25.0 "" (Size S)",--,--,--,--,"36.0 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,petrol, Day dress,MENITA ,Ragwear,https://www.zalando.co.uk/ragwear-menita-day-dress-black-r5921c0b8-q11.html,Â£54.99
3494,R5921C0B8-Q11,--,--,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,"Inseam pockets, elasticated waist, decorative buttons",Sweat,--,--,Regular Fit,--,--,--,Short,--,--,--,Crew neck,"Our model is 5' 10""  tall and is wearing size S","50% polyester, 50% cotton",--,Plain,--,--,"25.0 "" (Size S)",--,--,--,--,"36.0 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,terracotta, Day dress,MENITA ,Ragwear,https://www.zalando.co.uk/ragwear-menita-day-dress-black-r5921c0b8-q11.html,Â£54.99
3495,GS121C0CS-Q11,--,--,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,--,Sweat,--,--,Loose Fit,--,--,--,Knee-length,--,--,--,--,"Our model is 5' 9""  tall and is wearing size S","60% cotton, 40% polyester",--,Plain,--,--,"23.5 "" (Size S)",--,--,--,--,"36.0 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,black, Day dress,TAPE RAGLAN DRESS ,G-Star,https://www.zalando.co.uk/g-star-tape-raglan-dress-day-dress-black-gs121c0cs-q11.html,Â£99.99
3496,MOD21C07V-B11,--,"19.0 "" (Size 8)",--,"Machine wash at 40Â°C, do not tumble dry",Standing collar,--,--,--,--,Laces,--,Loose Fit,--,--,--,Calf-length,--,--,--,V-neck,"Our model is 5' 10""  tall and is wearing size 8",100% polyester,--,Animal print,--,--,"25.0 "" (Size 8)",--,--,--,--,"56.5 "" (Size 8)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,beige, Day dress,LAVISA ,Moves,https://www.zalando.co.uk/moves-lavisa-day-dress-beige-mod21c07v-b11.html,Â£79.99
3497,GLA21C063-Q11,--,"15.5 "" (Size 16)",--,Hand wash only,--,--,--,"Belt included, slip",Chiffon,Zip,--,Fitted waist,--,--,--,Short,--,100% polyester,--,Low-cut v-neck,"Our model is 5' 9""  tall and is wearing size 16",100% polyester,--,Polka dot,--,--,"25.0 "" (Size 16)",--,--,--,--,"36.5 "" (Size 16)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,video overlay,,Day dress,Glamorous Curve,https://www.zalando.co.uk/glamorous-curve-wrap-mini-dress-day-dress-blackgold-gla21c063-q11.html,Â£35.69
3498,DF221C0B0-Q11,--,--,--,Dry clean only,--,--,--,--,--,Zip,--,Slim Fit,--,--,--,Calf-length,--,--,--,Square neck,"Our model is 5' 10""  tall and is wearing size 8",100% polyester,--,Print,--,--,"20.5 "" (Size 8)",--,--,--,--,"40.5 "" (Size 8)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,video overlay, Day dress,JOANNA DRESS ,Diane von Furstenberg,https://www.zalando.co.uk/diane-von-furstenberg-joanna-dress-day-dress-black-df221c0b0-q11.html,Â£325.00
3499,PS721C02H-G11,--,--,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Elasticated waist,Sweat,--,--,Regular Fit,--,--,--,Knee-length,--,--,--,Crew neck,"Our model is 5' 10""  tall and is wearing size S",100% cotton,--,Plain,--,--,"23.5 "" (Size S)",--,--,--,--,"35.5 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,video overlay, Day dress,ZEBRA DRESS ,PS Paul Smith,https://www.zalando.co.uk/ps-paul-smith-zebra-dress-day-dress-coral-ps721c02h-g11.html,Â£129.99
3500,PS721C02H-G11,--,--,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Elasticated waist,Sweat,--,--,Regular Fit,--,--,--,Knee-length,--,--,--,Crew neck,"Our model is 5' 10""  tall and is wearing size S",100% cotton,--,Plain,--,--,"23.5 "" (Size S)",--,--,--,--,"35.5 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,coral, Day dress,ZEBRA DRESS ,PS Paul Smith,https://www.zalando.co.uk/ps-paul-smith-zebra-dress-day-dress-coral-ps721c02h-g11.html,Â£129.99
3501,PS721C02H-G11,--,--,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Elasticated waist,Sweat,--,--,Regular Fit,--,--,--,Knee-length,--,--,--,Crew neck,"Our model is 5' 10""  tall and is wearing size S",100% cotton,--,Plain,--,--,"23.5 "" (Size S)",--,--,--,--,"35.5 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,black, Day dress,ZEBRA DRESS ,PS Paul Smith,https://www.zalando.co.uk/ps-paul-smith-zebra-dress-day-dress-coral-ps721c02h-g11.html,Â£129.99
3502,PS721C02H-G11,--,--,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Elasticated waist,Sweat,--,--,Regular Fit,--,--,--,Knee-length,--,--,--,Crew neck,"Our model is 5' 10""  tall and is wearing size S",100% cotton,--,Plain,--,--,"23.5 "" (Size S)",--,--,--,--,"35.5 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,lilac, Day dress,ZEBRA DRESS ,PS Paul Smith,https://www.zalando.co.uk/ps-paul-smith-zebra-dress-day-dress-coral-ps721c02h-g11.html,Â£129.99
3503,SU221C0NW-K12,100% lyocell,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100% lyocell,--,--,--,--,--,--,--,--,--,--,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,optic,,Day dress,Superdry,https://www.zalando.co.uk/superdry-day-dress-optic-su221c0nw-k12.html,Â£39.99
3504,SU221C0NW-K12,100% lyocell,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100% lyocell,--,--,--,--,--,--,--,--,--,--,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,black,,Day dress,Superdry,https://www.zalando.co.uk/superdry-day-dress-optic-su221c0nw-k12.html,Â£39.99
3505,SU221C0NW-K12,100% lyocell,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100% lyocell,--,--,--,--,--,--,--,--,--,--,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,mid wash blue,,Day dress,Superdry,https://www.zalando.co.uk/superdry-day-dress-optic-su221c0nw-k12.html,Â£39.99
3506,V1021C2W4-Q11,--,"14.0 "" (Size 8)",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,--,--,--,--,Regular Fit,--,--,--,Short,--,--,--,Low-cut v-neck,"Our model is 5' 9""  tall and is wearing size 8",100% polyester,--,Animal print,--,--,"25.5 "" (Size 8)",--,--,--,--,"36.5 "" (Size 8)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,black/green, Day dress,VISELENA V NECK DRESS ,Vila,https://www.zalando.co.uk/vila-viselena-v-neck-dress-day-dress-blackgreen-v1021c2w4-q11.html,Â£34.99
